CODGEO;LIBGEO;CATAEU2010
01001;L'Abergement-Clémenciat;120
01002;L'Abergement-de-Varey;112
01004;Ambérieu-en-Bugey;112
01005;Ambérieux-en-Dombes;112
01006;Ambléon;300
01007;Ambronay;112
01008;Ambutrix;112
01009;Andert-et-Condon;212
01010;Anglefort;300
01011;Apremont;112
01012;Aranc;300
01013;Arandas;112
01014;Arbent;111
01015;Arbignieu;212
01016;Arbigny;120
01017;Argis;112
01019;Armix;120
01021;Ars-sur-Formans;112
01022;Artemare;300
01023;Asnières-sur-Saône;112
01024;Attignat;112
01025;Bâgé-la-Ville;112
01026;Bâgé-le-Châtel;112
01027;Balan;112
01028;Baneins;112
01029;Beaupont;112
01030;Beauregard;111
01031;Bellignat;111
01032;Béligneux;112
01033;Bellegarde-sur-Valserine;221
01034;Belley;211
01035;Belleydoux;112
01036;Belmont-Luthézieu;300
01037;Bénonces;112
01038;Bény;112
01039;Béon;300
01040;Béréziat;112
01041;Bettant;112
01042;Bey;112
01043;Beynost;111
01044;Billiat;300
01045;Birieux;112
01046;Biziat;120
01047;Blyes;112
01049;La Boisse;111
01050;Boissey;112
01051;Bolozon;120
01052;Bouligneux;112
01053;Bourg-en-Bresse;111
01054;Bourg-Saint-Christophe;112
01056;Boyeux-Saint-Jérôme;112
01057;Boz;112
01058;Brégnier-Cordon;120
01059;Brénaz;400
01060;Brénod;300
01061;Brens;211
01062;Bressolles;112
01063;Brion;221
01064;Briord;112
01065;Buellas;112
01066;La Burbanche;120
01067;Ceignes;300
01068;Cerdon;120
01069;Certines;112
01071;Cessy;112
01072;Ceyzériat;112
01073;Ceyzérieu;300
01074;Chalamont;112
01075;Chaleins;112
01076;Chaley;120
01077;Challes-la-Montagne;300
01078;Challex;112
01079;Champagne-en-Valromey;400
01080;Champdor;222
01081;Champfromier;400
01082;Chanay;300
01083;Chaneins;112
01084;Chanoz-Châtenay;120
01085;La Chapelle-du-Châtelard;112
01087;Charix;300
01088;Charnoz-sur-Ain;112
01089;Château-Gaillard;112
01090;Châtenay;112
01091;Châtillon-en-Michaille;300
01092;Châtillon-la-Palud;112
01093;Châtillon-sur-Chalaronne;120
01094;Chavannes-sur-Reyssouze;120
01095;Chavannes-sur-Suran;112
01096;Chaveyriat;112
01097;Chavornay;300
01098;Chazey-Bons;212
01099;Chazey-sur-Ain;112
01100;Cheignieu-la-Balme;300
01101;Chevillard;300
01102;Chevroux;112
01103;Chevry;112
01104;Chézery-Forens;300
01105;Civrieux;112
01106;Cize;112
01107;Cleyzieu;112
01108;Coligny;112
01109;Collonges;112
01110;Colomieu;212
01111;Conand;112
01112;Condamine;300
01113;Condeissiat;120
01114;Confort;300
01115;Confrançon;112
01116;Contrevoz;212
01117;Conzieu;212
01118;Corbonod;300
01119;Corcelles;300
01121;Corlier;300
01122;Cormaranche-en-Bugey;222
01123;Cormoranche-sur-Saône;112
01124;Cormoz;112
01125;Corveissiat;120
01127;Courmangoux;112
01128;Courtes;120
01129;Crans;112
01130;Cras-sur-Reyssouze;112
01133;Cressin-Rochefort;212
01134;Crottet;112
01135;Crozet;112
01136;Cruzilles-lès-Mépillat;112
01138;Culoz;221
01139;Curciat-Dongalon;120
01140;Curtafond;112
01141;Cuzieu;212
01142;Dagneux;111
01143;Divonne-les-Bains;112
01144;Dommartin;112
01145;Dompierre-sur-Veyle;112
01146;Dompierre-sur-Chalaronne;120
01147;Domsure;112
01148;Dortan;112
01149;Douvres;112
01150;Drom;112
01151;Druillat;112
01152;Échallon;112
01153;Échenevex;112
01154;Étrez;112
01155;Évosges;120
01156;Faramans;112
01157;Fareins;111
01158;Farges;112
01159;Feillens;112
01160;Ferney-Voltaire;111
01162;Flaxieu;300
01163;Foissiat;112
01165;Francheleins;112
01166;Frans;111
01167;Garnerans;120
01169;Genouilleux;112
01170;Béard-Géovreissiat;221
01171;Géovreisset;111
01172;Germagnat;112
01173;Gex;112
01174;Giron;300
01175;Gorrevod;120
01176;Le Grand-Abergement;400
01177;Grand-Corent;112
01179;Grièges;112
01180;Grilly;112
01181;Groissiat;111
01182;Groslée;112
01183;Guéreins;112
01184;Hautecourt-Romanèche;112
01185;Hauteville-Lompnes;221
01186;Hostiaz;120
01187;Hotonnes;400
01188;Illiat;120
01189;Injoux-Génissiat;300
01190;Innimond;300
01191;Izenave;300
01192;Izernore;300
01193;Izieu;300
01194;Jassans-Riottier;111
01195;Jasseron;112
01196;Jayat;112
01197;Journans;112
01198;Joyeux;112
01199;Jujurieux;112
01200;Labalme;120
01202;Lagnieu;112
01203;Laiz;112
01204;Lalleyriat;300
01205;Lancrans;300
01206;Lantenay;300
01207;Lapeyrouse;112
01208;Lavours;300
01209;Léaz;112
01210;Lélex;400
01211;Lent;112
01212;Lescheroux;112
01213;Leyment;112
01214;Leyssard;300
01215;Lhôpital;120
01216;Lhuis;112
01218;Lochieu;400
01219;Lompnas;112
01221;Lompnieu;300
01224;Loyettes;112
01225;Lurcy;112
01227;Magnieu;212
01228;Maillat;300
01229;Malafretaz;112
01230;Mantenay-Montlin;112
01231;Manziat;112
01232;Marboz;112
01233;Marchamp;112
01234;Marignieu;300
01235;Marlieux;112
01236;Marsonnas;112
01237;Martignat;111
01238;Massieux;111
01239;Massignieu-de-Rives;300
01240;Matafelon-Granges;112
01241;Meillonnas;112
01242;Mérignat;120
01243;Messimy-sur-Saône;111
01244;Meximieux;112
01245;Bohas-Meyriat-Rignat;112
01246;Mézériat;120
01247;Mijoux;400
01248;Mionnay;112
01249;Miribel;111
01250;Misérieux;111
01252;Mogneneins;112
01254;Montagnat;112
01255;Montagnieu;112
01257;Montanges;300
01258;Montceaux;112
01259;Montcet;112
01260;Le Montellier;112
01261;Monthieux;112
01262;Montluel;111
01263;Montmerle-sur-Saône;112
01264;Montracol;112
01265;Montréal-la-Cluse;221
01266;Montrevel-en-Bresse;112
01267;Nurieux-Volognat;300
01268;Murs-et-Gélignieux;300
01269;Nantua;221
01271;Nattages;120
01272;Neuville-les-Dames;120
01273;Neuville-sur-Ain;120
01274;Les Neyrolles;221
01275;Neyron;111
01276;Niévroz;112
01277;Nivollet-Montgriffon;112
01279;Oncieu;112
01280;Ordonnaz;300
01281;Ornex;111
01282;Outriaz;300
01283;Oyonnax;111
01284;Ozan;112
01285;Parcieux;111
01286;Parves;212
01288;Péron;112
01289;Péronnas;111
01290;Pérouges;112
01291;Perrex;120
01292;Le Petit-Abergement;400
01293;Peyriat;300
01294;Peyrieu;300
01295;Peyzieux-sur-Saône;112
01296;Pirajoux;112
01297;Pizay;112
01298;Plagne;300
01299;Le Plantay;112
01300;Le Poizat;300
01301;Polliat;112
01302;Pollieu;212
01303;Poncin;120
01304;Pont-d'Ain;112
01305;Pont-de-Vaux;120
01306;Pont-de-Veyle;112
01307;Port;221
01308;Pougny;112
01309;Pouillat;112
01310;Prémeyzel;212
01311;Prémillieu;222
01312;Pressiat;112
01313;Prévessin-Moëns;111
01314;Priay;112
01316;Pugieu;212
01317;Ramasse;112
01318;Rancé;112
01319;Relevant;112
01320;Replonges;112
01321;Revonnas;112
01322;Reyrieux;111
01323;Reyssouze;112
01325;Rignieux-le-Franc;112
01328;Romans;120
01329;Rossillon;300
01330;Ruffieu;300
01331;Saint-Alban;300
01332;Saint-André-de-Bâgé;112
01333;Saint-André-de-Corcy;112
01334;Saint-André-d'Huiriat;112
01335;Saint-André-le-Bouchoux;112
01336;Saint-André-sur-Vieux-Jonc;112
01337;Saint-Bénigne;120
01338;Saint-Benoît;112
01339;Saint-Bernard;111
01340;Saint-Bois;212
01341;Saint-Champ;212
01342;Sainte-Croix;112
01343;Saint-Cyr-sur-Menthon;112
01344;Saint-Denis-lès-Bourg;111
01345;Saint-Denis-en-Bugey;112
01346;Saint-Didier-d'Aussiat;112
01347;Saint-Didier-de-Formans;111
01348;Saint-Didier-sur-Chalaronne;120
01349;Saint-Éloi;112
01350;Saint-Étienne-du-Bois;112
01351;Saint-Étienne-sur-Chalaronne;112
01352;Saint-Étienne-sur-Reyssouze;120
01353;Sainte-Euphémie;111
01354;Saint-Genis-Pouilly;111
01355;Saint-Genis-sur-Menthon;120
01356;Saint-Georges-sur-Renon;112
01357;Saint-Germain-de-Joux;300
01358;Saint-Germain-les-Paroisses;212
01359;Saint-Germain-sur-Renon;112
01360;Saint-Jean-de-Gonville;112
01361;Saint-Jean-de-Niost;112
01362;Saint-Jean-de-Thurigneux;112
01363;Saint-Jean-le-Vieux;112
01364;Saint-Jean-sur-Reyssouze;112
01365;Saint-Jean-sur-Veyle;112
01366;Sainte-Julie;112
01367;Saint-Julien-sur-Reyssouze;112
01368;Saint-Julien-sur-Veyle;120
01369;Saint-Just;111
01370;Saint-Laurent-sur-Saône;111
01371;Saint-Marcel;112
01372;Saint-Martin-de-Bavel;300
01373;Saint-Martin-du-Frêne;300
01374;Saint-Martin-du-Mont;112
01375;Saint-Martin-le-Châtel;112
01376;Saint-Maurice-de-Beynost;111
01378;Saint-Maurice-de-Gourdans;112
01379;Saint-Maurice-de-Rémens;112
01380;Saint-Nizier-le-Bouchoux;120
01381;Saint-Nizier-le-Désert;112
01382;Sainte-Olive;112
01383;Saint-Paul-de-Varax;120
01384;Saint-Rambert-en-Bugey;112
01385;Saint-Rémy;112
01386;Saint-Sorlin-en-Bugey;112
01387;Saint-Sulpice;112
01388;Saint-Trivier-de-Courtes;400
01389;Saint-Trivier-sur-Moignans;112
01390;Saint-Vulbas;112
01391;Salavre;112
01392;Samognat;112
01393;Sandrans;112
01396;Sault-Brénaz;112
01397;Sauverny;112
