"idsec";"ZONAGE_SEC"
"IDF_7705";1
"IDF_7707";1
"IDF_7706";1
"IDF_7713";1
"IDF_7709";1
"IDF_9414";2
"IDF_9406";2
"IDF_7810";1
"IDF_7816";2
"IDF_9405";2
"IDF_7813";1
"IDF_9113";2
"IDF_7710";2
"IDF_9210";2
"IDF_9404";2
"IDF_7812";2
"IDF_9410";2
"IDF_7815";1
"IDF_9411";2
"IDF_9102";1
"IDF_9103";1
"IDF_9114";1
"IDF_7814";1
"IDF_7715";1
"IDF_7714";1
"IDF_7716";2
"IDF_7712";1
"IDF_9108";2
"IDF_9106";2
"IDF_9101";2
"IDF_9112";2
"IDF_9111";2
"IDF_9107";2
"IDF_9105";2
"IDF_9109";2
"IDF_9104";2
"IDF_9110";2
"IDF_7711";1
"CAEN_220";1
"CAEN_217";1
"CAEN_214";1
"CAEN_212";2
"CAEN_218";2
"CAEN_213";2
"CAEN_215";1
"CAEN_221";1
"CAEN_222";1
"CAEN_216";1
"CAEN_204";1
"CAEN_211";2
"CAEN_210";2
"IDF_9513";1
"IDF_7801";2
"IDF_9502";2
"IDF_7811";2
"IDF_7802";2
"IDF_9504";1
"IDF_9509";2
"IDF_7804";2
"IDF_9207";2
"IDF_7803";2
"IDF_7807";2
"IDF_7808";1
"IDF_9501";2
"IDF_7806";1
"IDF_7805";2
"IDF_7809";1
"IDF_7703";1
"IDF_7708";2
"IDF_7702";2
"IDF_9510";2
"IDF_9505";1
"IDF_9506";2
"IDF_9507";2
"IDF_9402";2
"IDF_9311";2
"IDF_7505";3
"IDF_9312";2
"IDF_7507";3
"IDF_7513";3
"IDF_7506";3
"IDF_7504";3
"IDF_9205";2
"IDF_7512";3
"IDF_9403";2
"IDF_7510";3
"IDF_9209";2
"IDF_7511";3
"IDF_9511";2
"IDF_7509";3
"IDF_7501";3
"IDF_9201";2
"IDF_9203";2
"IDF_9508";2
"IDF_9212";2
"IDF_9204";2
"IDF_9202";2
"IDF_7503";3
"IDF_9206";2
"IDF_9211";2
"IDF_9512";2
"IDF_7502";3
"IDF_9208";2
"IDF_7508";3
"IDF_9307";2
"IDF_9310";2
"IDF_9303";2
"IDF_9304";2
"IDF_9309";2
"IDF_9302";2
"IDF_9409";2
"IDF_9407";2
"IDF_9306";2
"IDF_9305";2
"IDF_9408";2
"IDF_9412";2
"IDF_7514";3
"IDF_9308";2
"IDF_9413";2
"IDF_9503";1
"IDF_7704";1
"IDF_7701";2
"LYON_515";1
"STRASBOURG_002";1
"RENNES_071";1
"NANCY_154";1
"LYON_504";1
"NANTES_205";1
"MARSEILLE_136";1
"NANCY_144";1
"SAINT ETIENNE_036";1
"CLERMONT FERRAND_208";1
"GRENOBLE_510";1
"ANGERS_020";1
"GRENOBLE_603";1
"LYON_701";1
"STRASBOURG_055";1
"NANCY_160";1
"CAEN_209";1
"RENNES_082";1
"LA ROCHELLE_017";1
"LYON_252";2
"TOULOUSE_055";2
"CAEN_228";1
"SAINT ETIENNE_043";1
"QUIMPER_017";1
"STRASBOURG_004";1
"NANTES_233";1
"RENNES_062";1
"CAEN_227";1
"NICE_081";1
"NANTES_214";1
"CAEN_202";1
"TOULOUSE_041";2
"LILLE_132";2
"LYON_707";1
"MARSEILLE_079";1
"NANCY_166";1
"LYON_517";1
"NICE_057";2
"RENNES_083";1
"STRASBOURG_063";1
"NANTES_040";2
"MARSEILLE_132";1
"NANTES_102";1
"ANGOULEME_013";2
"CLERMONT FERRAND_202";1
"RENNES_046";1
"CAEN_205";1
"BORDEAUX_065";1
"LYON_307";1
"NICE_076";2
"ANGOULEME_004";2
"MONTPELLIER_070";2
"LYON_304";1
"LYON_703";2
"LYON_506";1
"GRENOBLE_701";1
"NICE_072";1
"GRENOBLE_801";1
"CLERMONT FERRAND_120";1
"STRASBOURG_054";1
"BORDEAUX_043";2
"GRENOBLE_805";1
"TOULOUSE_060";1
"LYON_513";2
"NANCY_145";1
"LYON_510";1
"LYON_505";1
"LA ROCHELLE_014";2
"GRENOBLE_127";2
"TOULOUSE_058";1
"LILLE_133";1
"LYON_507";1
"LYON_610";1
"GRENOBLE_601";1
