qp;nom_qp;reg;epci1;epci2;uu;liste_des_communes;population_municipale_2013
QP001001;Grande Reyssouze Terre Des Fleurs;84;240100628;;01501;Bourg-en-Bresse;6056
QP001002;Croix Blanche;84;240100628;;01501;Bourg-en-Bresse;1830
QP001003;Quartier Jacques Prévert;84;240100750;;00652;Saint-Genis-Pouilly;1807
QP001004;Levant - Tattes;84;240100750;;00652;Ferney-Voltaire;1378
QP001005;Les Courbes De L'Albarine;84;240100883;;01302;Ambérieu-en-Bugey;1677
QP001006;La Plaine - La Forge;84;200042935;;01401;Oyonnax;4467
QP001007;Pré Des Saules;84;200042935;;01401;Bellignat;1034
QP001008;Brillat - Savarin;84;200040350;;01205;Belley;1012
QP001009;Maladière;84;240100610;;00758;Montluel;1092
QP002001;Europe;32;240200261;;02501;Saint-Quentin;6059
QP002002;Faubourg D'Isle;32;240200261;;02501;Saint-Quentin;2763
QP002003;Neuville;32;240200261;;02501;Saint-Quentin;1705
QP002004;Vermandois;32;240200261;;02501;Saint-Quentin;1750
QP002005;Champ Roland Et Bords De L'Oise;32;240200600;;02302;Hirson;1606
QP002006;Gare Et Verrière;32;240200600;;02302;Hirson;994
QP002007;Quartier De L'Artilleur;32;240200428;;02402;La Fère;1311
QP002008;Roosevelt Rebequet;32;240200683;;02402;Tergnier;1315
QP002009;Quartier De La Résidence;32;240200683;;02303;Chauny;1823
QP002010;Montreuil;32;200043495;;02403;Laon;1376
QP002011;Champagne Moulin - Roux;32;200043495;;02403;Laon;4396
QP002012;Saint-Crépin Ouest;32;240200477;;02404;Soissons;2275
QP002013;Presles;32;240200477;;02404;Soissons;5519
QP002014;Chevreux;32;240200477;;02404;Soissons;1035
QP002015;Route De Vivières;32;240200691;;02301;Villers-Cotterêts;1318
QP002016;Blanchard;32;240200618;;02401;Château-Thierry;1168
QP002017;Vaucrises;32;240200618;;02401;Château-Thierry;1769
QP003001;Coeur D'Agglo;84;240300426;;03502;Vichy, Cusset;3887
QP003002;Les Ailes;84;240300426;;03502;Vichy;1681
QP003003;Moulins-Sud;84;240300616;;03401;Moulins;3414
QP003004;Rive Gauche;84;240300608;;03501;Montluçon;2841
QP003005;Fontbouillant;84;240300608;;03501;Montluçon, Prémilhat;1234
QP003006;Bien-Assis;84;240300608;;03501;Montluçon, Domérat;1323
QP004001;Centre Ville - Pigeonnier;93;200034916;;04301;Digne-les-Bains;2100
QP004002;Centre Ville - Saint-Lazare;93;200034700;;04401;Manosque;3427
QP004003;Arc Serrets - Plantiers - Aliziers;93;200034700;;04401;Manosque;2062
QP005001;Haut - Gap;93;200040004;;05401;Gap;1441
QP006001;Las Planas;93;200030195;;06701;Nice;1328
QP006002;Coeur De Ville - Hauts De Vallauris;93;240600585;;06701;Vallauris;3347
QP006003;Ranguin-Frayère;93;200039915;;06701;Cannes, Le Cannet;4029
QP006004;Genêts - Oliviers - Saint-Pierre;93;200039915;;06701;Cannes, Le Cannet;2009
QP006005;Grand Centre;93;200039857;;06701;Grasse;6984
QP006006;Les Fleurs De Grasse;93;200039857;;06701;Grasse;1407
QP006007;La Condamine;93;240600593;;06701;Drap;1555
QP006008;Centre;93;200030195;;06701;Carros;2001
QP006009;Résidence Sociale Nicéa;93;200030195;;06701;Nice;1008
QP006010;Les Moulins - Le Point Du Jour;93;200030195;;06701;Nice, Saint-Laurent-du-Var;7795
QP006011;Les Sagnes;93;200030195;;06701;Nice;1281
QP006012;Centre;93;200030195;;06701;Nice;3859
