"IDH";"KREVI"
"010003";"1"
"018369";"1"
"020163";"1"
"002913";"1"
"014581";"3"
"014619";"7"
"010029";"1"
"010019";"2"
"010006";"1"
"010032";"1"
"P07089";"5"
"033229";"4"
"008269";"1"
"003323";"1"
"016032";"2"
"010055";"8"
"020807";"4"
"017536";"6"
"010054";"5"
"017422";"9"
"009629";"5"
"019180";"9"
"018741";"7"
"004306";"3"
"000586";"3"
"002929";"2"
"010087";"1"
"010088";"2"
"010101";"3"
"010072";"1"
"020278";"5"
"012993";"8"
"017822";"8"
"010075";"3"
"010107";"5"
"003249";"1"
"003250";"1"
"018684";"7"
"008736";"5"
"008591";"5"
"011058";"2"
"010142";"1"
"016897";"3"
"010131";"1"
"018219";"8"
"P04488";"7"
"010148";"2"
"010152";"3"
"001013";"1"
"010136";"2"
"010149";"2"
"010150";"1"
"033092";"5"
"000859";"1"
"004307";"2"
"010188";"1"
"010174";"6"
"P00874";"8"
"010192";"1"
"020274";"7"
"019671";"2"
"010167";"6"
"016348";"2"
"010159";"8"
"010175";"4"
"017883";"1"
"020438";"3"
"P05609";"9"
"010201";"1"
"010215";"2"
"010218";"2"
"010219";"4"
"011060";"3"
"010202";"9"
"030381";"2"
"015466";"3"
"010214";"2"
"015625";"2"
"020969";"5"
"020570";"2"
"020585";"6"
"020921";"8"
"014579";"8"
"010236";"2"
"009307";"3"
"P03231";"1"
"010255";"1"
"P03233";"2"
"010239";"2"
"010269";"6"
"010264";"1"
"010274";"5"
"010265";"4"
"P02103";"6"
"010263";"8"
"031484";"5"
"010256";"1"
"010273";"1"
"014816";"8"
"010090";"2"
"P02597";"1"
"010209";"2"
"010302";"2"
"010324";"8"
"010288";"6"
"010290";"6"
"010323";"5"
"010310";"7"
"010316";"2"
"010291";"1"
"010319";"1"
"018282";"3"
"002135";"6"
"004325";"2"
"014817";"8"
"014820";"9"
"010352";"3"
"010353";"3"
"021320";"5"
"001036";"8"
"010351";"1"
"010343";"2"
"010328";"1"
"010354";"2"
"010355";"3"
"030386";"1"
"015407";"3"
"012573";"5"
"020569";"8"
"016818";"1"
"012470";"9"
"019163";"9"
"003298";"2"
"018055";"4"
"018054";"3"
"P04869";"2"
"001037";"8"
"010365";"2"
"010385";"2"
"010367";"2"
"010368";"3"
"010417";"3"
"P02467";"8"
"000701";"5"
"001688";"1"
"034764";"7"
"020113";"9"
"010421";"2"
"010414";"1"
"010413";"4"
"010412";"9"
"010453";"2"
"010455";"2"
"010433";"2"
"021314";"7"
"002489";"5"
"002137";"1"
"021302";"9"
"015582";"7"
"020107";"7"
"010434";"2"
"012534";"1"
"021319";"9"
"021311";"9"
"020796";"1"
"001054";"6"
"030387";"5"
"019357";"2"
"010431";"1"
"010432";"6"
"021140";"1"
"000764";"2"
"006324";"2"
"003299";"4"
"004324";"2"
"019767";"2"
"019834";"1"
"030257";"4"
"004120";"6"
"030081";"5"
"013115";"9"
"P08650";"9"
"017340";"3"
"030079";"2"
"008229";"3"
"031721";"2"
"033026";"2"
"010461";"4"
"010463";"2"
"P02615";"2"
"001694";"2"
"018422";"8"
"P04794";"7"
"001695";"3"
"018064";"4"
"012518";"7"
"017384";"2"
"017502";"8"
"030224";"5"
"001021";"5"
"008576";"1"
"001050";"3"
"P00884";"1"
"004327";"1"
"019238";"6"
"010511";"3"
"P00517";"1"
"008878";"4"
"034844";"1"
"000857";"1"
"004121";"4"
"030107";"8"
"009323";"2"
"019393";"2"
"006314";"3"
"030149";"4"
"008491";"1"
