"ID_REZ_ZF";"LIB_ED";"RES_ZF";"RATIO";"QPV"
"Albi, 2011_001001";"Albi, 2011";"001001";0;0
"Albi, 2011_001002";"Albi, 2011";"001002";0;0
"Albi, 2011_001003";"Albi, 2011";"001003";0;0
"Albi, 2011_001004";"Albi, 2011";"001004";0;0
"Albi, 2011_001005";"Albi, 2011";"001005";0,00217155463012388;0
"Albi, 2011_001006";"Albi, 2011";"001006";0,00115309158621583;0
"Albi, 2011_001007";"Albi, 2011";"001007";0;0
"Albi, 2011_002001";"Albi, 2011";"002001";0;0
"Albi, 2011_002002";"Albi, 2011";"002002";0;0
"Albi, 2011_002003";"Albi, 2011";"002003";0;0
"Albi, 2011_002004";"Albi, 2011";"002004";0;0
"Albi, 2011_002005";"Albi, 2011";"002005";0;0
"Albi, 2011_002006";"Albi, 2011";"002006";0;0
"Albi, 2011_002007";"Albi, 2011";"002007";0;0
"Albi, 2011_002008";"Albi, 2011";"002008";0;0
"Albi, 2011_003001";"Albi, 2011";"003001";0;0
"Albi, 2011_003003";"Albi, 2011";"003003";0;0
"Albi, 2011_003004";"Albi, 2011";"003004";0;0
"Albi, 2011_003005";"Albi, 2011";"003005";0;0
"Albi, 2011_003006";"Albi, 2011";"003006";0;0
"Albi, 2011_003008";"Albi, 2011";"003008";0;0
"Albi, 2011_003009";"Albi, 2011";"003009";0;0
"Albi, 2011_003010";"Albi, 2011";"003010";0,607871695837978;1
"Albi, 2011_003011";"Albi, 2011";"003011";0,708694565242593;1
"Albi, 2011_003012";"Albi, 2011";"003012";0;0
"Albi, 2011_003013";"Albi, 2011";"003013";0;0
"Albi, 2011_003014";"Albi, 2011";"003014";0;0
"Albi, 2011_003015";"Albi, 2011";"003015";0;0
"Albi, 2011_003016";"Albi, 2011";"003016";0;0
"Albi, 2011_003017";"Albi, 2011";"003017";0;0
"Albi, 2011_003018";"Albi, 2011";"003018";0;0
"Albi, 2011_003019";"Albi, 2011";"003019";0;0
"Albi, 2011_003020";"Albi, 2011";"003020";0;0
"Albi, 2011_003021";"Albi, 2011";"003021";0;0
"Albi, 2011_003022";"Albi, 2011";"003022";0,000770743417788093;0
"Albi, 2011_003023";"Albi, 2011";"003023";0;0
"Albi, 2011_004001";"Albi, 2011";"004001";0;0
"Albi, 2011_004002";"Albi, 2011";"004002";0;0
"Albi, 2011_004003";"Albi, 2011";"004003";0;0
"Albi, 2011_004004";"Albi, 2011";"004004";0;0
"Albi, 2011_004005";"Albi, 2011";"004005";0;0
"Albi, 2011_004006";"Albi, 2011";"004006";0;0
"Albi, 2011_004007";"Albi, 2011";"004007";0;0
"Albi, 2011_004008";"Albi, 2011";"004008";0;0
"Albi, 2011_004009";"Albi, 2011";"004009";0,640556967066318;1
"Albi, 2011_004010";"Albi, 2011";"004010";0;0
"Albi, 2011_004011";"Albi, 2011";"004011";0,193245226005975;0
"Albi, 2011_005002";"Albi, 2011";"005002";0;0
"Albi, 2011_005003";"Albi, 2011";"005003";0;0
"Albi, 2011_005004";"Albi, 2011";"005004";0;0
"Albi, 2011_005005";"Albi, 2011";"005005";0;0
"Albi, 2011_006001";"Albi, 2011";"006001";0;0
"Albi, 2011_006002";"Albi, 2011";"006002";0;0
"Albi, 2011_006003";"Albi, 2011";"006003";0;0
"Albi, 2011_006004";"Albi, 2011";"006004";0;0
"Albi, 2011_006005";"Albi, 2011";"006005";0;0
"Albi, 2011_006006";"Albi, 2011";"006006";0;0
"Albi, 2011_006007";"Albi, 2011";"006007";0;0
"Albi, 2011_006008";"Albi, 2011";"006008";0;0
"Albi, 2011_006009";"Albi, 2011";"006009";0;0
"Albi, 2011_006010";"Albi, 2011";"006010";0;0
"Albi, 2011_006011";"Albi, 2011";"006011";0;0
"Albi, 2011_006012";"Albi, 2011";"006012";0;0
"Albi, 2011_006013";"Albi, 2011";"006013";0;0
"Albi, 2011_007001";"Albi, 2011";"007001";0,00546372972223131;0
"Albi, 2011_007002";"Albi, 2011";"007002";1;1
"Albi, 2011_007003";"Albi, 2011";"007003";0,0585847888808887;0
"Albi, 2011_007004";"Albi, 2011";"007004";0,000388492638710529;0
"Albi, 2011_008001";"Albi, 2011";"008001";0,521909851074954;1
"Albi, 2011_008002";"Albi, 2011";"008002";0,724974911170374;1
"Albi, 2011_008003";"Albi, 2011";"008003";0,575446197517293;1
