"UTAM_CODE";"LOC_NAME";"MUN_CODE";"MUN_NAME";"ZONA";"ZONA_lab";"ZONAGE_SEC"
"UPR1";"UPR";"11001";"BOGOTA";8;"PERIPHERIE AM NORD";1
"UPR2";"UPR";"11001";"BOGOTA";8;"PERIPHERIE AM NORD";1
"UPR3";"UPR";"11001";"BOGOTA";10;"PERIPHERIE AM SUD";1
"UTAM1";"USAQUEN";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM10";"USAQUEN";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM100";"TEUSAQUILLO";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM101";"TEUSAQUILLO";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM102";"LOS MARTIRES";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM103";"BARRIOS UNIDOS";"11001";"BOGOTA";2;"PERICENTRE NORD";3
"UTAM104";"TEUSAQUILLO";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM105";"ENGATIVA";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM106";"TEUSAQUILLO";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM107";"TEUSAQUILLO";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM108";"PUENTE ARANDA";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM109";"TEUSAQUILLO";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM11";"USAQUEN";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM110";"FONTIBON";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM111";"PUENTE ARANDA";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM112";"FONTIBON";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM113";"KENNEDY";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM114";"FONTIBON";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM115";"FONTIBON";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM116";"ENGATIVA";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM12";"USAQUEN";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM13";"USAQUEN";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM14";"USAQUEN";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM15";"USAQUEN";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM16";"USAQUEN";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM17";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM18";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM19";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM2";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM20";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM21";"BARRIOS UNIDOS";"11001";"BOGOTA";2;"PERICENTRE NORD";3
"UTAM22";"BARRIOS UNIDOS";"11001";"BOGOTA";2;"PERICENTRE NORD";3
"UTAM23";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM24";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM25";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM26";"ENGATIVA";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM27";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM28";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM29";"ENGATIVA";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM3";"SUBA";"11001";"BOGOTA";5;"PERIPHERIE DISTRICT NORD";2
"UTAM30";"ENGATIVA";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM31";"ENGATIVA";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM32";"SAN CRISTOBAL";"11001";"BOGOTA";4;"PERICENTRE SUD";3
"UTAM33";"SAN CRISTOBAL";"11001";"BOGOTA";4;"PERICENTRE SUD";3
"UTAM34";"SAN CRISTOBAL";"11001";"BOGOTA";4;"PERICENTRE SUD";3
"UTAM35";"ANTONIO NARINO";"11001";"BOGOTA";4;"PERICENTRE SUD";3
"UTAM36";"RAFAEL URIBE URIBE";"11001";"BOGOTA";4;"PERICENTRE SUD";3
"UTAM37";"LOS MARTIRES";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM38";"ANTONIO NARINO";"11001";"BOGOTA";4;"PERICENTRE SUD";3
"UTAM39";"RAFAEL URIBE URIBE";"11001";"BOGOTA";4;"PERICENTRE SUD";3
"UTAM40";"PUENTE ARANDA";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM41";"PUENTE ARANDA";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM42";"TUNJUELITO";"11001";"BOGOTA";4;"PERICENTRE SUD";3
"UTAM43";"PUENTE ARANDA";"11001";"BOGOTA";3;"PERICENTRE OUEST";3
"UTAM44";"KENNEDY";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
"UTAM45";"KENNEDY";"11001";"BOGOTA";6;"PERIPHERIE DISTRICT OUEST";2
