"ENQUETE";"P9";"OCC"
"MONTREAL";1;1
"MONTREAL";2;1
"MONTREAL";3;2
"MONTREAL";4;4
"MONTREAL";5;3
"MONTREAL";6;"NA"
"MONTREAL";7;5
"MONTREAL";8;"NA"
"OTTAWA GATINEAU";1;1
"OTTAWA GATINEAU";2;1
"OTTAWA GATINEAU";3;2
"OTTAWA GATINEAU";4;4
"OTTAWA GATINEAU";5;3
"OTTAWA GATINEAU";6;5
"OTTAWA GATINEAU";7;5
"OTTAWA GATINEAU";8;1
"OTTAWA GATINEAU";9;"NA"
"QUEBEC";1;1
"QUEBEC";2;1
"QUEBEC";3;2
"QUEBEC";4;4
"QUEBEC";5;3
"QUEBEC";6;5
"QUEBEC";7;5
"QUEBEC";8;1
"QUEBEC";9;"NA"
"SAGUENAY";1;1
"SAGUENAY";2;1
"SAGUENAY";3;2
"SAGUENAY";5;4
"SAGUENAY";6;3
"SAGUENAY";7;5
"SAGUENAY";8;5
"SAGUENAY";9;1
"SAGUENAY";10;"NA"
"SHERBROOKE";1;1
"SHERBROOKE";2;1
"SHERBROOKE";3;2
"SHERBROOKE";4;2
"SHERBROOKE";5;4
"SHERBROOKE";6;3
"SHERBROOKE";7;5
"SHERBROOKE";8;5
"SHERBROOKE";9;1
"SHERBROOKE";10;"NA"
"TROIS RIVIERES";1;1
"TROIS RIVIERES";2;1
"TROIS RIVIERES";3;2
"TROIS RIVIERES";4;4
"TROIS RIVIERES";5;3
"TROIS RIVIERES";6;5
"TROIS RIVIERES";7;5
"TROIS RIVIERES";8;1
"TROIS RIVIERES";9;"NA"
