"ENQUETE";"D2_D5";"PURPOSE"
"BOGOTA";1;"02"
"BOGOTA";2;"02"
"BOGOTA";3;"03"
"BOGOTA";4;"06"
"BOGOTA";5;"05"
"BOGOTA";6;"01"
"BOGOTA";7;"06"
"BOGOTA";8;"06"
"BOGOTA";9;"05"
"BOGOTA";10;"04"
"BOGOTA";11;"06"
"BOGOTA";12;"05"
"BOGOTA";13;"02"
"BOGOTA";14;"05"
"BOGOTA";15;"06"
"BOGOTA";16;"05"
"BOGOTA";77;"06"
"BOGOTA";99;"NA"
"SANTIAGO";1;"02"
"SANTIAGO";2;"02"
"SANTIAGO";3;"03"
"SANTIAGO";4;"03"
"SANTIAGO";5;"06"
"SANTIAGO";6;"05"
"SANTIAGO";7;"01"
"SANTIAGO";8;"06"
"SANTIAGO";9;"05"
"SANTIAGO";10;"06"
"SANTIAGO";11;"04"
"SANTIAGO";12;"06"
"SANTIAGO";13;"05"
"SANTIAGO";14;"06"
"SAO PAULO";1;"02"
"SAO PAULO";2;"02"
"SAO PAULO";3;"02"
"SAO PAULO";4;"03"
"SAO PAULO";5;"04"
"SAO PAULO";6;"06"
"SAO PAULO";7;"05"
"SAO PAULO";8;"01"
"SAO PAULO";9;"02"
"SAO PAULO";10;"06"
"SAO PAULO";11;"05"
