"ENQUETE";"P9";"OCC"
"BOGOTA";1;2
"BOGOTA";2;2
"BOGOTA";3;2
"BOGOTA";4;2
"BOGOTA";5;2
"BOGOTA";11;1
"BOGOTA";12;1
"BOGOTA";13;1
"BOGOTA";14;1
"BOGOTA";15;1
"BOGOTA";16;1
"BOGOTA";17;1
"BOGOTA";18;1
"BOGOTA";19;1
"BOGOTA";20;1
"BOGOTA";21;1
"BOGOTA";31;5
"BOGOTA";32;4
"BOGOTA";33;3
"BOGOTA";34;5
"BOGOTA";35;"NA"
"BOGOTA";36;5
"BOGOTA";37;3
"BOGOTA";38;"NA"
"SAO PAULO";1;"1"
"SAO PAULO";2;"1"
"SAO PAULO";3;"1"
"SAO PAULO";4;"4"
"SAO PAULO";5;"3"
"SAO PAULO";6;"5"
"SAO PAULO";7;"5"
"SAO PAULO";8;"2"
