"zona";"distrit";"municip";"CODE_SEC"
343;100;4;"z343"
344;100;4;"z344"
345;100;4;"z345"
346;100;4;"z345"
347;101;5;"z347"
348;101;5;"z348"
349;109;13;"z350"
350;109;13;"z350"
351;109;13;"z351"
352;109;13;"z351"
353;109;13;"z351"
354;108;12;"z355"
355;108;12;"z355"
356;108;12;"z356"
357;108;12;"z357"
358;117;21;"z358"
359;117;21;"z359"
360;117;21;"z360"
361;117;21;"z361"
362;111;15;"z362"
363;111;15;"z363"
364;111;15;"z364"
365;111;15;"z365"
366;111;15;"z366"
367;111;15;"z367"
368;111;15;"z368"
369;111;15;"z369"
370;111;15;"z370"
371;111;15;"z371"
372;111;15;"z372"
373;111;15;"z373"
374;111;15;"z375"
375;111;15;"z375"
376;111;15;"z376"
377;111;15;"z377"
378;111;15;"z378"
379;111;15;"z379"
380;111;15;"z380"
381;111;15;"z380"
382;111;15;"z382"
383;111;15;"z383"
384;111;15;"z384"
385;111;15;"z384"
386;97;1;"z386"
387;97;1;"z387"
388;97;1;"z388"
389;126;30;"z389"
390;126;30;"z390"
391;107;11;"z391"
392;107;11;"z391"
393;107;11;"z393"
394;122;26;"z394"
395;122;26;"z395"
396;114;18;"z396"
397;114;18;"z397"
398;114;18;"z398"
399;114;18;"z399"
400;132;37;"z400"
401;132;37;"z401"
402;132;37;"z402"
403;132;37;"z403"
404;119;23;"z404"
405;119;23;"z405"
406;119;23;"z406"
407;119;23;"z407"
408;119;23;"z408"
409;119;23;"z409"
410;119;23;"z410"
411;119;23;"z411"
412;119;23;"z412"
413;119;23;"z413"
414;99;3;"z414"
415;125;29;"z415"
416;110;14;"z416"
417;130;34;"z417"
418;130;34;"z418"
419;130;34;"z419"
420;130;34;"z420"
421;130;34;"z421"
422;128;32;"z422"
423;128;32;"z423"
424;128;32;"z424"
425;128;32;"z425"
426;128;32;"z426"
427;128;32;"z427"
428;128;32;"z428"
429;128;32;"z429"
430;128;32;"z430"
431;128;32;"z431"
432;128;32;"z432"
433;128;32;"z433"
434;128;32;"z434"
435;118;22;"z435"
436;118;22;"z436"
437;118;22;"z437"
438;118;22;"z438"
439;118;22;"z439"
440;123;27;"z440"
441;123;27;"z441"
442;123;27;"z442"
443;124;28;"z443"
444;124;28;"z444"
445;129;33;"z445"
446;129;33;"z446"
447;129;33;"z447"
448;129;33;"z448"
449;129;33;"z449"
450;129;33;"z450"
451;129;33;"z451"
452;129;33;"z452"
