"ID_SEC";"ZONAGE_SEC"
"BOGOTA_2019_UTAM1";2
"BOGOTA_2019_UTAM17";2
"BOGOTA_2019_UTAM16";2
"BOGOTA_2019_UTAM9";2
"BOGOTA_2019_UTAM10";2
"BOGOTA_2019_UTAM20";2
"BOGOTA_2019_UTAM23";2
"BOGOTA_2019_UTAM27";2
"BOGOTA_2019_UTAM71";2
"BOGOTA_2019_UTAM19";2
"BOGOTA_2019_UTAM18";2
"BOGOTA_2019_UTAM25";2
"BOGOTA_2019_UTAM12";2
"BOGOTA_2019_UTAM11";2
"BOGOTA_2019_UTAM13";2
"BOGOTA_2019_UTAM88";3
"BOGOTA_2019_UTAM14";2
"BOGOTA_2019_UTAM15";2
"BOGOTA_2019_UTAM105";2
"BOGOTA_2019_UTAM24";2
"BOGOTA_2019_UTAM28";2
"BOGOTA_2019_UTAM72";2
"BOGOTA_2019_UTAM29";2
"BOGOTA_2019_UTAM99";3
"BOGOTA_2019_UTAM89";3
"BOGOTA_2019_UTAM97";3
"BOGOTA_2019_UTAM21";3
"BOGOTA_2019_UTAM98";3
"BOGOTA_2019_UTAM22";3
"BOGOTA_2019_UTAM26";2
"BOGOTA_2019_UTAM30";2
"BOGOTA_2019_UTAM73";2
"BOGOTA_2019_UTAM74";2
"BOGOTA_2019_UTAM116";2
"BOGOTA_2019_UTAM31";2
"BOGOTA_2019_UTAM103";3
"BOGOTA_2019_UTAM36";3
"BOGOTA_2019_UTAM90";3
"BOGOTA_2019_UTAM59";2
"BOGOTA_2019_UTAM91";4
"BOGOTA_2019_UTAM101";3
"BOGOTA_2019_UTAM100";3
"BOGOTA_2019_UTAM107";3
"BOGOTA_2019_UTAM106";3
"BOGOTA_2019_UTAM104";3
"BOGOTA_2019_UTAM110";2
"BOGOTA_2019_UTAM115";2
"BOGOTA_2019_UTAM114";2
"BOGOTA_2019_UTAM76";2
"BOGOTA_2019_UTAM75";2
"BOGOTA_2019_UTAM77";2
"BOGOTA_2019_UTAM112";2
"BOGOTA_2019_UTAM109";3
"BOGOTA_2019_UTAM111";3
"BOGOTA_2019_UTAM81";2
"BOGOTA_2019_UTAM92";4
"BOGOTA_2019_UTAM53";3
"BOGOTA_2019_UTAM93";4
"BOGOTA_2019_UTAM102";3
"BOGOTA_2019_UTAM94";4
"BOGOTA_2019_UTAM37";3
"BOGOTA_2019_UTAM108";3
"BOGOTA_2019_UTAM40";3
"BOGOTA_2019_UTAM43";3
"BOGOTA_2019_UTAM113";2
"BOGOTA_2019_UTAM35";3
"BOGOTA_2019_UTAM48";2
"BOGOTA_2019_UTAM46";2
"BOGOTA_2019_UTAM79";2
"BOGOTA_2019_UTAM78";2
"BOGOTA_2019_UTAM80";2
"BOGOTA_2019_UTAM82";2
"BOGOTA_2019_UTAM47";2
"BOGOTA_2019_UTAM44";2
"BOGOTA_2019_UTAM45";2
"BOGOTA_2019_UTAM38";3
"BOGOTA_2019_UTAM95";4
"BOGOTA_2019_UTAM56";2
"BOGOTA_2019_UTAM33";3
"BOGOTA_2019_UTAM32";3
"BOGOTA_2019_UTAM96";4
"BOGOTA_2019_UTAM34";3
"BOGOTA_2019_UTAM41";3
"BOGOTA_2019_UTAM83";2
"BOGOTA_2019_UTAM49";2
"BOGOTA_2019_UTAM85";2
"BOGOTA_2019_UTAM84";2
"BOGOTA_2019_UTAM86";2
"BOGOTA_2019_UTAM87";2
"BOGOTA_2019_UTAM69";2
"BOGOTA_2019_UTAM65";2
"BOGOTA_2019_UTAM42";3
"BOGOTA_2019_UTAM39";3
"BOGOTA_2019_UTAM51";3
"BOGOTA_2019_UTAM575";1
"BOGOTA_2019_UTAM70";2
"BOGOTA_2019_UTAM50";3
"BOGOTA_2019_UTAM55";3
"BOGOTA_2019_UTAM54";3
"BOGOTA_2019_UTAM62";3
"BOGOTA_2019_UTAM66";2
"BOGOTA_2019_UTAM67";2
"BOGOTA_2019_UTAM52";2
"BOGOTA_2019_UTAM68";2
"BOGOTA_2019_UTAM57";2
"BOGOTA_2019_UTAM58";2
"BOGOTA_2019_UTAM61";2
"BOGOTA_2019_UTAM570";1
"BOGOTA_2019_UTAM571";1
"BOGOTA_2019_UTAM572";1
"BOGOTA_2019_UTAM573";1
"BOGOTA_2019_UTAM574";1
"BOGOTA_2019_UTAM640";1
"BOGOTA_2019_UTAM690";1
"BOGOTA_2019_UTAM620";1
"BOGOTA_2019_UTAM670";1
"BOGOTA_2019_UTAM680";1
"BOGOTA_2019_UTAM610";1
"BOGOTA_2019_UTAM590";1
