"ID_SEC";"ZONAGE_SEC"
"ALBI_2011_009";2
"ALBI_2011_011";2
"ALBI_2011_012";2
"ALBI_2011_013";2
"ALBI_2011_014";1
"ALBI_2011_015";2
"ALENCON_2018_502";2
"ALENCON_2018_503";1
"ALENCON_2018_504";1
"ALENCON_2018_505";1
"ALENCON_2018_506";1
"ALENCON_2018_507";1
"ALENCON_2018_508";1
"ALENCON_2018_509";1
"ALENCON_2018_510";2
"ALENCON_2018_511";1
"ALENCON_2018_512";1
"ALENCON_2018_513";1
"ALENCON_2018_514";1
"ALENCON_2018_515";1
"ALENCON_2018_516";2
"ALENCON_2018_517";2
"ALENCON_2018_518";1
"ALENCON_2018_519";1
"ALENCON_2018_521";1
"ALENCON_2018_522";1
"ALENCON_2018_523";1
"ALENCON_2018_524";1
"ALENCON_2018_525";1
"ALENCON_2018_526";1
"ALENCON_2018_527";1
"ALENCON_2018_604";2
"ALENCON_2018_605";1
"ALENCON_2018_606";1
"ALENCON_2018_607";2
"ALENCON_2018_608";1
"ALENCON_2018_609";1
"ALENCON_2018_610";1
"ALENCON_2018_612";2
"ALENCON_2018_613";1
"ALENCON_2018_614";1
"ALENCON_2018_615";1
"ALENCON_2018_616";1
"ALENCON_2018_617";1
"ALENCON_2018_618";1
"ALENCON_2018_701";1
"AMIENS_2010_020";2
"AMIENS_2010_021";2
"AMIENS_2010_022";2
"AMIENS_2010_023";2
"AMIENS_2010_024";2
"AMIENS_2010_025";2
"AMIENS_2010_026";1
"AMIENS_2010_027";1
"AMIENS_2010_028";1
"AMIENS_2010_029";1
"AMIENS_2010_030";1
"AMIENS_2010_031";1
"AMIENS_2010_032";1
"AMIENS_2010_033";1
"AMIENS_2010_034";1
"AMIENS_2010_035";1
"AMIENS_2010_036";1
"AMIENS_2010_037";1
"AMIENS_2010_038";1
"AMIENS_2010_039";1
"AMIENS_2010_040";1
"AMIENS_2010_041";1
"AMIENS_2010_042";1
"AMIENS_2010_043";2
"AMIENS_2010_044";1
"AMIENS_2010_045";2
"ANGERS_2012_012";2
"ANGERS_2012_013";2
"ANGERS_2012_014";1
"ANGERS_2012_015";2
"ANGERS_2012_016";2
"ANGERS_2012_017";2
"ANGERS_2012_018";1
"ANGERS_2012_019";1
"ANGERS_2012_020";1
"ANGERS_2012_021";1
"ANGERS_2012_022";1
"ANGERS_2012_024";1
"ANGERS_2012_025";1
"ANGERS_2012_026";1
"ANGERS_2012_027";2
"ANGERS_2012_028";1
"ANGOULEME_2012_004";2
"ANGOULEME_2012_007";2
"ANGOULEME_2012_008";2
"ANGOULEME_2012_009";2
"ANGOULEME_2012_010";2
"ANGOULEME_2012_011";2
"ANGOULEME_2012_012";2
"ANGOULEME_2012_013";2
"ANGOULEME_2012_014";2
"ANGOULEME_2012_015";1
"ANGOULEME_2012_016";1
"ANGOULEME_2012_017";1
"ANGOULEME_2012_018";1
"ANNECY_2017_313";1
"ANNECY_2017_314";2
"ANNECY_2017_315";2
"ANNECY_2017_316";1
"ANNECY_2017_317";1
"ANNECY_2017_318";1
"ANNECY_2017_401";1
"ANNECY_2017_402";1
"ANNECY_2017_403";1
"ANNECY_2017_404";2
"ANNECY_2017_405";2
"ANNECY_2017_406";2
"ANNECY_2017_407";1
"ANNECY_2017_409";2
"ANNECY_2017_410";2
"ANNECY_2017_411";2
"ANNECY_2017_412";2
"ANNECY_2017_413";2
"ANNECY_2017_414";2
"ANNECY_2017_415";1
"ANNECY_2017_416";1
"ANNEMASSE_2016_106";2
"ANNEMASSE_2016_107";2
"ANNEMASSE_2016_108";2
"ANNEMASSE_2016_109";2
"ANNEMASSE_2016_110";2
"ANNEMASSE_2016_111";2
"ANNEMASSE_2016_112";1
"ANNEMASSE_2016_113";1
"ANNEMASSE_2016_114";1
"ANNEMASSE_2016_115";2
"ANNEMASSE_2016_116";2
"ANNEMASSE_2016_117";2
"ANNEMASSE_2016_118";2
"ANNEMASSE_2016_201";2
"ANNEMASSE_2016_202";2
"ANNEMASSE_2016_203";2
"ANNEMASSE_2016_204";2
"ANNEMASSE_2016_205";2
"ANNEMASSE_2016_206";1
"ANNEMASSE_2016_207";1
"ANNEMASSE_2016_208";1
"ANNEMASSE_2016_210";2
"ANNEMASSE_2016_211";1
"ANNEMASSE_2016_212";1
"ANNEMASSE_2016_213";2
"ANNEMASSE_2016_214";1
"ANNEMASSE_2016_215";1
"ANNEMASSE_2016_216";1
"ANNEMASSE_2016_217";1
"ANNEMASSE_2016_218";1
"ANNEMASSE_2016_220";1
"ANNEMASSE_2016_251";1
"ANNEMASSE_2016_252";2
"ANNEMASSE_2016_253";2
"ANNEMASSE_2016_254";1
"BAYONNE_2010_009";2
"BAYONNE_2010_014";2
"BAYONNE_2010_016";2
"BAYONNE_2010_018";2
"BAYONNE_2010_019";2
"BAYONNE_2010_020";2
"BAYONNE_2010_021";2
"BAYONNE_2010_022";2
"BAYONNE_2010_023";2
"BAYONNE_2010_024";2
"BAYONNE_2010_025";2
"BAYONNE_2010_026";1
"BAYONNE_2010_027";2
"BAYONNE_2010_028";2
"BAYONNE_2010_029";2
"BAYONNE_2010_030";1
"BAYONNE_2010_031";1
"BAYONNE_2010_032";1
"BAYONNE_2010_033";2
"BAYONNE_2010_034";1
"BAYONNE_2010_035";2
"BAYONNE_2010_036";2
"BAYONNE_2010_038";2
"BAYONNE_2010_039";2
"BAYONNE_2010_040";2
"BAYONNE_2010_101";1
"BAYONNE_2010_102";1
"BAYONNE_2010_103";1
"BAYONNE_2010_104";1
"BAYONNE_2010_105";1
"BAYONNE_2010_106";1
"BAYONNE_2010_107";1
"BAYONNE_2010_108";1
"BAYONNE_2010_109";1
"BAYONNE_2010_110";1
"BESANCON_2018_118";1
"BESANCON_2018_119";1
"BESANCON_2018_120";1
"BESANCON_2018_121";1
"BESANCON_2018_122";1
"BESANCON_2018_123";1
"BESANCON_2018_124";1
"BESANCON_2018_125";1
"BESANCON_2018_126";1
"BESANCON_2018_127";1
"BESANCON_2018_128";1
"BEZIERS_2014_109";1
"BEZIERS_2014_110";1
"BEZIERS_2014_111";1
"BEZIERS_2014_112";1
"BEZIERS_2014_113";1
"BEZIERS_2014_114";1
"BEZIERS_2014_115";2
"BEZIERS_2014_116";1
"BEZIERS_2014_118";2
"BEZIERS_2014_120";1
"BEZIERS_2014_121";1
"BEZIERS_2014_122";1
"BEZIERS_2014_123";2
"BEZIERS_2014_124";1
"BEZIERS_2014_125";1
"BEZIERS_2014_126";1
"BEZIERS_2014_127";1
"BEZIERS_2014_128";1
"BEZIERS_2014_129";2
"BEZIERS_2014_130";1
"BORDEAUX_2009_023";2
"BORDEAUX_2009_026";2
"BORDEAUX_2009_035";2
"BORDEAUX_2009_037";2
"BORDEAUX_2009_038";2
"BORDEAUX_2009_039";2
"BORDEAUX_2009_041";2
"BORDEAUX_2009_042";2
"BORDEAUX_2009_043";2
"BORDEAUX_2009_044";2
"BORDEAUX_2009_046";1
"BORDEAUX_2009_047";1
"BORDEAUX_2009_050";2
"BORDEAUX_2009_052";1
"BORDEAUX_2009_057";2
"BORDEAUX_2009_058";2
"BORDEAUX_2009_059";2
"BORDEAUX_2009_060";2
"BORDEAUX_2009_061";1
"BORDEAUX_2009_062";2
"BORDEAUX_2009_063";2
"BORDEAUX_2009_064";2
"BORDEAUX_2009_065";1
"BORDEAUX_2009_066";2
"BORDEAUX_2009_067";2
"BORDEAUX_2009_068";2
"BORDEAUX_2009_069";2
"BORDEAUX_2009_072";2
"BORDEAUX_2009_074";2
"BORDEAUX_2009_077";2
"BORDEAUX_2009_078";2
"BORDEAUX_2009_079";2
"BORDEAUX_2009_080";2
"BORDEAUX_2009_081";2
"BORDEAUX_2009_082";2
"BORDEAUX_2009_083";2
"BORDEAUX_2009_101";1
"BORDEAUX_2009_102";2
"BORDEAUX_2009_103";1
"BORDEAUX_2009_104";1
"BORDEAUX_2009_105";1
"BORDEAUX_2009_106";1
"BORDEAUX_2009_107";2
"BORDEAUX_2009_108";2
"BORDEAUX_2009_109";2
"BORDEAUX_2009_110";1
"BORDEAUX_2009_111";1
"BORDEAUX_2009_112";1
"BORDEAUX_2009_113";1
"BORDEAUX_2009_114";1
"BORDEAUX_2009_115";1
"BORDEAUX_2009_116";1
"BORDEAUX_2009_117";1
"BORDEAUX_2009_118";1
"BORDEAUX_2009_119";1
"BREST_2018_017";2
"BREST_2018_019";1
"BREST_2018_020";2
"BREST_2018_021";2
"BREST_2018_023";2
"BREST_2018_024";2
"BREST_2018_026";2
"BREST_2018_027";1
"BREST_2018_028";1
"BREST_2018_029";1
"BREST_2018_030";1
"BREST_2018_031";1
"BREST_2018_032";1
"BREST_2018_033";1
"BREST_2018_034";1
"BREST_2018_035";1
"BREST_2018_036";2
"BREST_2018_037";1
"BREST_2018_038";1
"BREST_2018_039";1
"BREST_2018_040";1
"BREST_2018_041";1
"BREST_2018_042";1
"BREST_2018_043";1
"BREST_2018_044";2
"BREST_2018_045";1
"BREST_2018_046";1
"CAEN_2011_119";2
"CAEN_2011_122";2
"CAEN_2011_123";2
"CAEN_2011_125";2
"CAEN_2011_126";2
"CAEN_2011_127";1
"CAEN_2011_128";2
"CAEN_2011_129";2
"CAEN_2011_130";1
"CAEN_2011_131";1
"CAEN_2011_132";1
"CAEN_2011_133";2
"CAEN_2011_134";2
"CAEN_2011_201";1
"CAEN_2011_202";1
"CAEN_2011_203";1
"CAEN_2011_204";1
"CAEN_2011_205";1
"CAEN_2011_206";1
"CAEN_2011_207";1
"CAEN_2011_208";1
"CAEN_2011_209";1
"CAEN_2011_210";2
"CAEN_2011_211";2
"CAEN_2011_212";2
"CAEN_2011_213";2
"CAEN_2011_214";1
"CAEN_2011_215";1
"CAEN_2011_216";1
"CAEN_2011_217";1
"CAEN_2011_218";2
"CAEN_2011_220";1
"CAEN_2011_221";1
"CAEN_2011_222";1
"CAEN_2011_223";2
"CAEN_2011_224";1
"CAEN_2011_225";1
"CAEN_2011_227";1
"CAEN_2011_228";1
"CAEN_2011_229";1
"CAEN_2011_230";1
"CAEN_2011_231";2
"CAEN_2011_232";1
"CAEN_2011_233";1
"CARCASSONNE_2015_010";1
"CARCASSONNE_2015_011";1
"CARCASSONNE_2015_012";1
"CARCASSONNE_2015_013";1
"CARCASSONNE_2015_014";1
"CARCASSONNE_2015_015";1
"CARCASSONNE_2015_016";1
"CARCASSONNE_2015_017";1
"CARCASSONNE_2015_018";1
"CARCASSONNE_2015_019";1
"CHERBOURG_2016_013";1
"CHERBOURG_2016_015";1
"CHERBOURG_2016_016";1
"CHERBOURG_2016_017";1
"CHERBOURG_2016_018";1
"CHERBOURG_2016_019";1
"CHERBOURG_2016_020";1
"CHERBOURG_2016_021";1
"CHERBOURG_2016_022";2
"CHERBOURG_2016_023";1
"CHERBOURG_2016_024";1
"CHERBOURG_2016_025";1
"CHERBOURG_2016_026";1
"CHERBOURG_2016_027";1
"CLERMONT FERRAND_2012_109";2
"CLERMONT FERRAND_2012_110";2
"CLERMONT FERRAND_2012_111";2
"CLERMONT FERRAND_2012_112";2
"CLERMONT FERRAND_2012_113";2
"CLERMONT FERRAND_2012_114";2
"CLERMONT FERRAND_2012_115";1
"CLERMONT FERRAND_2012_116";2
"CLERMONT FERRAND_2012_117";2
"CLERMONT FERRAND_2012_118";2
"CLERMONT FERRAND_2012_119";1
"CLERMONT FERRAND_2012_120";1
"CLERMONT FERRAND_2012_121";1
"CLERMONT FERRAND_2012_122";1
"CLERMONT FERRAND_2012_123";1
"CLERMONT FERRAND_2012_124";1
"CLERMONT FERRAND_2012_125";1
"CLERMONT FERRAND_2012_126";1
"CLERMONT FERRAND_2012_127";1
"CLERMONT FERRAND_2012_128";1
"CLERMONT FERRAND_2012_129";1
"CLERMONT FERRAND_2012_130";1
"CLERMONT FERRAND_2012_131";1
"CLERMONT FERRAND_2012_132";1
"CLERMONT FERRAND_2012_201";1
"CLERMONT FERRAND_2012_202";1
"CLERMONT FERRAND_2012_203";1
"CLERMONT FERRAND_2012_204";1
"CLERMONT FERRAND_2012_205";1
"CLERMONT FERRAND_2012_206";1
"CLERMONT FERRAND_2012_207";1
"CLERMONT FERRAND_2012_208";1
"CLERMONT FERRAND_2012_209";1
"CLERMONT FERRAND_2012_210";2
"CLERMONT FERRAND_2012_211";1
"CLERMONT FERRAND_2012_212";1
"CLERMONT FERRAND_2012_213";1
"CLERMONT FERRAND_2012_214";1
"CLERMONT FERRAND_2012_215";1
"CLERMONT FERRAND_2012_216";1
"CLERMONT FERRAND_2012_217";2
"CLERMONT FERRAND_2012_218";2
"CLERMONT FERRAND_2012_220";2
"CLERMONT FERRAND_2012_221";2
"CLERMONT FERRAND_2012_222";1
"CLERMONT FERRAND_2012_223";2
"CLERMONT FERRAND_2012_224";1
"CREIL_2017_006";2
"CREIL_2017_008";2
"CREIL_2017_009";2
"CREIL_2017_010";2
"CREIL_2017_011";1
"CREIL_2017_012";2
"CREIL_2017_013";2
"CREIL_2017_014";1
"CREIL_2017_015";1
"CREIL_2017_016";2
"CREIL_2017_017";1
"CREIL_2017_018";1
"CREIL_2017_019";1
"CREIL_2017_020";1
"CREIL_2017_021";1
"CREIL_2017_022";1
"CREIL_2017_023";1
"CREIL_2017_024";2
"CREIL_2017_026";1
"CREIL_2017_027";1
"CREIL_2017_028";1
"CREIL_2017_029";1
"CREIL_2017_030";1
"CREIL_2017_031";1
"DIJON_2016_115";1
"DIJON_2016_116";2
"DIJON_2016_117";2
"DIJON_2016_118";2
"DIJON_2016_119";2
"DIJON_2016_120";2
"DIJON_2016_121";1
"DIJON_2016_122";2
"DIJON_2016_123";2
"DIJON_2016_124";2
"DIJON_2016_201";1
"DIJON_2016_202";1
"DIJON_2016_203";1
"DIJON_2016_204";1
"DIJON_2016_205";1
"DIJON_2016_206";1
"DOUAI_2012_007";2
"DOUAI_2012_009";2
"DOUAI_2012_010";2
"DOUAI_2012_011";2
"DOUAI_2012_012";2
"DOUAI_2012_013";2
"DOUAI_2012_014";2
"DOUAI_2012_015";2
"DOUAI_2012_016";1
"DOUAI_2012_017";2
"DOUAI_2012_018";2
"DOUAI_2012_019";2
"DOUAI_2012_020";1
"DOUAI_2012_021";2
"DOUAI_2012_022";2
"DOUAI_2012_024";2
"DOUAI_2012_025";2
"DOUAI_2012_026";2
"DOUAI_2012_027";1
"DOUAI_2012_028";2
"DOUAI_2012_029";2
"DOUAI_2012_030";1
"DOUAI_2012_031";1
"DOUAI_2012_032";2
"DOUAI_2012_033";2
"DOUAI_2012_034";2
"DOUAI_2012_035";1
