"hour","Duncan","Moran"
"min",0,-0.102109857684394
"max",0.9746,0.60940390760996
"4am",0.4522,0.0897475151879156
"5am",0.3872,0.0994567234787791
"6am",0.2927,0.0897706569156123
"7am",0.2387,0.108612196761154
"8am",0.1869,0.100796840175811
"9am",0.1998,0.21766454485609
"10am",0.2302,0.357299018991337
"11am",0.2253,0.360366735445917
"12am",0.2245,0.373211743927431
"1pm",0.2116,0.440465531141806
"2pm",0.2161,0.369024789190612
"3pm",0.2199,0.404325667173403
"4pm",0.2335,0.405636480224149
"5pm",0.2622,0.460557711873223
"6pm",0.2995,0.524185641461166
"7pm",0.2906,0.524466386549951
"8pm",0.2811,0.432926752614112
"9pm",0.2949,0.286891168841373
"10pm",0.3063,0.23627487619836
"11pm",0.3202,0.18399160515302
"12pm",0.3299,0.133890060344408
"1am",0.3207,0.0417224092429606
"2am",0.3335,0.0340717650257232
"3am",0.3165,0.0493741057347171
