"hour","Duncan","Moran"
"min",0,-0.102109857684394
"max",0.9746,0.60940390760996
"4am",0,0
"5am",0,0
"6am",0,0
"7am",0.9073,0.0345194600969817
"8am",0.8272,-0.0464041387711472
"9am",0.4112,0.00762089501649192
"10am",0.2837,0.0674121976043125
"11am",0.249,0.101280552073006
"12am",0.2433,-0.030650510288749
"1pm",0.3119,-0.0127705582935773
"2pm",0.3121,-0.0171363414947366
"3pm",0.2904,0.0134250284604714
"4pm",0.2567,0.00314527446610687
"5pm",0.2381,0.0210147583863125
"6pm",0.2268,0.0168298750908065
"7pm",0.2359,0.0589964434824942
"8pm",0.3539,0.04529714327984
"9pm",0.6471,-0.102109857684394
"10pm",0.8221,0.0286193082978891
"11pm",0.9206,-0.0055378318983161
"12pm",0.944,-0.00957747459635275
"1am",0.961,-0.0364566653653232
"2am",0.9746,-0.0293842705089518
"3am",0.9746,-0.0293842705089518
