"hour";"7501";"7502";"7503";"7504";"7505";"7506";"7507";"7508";"7509";"7510";"7511";"7512";"7513";"7514";"7701";"7702";"7703";"7704";"7705";"7706";"7707";"7708";"7709";"7710";"7711";"7712";"7713";"7714";"7715";"7716";"7801";"7802";"7803";"7804";"7805";"7806";"7807";"7808";"7809";"7810";"7811";"7812";"7813";"7814";"7815";"7816";"9101";"9102";"9103";"9104";"9105";"9106";"9107";"9108";"9109";"9110";"9111";"9112";"9113";"9114";"9201";"9202";"9203";"9204";"9205";"9206";"9207";"9208";"9209";"9210";"9211";"9212";"9302";"9303";"9304";"9305";"9306";"9307";"9308";"9309";"9310";"9311";"9312";"9402";"9403";"9404";"9405";"9406";"9407";"9408";"9409";"9410";"9411";"9412";"9413";"9414";"9501";"9502";"9503";"9504";"9505";"9506";"9507";"9508";"9509";"9510";"9511";"9512";"9513"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566";"142187.29590566"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"7am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"8am";"   0.000";"7785.117";"3931.358";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2714.643";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"6115.127";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3500.230";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";" 6479.146";"22004.065";" 9189.384";" 5596.374";" 4164.661";" 5325.041";"12911.108";"    0.000";" 9150.485";" 3485.366";" 6817.479";" 3962.407";"    0.000";"    0.000";"    0.000";" 9960.052";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2645.979";"    0.000";"    0.000";" 3451.448";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 9528.467";"    0.000";"    0.000";"    0.000";" 4619.343";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 5060.544";"    0.000";" 4192.389";"    0.000";" 6572.444";" 7700.921";" 6607.367";"    0.000";"    0.000";"    0.000";"    0.000";" 4902.165";"    0.000";"    0.000";"    0.000";" 4756.425";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4000.800";" 7064.838";"    0.000";"    0.000";"    0.000";"    0.000";" 5287.104";"    0.000";" 5994.009";" 3598.543";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3486.838";" 3726.073";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"10am";"13036.438";"28116.751";"16805.299";"12420.386";" 8542.477";" 7527.656";"14770.595";" 5109.615";"13165.225";" 8664.575";" 7830.298";" 4567.103";"10173.795";" 5665.389";" 4584.247";"10972.342";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2673.110";"    0.000";"    0.000";" 3451.448";"    0.000";"    0.000";"    0.000";"    0.000";" 3519.423";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"11049.367";"    0.000";"    0.000";"    0.000";" 5008.343";" 6102.480";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2855.751";"    0.000";"    0.000";"    0.000";" 5431.396";"    0.000";" 6108.078";"    0.000";" 8533.709";"10194.377";"11416.755";" 4762.600";" 4803.351";" 5006.299";" 3533.351";" 7991.410";"    0.000";"    0.000";"    0.000";" 5849.179";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 5858.398";"10765.331";"    0.000";" 3485.920";"    0.000";"    0.000";" 6028.629";"    0.000";" 6395.993";" 3598.543";"    0.000";"    0.000";"    0.000";" 2447.181";"    0.000";" 4169.878";" 3995.952";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
