"hour","Duncan","Moran"
"min",0.0639,-0.0793225236073434
"max",0.1669,0.230583581647629
"4am",0.0764,0.134962633195388
"5am",0.0767,0.125181913452301
"6am",0.0778,0.0946470527565032
"7am",0.0778,0.0534513763147898
"8am",0.0758,0.020721375100658
"9am",0.0806,-0.0302402982852066
"10am",0.0733,-0.027399456432835
"11am",0.0725,-0.0185119069223287
"12am",0.0782,-0.0793225236073434
"1pm",0.0782,-0.0738584167065435
"2pm",0.0776,-0.0717527623725707
"3pm",0.0794,-0.0461847121729233
"4pm",0.0819,-0.0655324744278969
"5pm",0.0794,-0.0416133180091924
"6pm",0.0769,-0.00178745843833409
"7pm",0.0678,0.048443007676172
"8pm",0.0639,0.10178738501037
"9pm",0.0669,0.120448646840737
"10pm",0.0666,0.140929356612999
"11pm",0.0677,0.142318919585349
"12pm",0.0695,0.120681911895242
"1am",0.0728,0.147649762416185
"2am",0.0742,0.142475865656466
"3am",0.0745,0.140197912551759
