"hour","Duncan","Moran"
"min",0.102,0.119456553654775
"max",0.3517,0.732379148944619
"4am",0.2458,0.511131909059127
"5am",0.246,0.51634478627546
"6am",0.2455,0.514965846471027
"7am",0.2398,0.503452689442803
"8am",0.2338,0.528344836990559
"9am",0.2259,0.551310431023068
"10am",0.2353,0.559667486972062
"11am",0.2349,0.559291798155159
"12am",0.2382,0.554216065091142
"1pm",0.2414,0.533759280722018
"2pm",0.2361,0.5490895041216
"3pm",0.2371,0.548196950926532
"4pm",0.2451,0.566089980712321
"5pm",0.2477,0.550098298467079
"6pm",0.2485,0.543177369692986
"7pm",0.2509,0.537180683093214
"8pm",0.2516,0.524848365922352
"9pm",0.2506,0.531065841844516
"10pm",0.2501,0.529511155386639
"11pm",0.2476,0.528092732218882
"12pm",0.2494,0.526266263502078
"1am",0.2482,0.528389661485976
"2am",0.2479,0.525609669323175
"3am",0.25,0.526702117951629
