"hour","Duncan","Moran"
"min",0.1064,0.110254405314464
"max",0.3301,0.702912085358046
"4am",0.173,0.195018795433081
"5am",0.1734,0.197835358713988
"6am",0.1745,0.20182377254907
"7am",0.1715,0.194021069624055
"8am",0.1709,0.214990685393476
"9am",0.1698,0.247350997421127
"10am",0.1717,0.288113971090651
"11am",0.1738,0.293368427421861
"12am",0.1697,0.304692265815738
"1pm",0.1744,0.323424330726013
"2pm",0.1712,0.278626915351796
"3pm",0.1691,0.310868500460089
"4pm",0.1713,0.297632296774925
"5pm",0.1676,0.271608805195424
"6pm",0.1711,0.207157718162247
"7pm",0.1669,0.212384856382411
"8pm",0.1682,0.196669841686661
"9pm",0.168,0.184411710966646
"10pm",0.1694,0.180869564208585
"11pm",0.172,0.196997263776947
"12pm",0.1719,0.194243655523141
"1am",0.1718,0.194568425194845
"2am",0.1724,0.193351708396281
"3am",0.1726,0.193531351498424
