"hour","Duncan","Moran"
"min",0.6294,0.531993495325608
"max",0.9905,0.787768876029085
"4am",0.9765,0.551584822169461
"5am",0.9749,0.553115988760041
"6am",0.9667,0.556960167843568
"7am",0.9372,0.56366580152979
"8am",0.8742,0.575746254866665
"9am",0.7731,0.603168509915811
"10am",0.7039,0.619913797679019
"11am",0.6778,0.631386590333479
"12am",0.6657,0.62721493147493
"1pm",0.6688,0.623632446439651
"2pm",0.6651,0.63199528589855
"3pm",0.6672,0.629567839990616
"4pm",0.6847,0.627532519521523
"5pm",0.7246,0.631641429072505
"6pm",0.8067,0.598585832111973
"7pm",0.8861,0.572596042469355
"8pm",0.9206,0.5615081412643
"9pm",0.9305,0.553840748000729
"10pm",0.9422,0.553529043310426
"11pm",0.9581,0.551380291451521
"12pm",0.9658,0.550128575624385
"1am",0.9733,0.548449937396397
"2am",0.975,0.548696706207044
"3am",0.9766,0.548356962922813
