"hour","Duncan","Moran"
"min",0.0686,0.0590409547707315
"max",0.1898,0.41472251787493
"4am",0.1393,0.17991372880705
"5am",0.14,0.181489498720506
"6am",0.1414,0.194293611354048
"7am",0.1457,0.211336230455133
"8am",0.1512,0.273331789376958
"9am",0.1719,0.280664420388058
"10am",0.1845,0.310988922727723
"11am",0.1855,0.338927434212619
"12am",0.1832,0.339676662466503
"1pm",0.1848,0.340696492161399
"2pm",0.1817,0.29935365587028
"3pm",0.1793,0.295067035347253
"4pm",0.178,0.278599305795842
"5pm",0.1779,0.242049709434008
"6pm",0.169,0.157144311648354
"7pm",0.1526,0.10633859639628
"8pm",0.1435,0.154736624920504
"9pm",0.1388,0.136994456628756
"10pm",0.1405,0.154054517829445
"11pm",0.1413,0.176423538719044
"12pm",0.1343,0.17152327653953
"1am",0.1328,0.174477255881201
"2am",0.1327,0.174038957134565
"3am",0.1323,0.171140103634325
