"hour","Duncan","Moran"
"min",0.1124,0.132840314736957
"max",0.314,0.641533561968454
"4am",0.1354,0.163369239890577
"5am",0.1352,0.165240252934535
"6am",0.1318,0.165368743355996
"7am",0.1313,0.176075472065738
"8am",0.1289,0.215328693271397
"9am",0.1259,0.187436857955687
"10am",0.1199,0.212833886032805
"11am",0.1181,0.224869869485666
"12am",0.1146,0.241356850340746
"1pm",0.1155,0.216797750399431
"2pm",0.1207,0.188280350407768
"3pm",0.1168,0.182383828719512
"4pm",0.1124,0.206791217520604
"5pm",0.1271,0.203819564801444
"6pm",0.1295,0.169446185413632
"7pm",0.1257,0.158611002475358
"8pm",0.1291,0.160166596184385
"9pm",0.1314,0.149459750280557
"10pm",0.1304,0.132840314736957
"11pm",0.1298,0.153560871306173
"12pm",0.1331,0.162814970240188
"1am",0.1339,0.156595177391464
"2am",0.1353,0.155902745095781
"3am",0.1351,0.156282390745029
