"hour","Duncan","Moran"
"min",0.1124,0.132840314736957
"max",0.314,0.641533561968454
"4am",0.3044,0.600717046359192
"5am",0.3044,0.600528659911875
"6am",0.3028,0.59776564705884
"7am",0.297,0.585755025733142
"8am",0.2967,0.589920959992568
"9am",0.2708,0.636058095200927
"10am",0.2648,0.640013293050894
"11am",0.2633,0.636524579793046
"12am",0.2612,0.596367522591832
"1pm",0.267,0.584432324756847
"2pm",0.2677,0.605161026181229
"3pm",0.2732,0.63608414465358
"4pm",0.2751,0.638165798069813
"5pm",0.275,0.634239666780345
"6pm",0.2944,0.641533561968454
"7pm",0.3104,0.629325912784243
"8pm",0.314,0.609539702518205
"9pm",0.3086,0.602058685537228
"10pm",0.3058,0.599207741310992
"11pm",0.3059,0.596875127359666
"12pm",0.3062,0.593966160020275
"1am",0.3079,0.593012127605814
"2am",0.3065,0.593765601992549
"3am",0.306,0.596356503835266
