"hour","Duncan","Moran"
"min",0.0319,0.0139407209230139
"max",0.0581,0.157406676812087
"4am",0.0319,0.0139407209230139
"5am",0.0322,0.0183240938620417
"6am",0.0335,0.0259501190057331
"7am",0.0384,0.0915329623797272
"8am",0.0484,0.0882357240700632
"9am",0.058,0.0720653293409735
"10am",0.0555,0.0346068725848079
"11am",0.0533,0.0564887383570994
"12am",0.0562,0.0620086962577185
"1pm",0.0549,0.0703748613234958
"2pm",0.0581,0.0845850451423144
"3pm",0.0567,0.0985188805488896
"4pm",0.057,0.0919816600516062
"5pm",0.0551,0.0897634078249114
"6pm",0.0537,0.0357056350206485
"7pm",0.0495,0.0459843910058479
"8pm",0.0372,0.105520713209689
"9pm",0.0364,0.0690025903933298
"10pm",0.0349,0.11473158285621
"11pm",0.0349,0.155706438910937
"12pm",0.0349,0.157406676812087
"1am",0.0333,0.141898601222307
"2am",0.0319,0.141227021371155
"3am",0.0322,0.141643739413087
