"hour","Duncan","Moran"
"min",0.0319,0.0139407209230139
"max",0.0581,0.157406676812087
"4am",0.0319,0.0139407209230143
"5am",0.0322,0.018324093862042
"6am",0.0335,0.0259501190057333
"7am",0.0384,0.091532962379727
"8am",0.0484,0.088235724070063
"9am",0.058,0.0720653293409737
"10am",0.0555,0.0346068725848081
"11am",0.0533,0.0564887383570995
"12am",0.0562,0.0620086962577185
"1pm",0.0549,0.0703748613234959
"2pm",0.0581,0.0845850451423145
"3pm",0.0567,0.0985188805488893
"4pm",0.057,0.0919816600516061
"5pm",0.0551,0.0897634078249115
"6pm",0.0537,0.0357056350206485
"7pm",0.0495,0.0459843910058481
"8pm",0.0372,0.105520713209688
"9pm",0.0364,0.0690025903933301
"10pm",0.0349,0.11473158285621
"11pm",0.0349,0.155706438910937
"12pm",0.0349,0.157406676812087
"1am",0.0333,0.141898601222307
"2am",0.0319,0.141227021371154
"3am",0.0322,0.141643739413086
