"district","hour","age1","age2","age3","age4"
"7501","4am",9.829647,19.672209,55.84404,14.654103
"7502","4am",15.036765,14.07472,50.74124,20.147272
"7503","4am",10.240562,15.889493,58.72537,15.144572
"7504","4am",8.609804,23.780962,56.07517,11.534062
"7505","4am",9.483495,17.207721,59.19276,14.116025
"7506","4am",9.275542,22.684412,50.3196,17.72045
"7507","4am",16.347141,19.671823,47.69594,16.285097
"7508","4am",12.032807,22.64666,47.76276,17.557776
"7509","4am",12.504281,19.336075,49.61892,18.540726
"7510","4am",8.595327,16.038152,51.21867,24.147851
"7511","4am",12.296699,19.356902,50.99741,17.348986
"7512","4am",10.950903,31.281555,44.68318,13.084364
"7513","4am",11.072512,17.976955,55.96373,14.986805
"7514","4am",9.686266,22.355269,52.64278,15.315685
"7701","4am",10.43234,26.607814,55.40337,7.556479
"7702","4am",8.47868,17.675876,63.26786,10.577584
"7703","4am",11.664972,22.850133,53.86967,11.615225
"7704","4am",13.661705,11.605842,58.13333,16.59912
"7705","4am",12.399365,8.767189,68.0993,10.734143
"7706","4am",8.687009,16.035854,57.55156,17.725573
"7707","4am",8.470772,13.833658,59.77144,17.924132
"7708","4am",11.844996,12.023073,60.18765,15.944284
"7709","4am",8.296033,12.498029,65.21066,13.995275
"7710","4am",9.194884,16.502256,60.44507,13.857793
"7711","4am",13.980828,9.753337,63.06464,13.201197
"7712","4am",9.66108,20.784308,51.71123,17.84338
"7713","4am",10.430611,13.149975,57.03219,19.387229
"7714","4am",13.834233,16.505424,49.01016,20.65018
"7715","4am",7.187262,14.128644,58.10445,20.579644
"7716","4am",13.978016,19.740066,58.58569,7.69623
"7801","4am",12.027632,15.604209,58.48606,13.882101
"7802","4am",8.384718,14.020025,56.99501,20.60025
"7803","4am",11.248226,13.409962,57.60522,17.736595
"7804","4am",12.932829,11.958631,55.5744,19.534143
"7805","4am",9.364612,18.08497,56.46703,16.083387
"7806","4am",8.794153,15.738123,59.17365,16.29407
"7807","4am",15.454598,16.864809,47.99543,19.68516
"7808","4am",10.694081,11.824279,66.86246,10.619179
"7809","4am",12.784929,20.883827,54.26743,12.063816
"7810","4am",7.491677,16.947732,54.04603,21.514561
"7811","4am",7.033122,16.471233,52.86366,23.631988
"7812","4am",11.971018,17.358829,49.85973,20.810428
