"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"7501","4am",6.77552,14.585372,23.24689,55.392218
"7502","4am",6.748368,4.678043,28.71649,59.857096
"7503","4am",9.341299,15.343231,23.99161,51.323858
"7504","4am",8.061654,15.093686,28.61011,48.234547
"7505","4am",12.946422,14.385427,19.70238,52.965774
"7506","4am",11.077709,13.992438,31.37365,43.556207
"7507","4am",13.658424,14.567802,28.65249,43.121281
"7508","4am",5.484238,12.373705,25.1565,56.985552
"7509","4am",10.709393,11.210828,24.15393,53.925846
"7510","4am",6.026413,10.09205,29.08482,54.796714
"7511","4am",13.682456,11.040477,29.94914,45.327925
"7512","4am",17.902895,14.038361,23.68358,44.375166
"7513","4am",29.973563,22.327553,17.33848,30.360408
"7514","4am",24.464365,18.917874,26.04312,30.57464
"7701","4am",14.725676,34.50049,35.91684,14.85699
"7702","4am",19.868082,33.249459,22.88677,23.995687
"7703","4am",18.773351,43.53776,25.35469,12.3342
"7704","4am",37.166679,29.942535,25.21386,7.67693
"7705","4am",26.827611,45.146772,21.10765,6.917963
"7706","4am",30.341259,44.482821,20.22715,4.948768
"7707","4am",40.37478,40.65115,14.18818,4.78589
"7708","4am",15.096895,44.619465,25.24679,15.036846
"7709","4am",30.494115,29.345,32.74045,7.420434
"7710","4am",13.877848,28.977222,42.67491,14.47002
"7711","4am",30.026189,31.204649,22.8972,15.871964
"7712","4am",23.760576,43.518319,17.84844,14.872665
"7713","4am",40.093946,32.044803,21.74635,6.114902
"7714","4am",20.718846,36.611416,27.26362,15.406116
"7715","4am",33.748484,44.507915,16.64915,5.094454
"7716","4am",22.886609,41.324986,27.80969,7.978718
"7801","4am",19.508671,26.064174,22.05673,32.370427
"7802","4am",9.610355,18.266961,31.40771,40.714978
"7803","4am",13.128259,23.846352,34.67721,28.348175
"7804","4am",22.227312,24.659806,29.07565,24.037232
"7805","4am",13.693763,37.056089,30.0948,19.15535
"7806","4am",25.909951,42.37183,21.46569,10.252528
"7807","4am",33.987745,39.615495,20.91915,5.477611
"7808","4am",31.8139,41.725295,18.51675,7.944053
"7809","4am",16.944277,34.67341,27.1719,21.210418
"7810","4am",11.657729,38.292193,29.58741,20.462668
"7811","4am",11.012553,23.396446,34.48076,31.11024
"7812","4am",8.450849,21.91985,27.61046,42.018841
"7813","4am",12.688651,35.232259,30.51931,21.559779
"7814","4am",7.708348,36.434958,33.76581,22.090885
"7815","4am",21.500074,32.905973,30.07925,15.514701
"7816","4am",15.17612,33.827665,31.83577,19.160444
"9101","4am",24.876788,33.025843,26.9221,15.175274
"9102","4am",21.789767,31.278417,27.1384,19.793418
"9103","4am",27.224817,34.634172,24.68945,13.451565
"9104","4am",22.109474,38.533165,23.24717,16.110194
"9105","4am",17.854894,37.094087,30.47778,14.573243
"9106","4am",27.257838,31.528534,28.72633,12.487298
"9107","4am",25.186086,35.486983,27.69886,11.628071
"9108","4am",16.213271,35.868563,26.73015,21.188018
"9109","4am",21.193147,26.70092,34.11206,17.993869
"9110","4am",30.081677,32.646019,24.82876,12.44354
"9111","4am",23.042282,23.745528,32.54889,20.663302
"9112","4am",18.520515,29.989833,32.62495,18.8647
"9113","4am",12.562815,26.491679,33.52567,27.419831
"9114","4am",7.458773,22.007744,37.44611,33.08737
"9201","4am",28.231587,17.298006,31.44581,23.0246
"9202","4am",19.432138,28.119114,29.49992,22.948826
"9203","4am",14.329422,15.94482,32.39983,37.325932
"9204","4am",20.435537,30.529523,29.82695,19.20799
"9205","4am",8.382984,23.166946,25.11103,43.339038
"9206","4am",6.819232,25.898113,25.19853,42.084129
"9207","4am",3.596923,10.336495,35.77321,50.293369
"9208","4am",9.131914,21.417633,28.05348,41.396973
"9209","4am",15.042829,18.010508,31.39087,35.555789
"9210","4am",12.669961,18.03387,26.90474,42.391427
"9211","4am",24.150192,23.901491,26.61296,25.335357
"9212","4am",11.709938,27.07543,32.96163,28.252997
"9302","4am",27.843888,40.010449,20.98229,11.16337
"9303","4am",27.305205,22.503256,31.24864,18.942895
"9304","4am",31.03576,33.599958,19.21399,16.150297
"9305","4am",32.841403,36.447975,20.63628,10.074344
"9306","4am",29.813246,27.071983,27.94362,15.171153
"9307","4am",29.495353,34.755147,24.94511,10.804392
"9308","4am",31.901775,31.894857,27.71305,8.490317
"9309","4am",40.019603,29.31247,24.36865,6.299278
"9310","4am",28.421339,38.735552,27.94797,4.895134
"9311","4am",45.659455,24.43824,19.55307,10.349234
"9312","4am",37.867649,32.375989,16.92343,12.832937
"9402","4am",24.422403,41.301447,16.87149,17.404657
"9403","4am",25.108603,28.946754,20.09451,25.85013
"9404","4am",29.597268,30.063502,27.77557,12.563658
"9405","4am",15.86805,30.710811,35.80699,17.614148
"9406","4am",26.579267,36.821995,22.10032,14.498422
"9407","4am",21.54365,24.869243,26.38283,27.204277
"9408","4am",13.439151,28.242349,23.6564,34.662104
"9409","4am",15.439281,15.219751,35.62707,33.713895
"9410","4am",29.238506,30.086755,30.11391,10.560827
"9411","4am",35.894802,34.818742,21.62477,7.661681
"9412","4am",36.63832,27.789192,15.12109,20.451395
"9413","4am",31.274223,31.410306,28.83636,8.479109
"9414","4am",17.144572,32.537429,35.10528,15.212715
"9501","4am",18.85917,34.411948,31.31882,15.410059
"9502","4am",33.43451,32.23065,22.73055,11.604294
"9503","4am",26.565017,35.655785,22.89553,14.883664
"9504","4am",26.543184,32.792641,25.5319,15.13227
"9505","4am",31.23428,36.080001,29.63474,3.050981
"9506","4am",39.464497,29.506626,24.39407,6.634805
"9507","4am",43.906022,31.809723,20.92728,3.356979
"9508","4am",23.510118,40.909478,23.22798,12.352422
"9509","4am",22.562199,27.625695,34.64213,15.169971
"9510","4am",18.026016,36.003511,31.3431,14.627374
"9511","4am",15.586246,32.692558,25.60063,26.120568
"9512","4am",20.715405,27.934834,30.80608,20.543683
"9513","4am",22.609582,28.44018,28.7601,20.190137
"7501","5am",6.77552,14.585372,23.24689,55.392218
