"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"7501","4am",5635.279,12130.824,19334.71,46070.354
"7502","4am",8938.844,6196.505,38037.677,79286.315
"7503","4am",7437.975,12216.992,19103.234,40866.435
"7504","4am",6602.926,12362.537,23433.216,39506.678
"7505","4am",15804.781,17561.494,24052.34,64659.751
"7506","4am",12981.126,16396.675,36764.39,51040.208
"7507","4am",19854.9,21176.838,41651.393,62684.296
"7508","4am",6013.876,13568.69,27585.982,62488.905
"7509","4am",19745.614,20670.142,44534.198,99426.636
"7510","4am",7888.28,13210.001,38070.615,71726.226
"7511","4am",18331.386,14791.734,40125.051,60729.133
"7512","4am",27847.528,21836.338,36839.245,69024.517
"7513","4am",42537.264,31686.358,24606.062,43086.259
"7514","4am",36910.894,28542.562,39292.859,46129.842
"7701","4am",14771.441,34607.712,36028.467,14903.163
"7702","4am",22414.473,37510.873,25820.053,27071.093
"7703","4am",14954.488,34681.336,20197.055,9825.185
"7704","4am",26467.216,21322.743,17955.346,5466.912
"7705","4am",13320.351,22416.116,10480.297,3434.883
"7706","4am",14483.012,21233.306,9655.173,2362.231
"7707","4am",21269.668,21415.261,7474.415,2521.235
"7708","4am",11017.144,32561.602,18424.158,10973.323
"7709","4am",15715.173,15122.975,16872.824,3824.128
"7710","4am",9023.77,18841.81,27748.435,9408.817
"7711","4am",23581.028,24506.53,17982.284,12465.026
"7712","4am",13162.381,24107.357,9887.301,8238.844
"7713","4am",11847.213,9468.801,6425.749,1806.87
"7714","4am",13777.236,24345.183,18129.26,10244.474
"7715","4am",11615.299,15318.399,5730.178,1753.371
"7716","4am",17365.935,31356.635,21101.476,6054.104
"7801","4am",15422.955,20605.535,17437.372,25591.065
"7802","4am",6102.079,11598.577,19942.271,25851.909
"7803","4am",11821.67,21473.046,31225.967,25526.825
"7804","4am",10352.79,11485.769,13542.532,11195.794
"7805","4am",11110.907,30066.736,24418.452,15542.354
"7806","4am",21181.969,34639.927,17548.687,8381.673
"7807","4am",16518.853,19254.074,10167.204,2662.249
"7808","4am",17943.246,23533.337,10443.568,4480.497
"7809","4am",10608.407,21708.195,17011.675,13279.336
"7810","4am",2758.096,9059.53,7000.07,4841.252
"7811","4am",8419.848,17888.18,26362.894,23785.902
"7812","4am",10680.343,27702.721,34894.62,53104.206
"7813","4am",4703.779,13060.865,11313.739,7992.373
"7814","4am",1746.99,8257.479,7652.553,5006.593
"7815","4am",7771.708,11894.639,10872.854,5608.154
"7816","4am",15842.435,35312.884,33233.534,20001.692
"9101","4am",14257.454,18927.863,15429.666,8697.295
"9102","4am",10121.07,14528.427,12605.44,9193.791
"9103","4am",17182.497,21858.79,15582.34,8489.735
"9104","4am",10966.99,19113.654,11531.322,7991.159
"9105","4am",13379.407,27796.127,22838.252,10920.331
"9106","4am",22343.69,25844.448,23547.437,10236.04
"9107","4am",21481.354,30267.047,23624.513,9917.647
"9108","4am",8974.151,19853.484,14795.312,11727.707
"9109","4am",13488.17,16993.538,21710.288,11452.021
"9110","4am",18404.478,19973.385,15190.656,7613.168
"9111","4am",13337.755,13744.821,18840.543,11960.71
"9112","4am",8756.682,14179.488,15425.398,8919.416
"9113","4am",9665.011,20380.973,25792.47,21095.032
"9114","4am",3134.083,9247.378,15734.387,13902.898
"9201","4am",31043.148,19020.701,34577.47,25317.601
"9202","4am",15657.276,22656.731,23769.305,18490.816
"9203","4am",19816.462,22050.43,44806.408,51618.824
"9204","4am",17335.492,25898.232,25302.24,16294.162
"9205","4am",8416.048,23258.32,25210.074,43509.974
"9206","4am",6267.172,23801.499,23158.549,38677.157
"9207","4am",2972.456,8541.96,29562.571,41561.86
"9208","4am",8048.421,18876.452,24724.962,36485.263
"9209","4am",19430.85,23264.206,40547.648,45927.476
"9210","4am",14415.759,20518.763,30611.958,48232.558
"9211","4am",17425.755,17246.302,19202.784,18280.92
"9212","4am",8722.481,20167.905,24552.412,21045.05
"9302","4am",12773.176,18354.495,9625.471,5121.113
"9303","4am",27604.273,22749.73,31590.902,19150.373
"9304","4am",35971.423,38943.409,22269.614,18718.703
"9305","4am",26213.484,29092.193,16471.548,8041.181
"9306","4am",28034.805,25457.066,26276.705,14266.152
"9307","4am",23365.375,27532.034,19760.801,8558.93
"9308","4am",18911.679,18907.578,16428.563,5033.142
"9309","4am",34717.571,25428.983,21140.147,5464.713
"9310","4am",29580.606,40315.521,29087.934,5094.8
"9311","4am",53751.171,28769.157,23018.244,12183.313
"9312","4am",61052.863,52198.827,27285.126,20690.156
"9402","4am",26046.449,44047.921,17993.418,18562.036
"9403","4am",27186.251,31341.995,21757.263,27989.136
"9404","4am",19560.442,19868.571,18356.508,8303.155
"9405","4am",9669.717,18714.642,21820.167,10733.76
"9406","4am",20564.181,28488.904,17098.85,11217.321
"9407","4am",23340.164,26943.077,28582.881,29472.829
"9408","4am",9965.378,20942.223,17541.654,25702.59
"9409","4am",21773.196,21463.605,50242.962,47544.91
"9410","4am",13259.685,13644.366,13656.683,4789.343
"9411","4am",17501.263,16976.607,10543.612,3735.613
"9412","4am",12856.991,9751.686,5306.241,7176.732
"9413","4am",17257.058,17332.149,15911.852,4678.756
"9414","4am",5084.045,9648.637,10410.108,4511.173
"9501","4am",13916.567,25393.28,23110.8,11371.397
"9502","4am",19891.163,19174.952,13523.064,6903.732
"9503","4am",13223.795,17749.087,11397.164,7408.937
"9504","4am",13485.483,16660.571,12971.694,7688.074
"9505","4am",17702.494,20448.879,16795.93,1729.189
"9506","4am",20572.848,15381.808,12716.633,3458.725
"9507","4am",30728.556,22262.706,14646.396,2349.453
"9508","4am",22060.727,38387.423,21795.985,11590.9
"9509","4am",14385.997,17614.558,22088.346,9672.601
"9510","4am",13409.87,26783.646,23316.684,10881.561
"9511","4am",12131.551,25446.246,19926.243,20330.938
"9512","4am",14631.361,19730.469,21758.438,14510.074
"9513","4am",11488.139,14450.719,14613.275,10258.796
"7501","5am",5635.279,12130.824,19334.71,46070.354
"7502","5am",8938.844,6533.697,38037.677,79286.315
"7503","5am",7437.975,12216.992,19103.234,40866.435
"7504","5am",6602.926,12734.294,23433.216,39506.678
"7505","5am",15804.781,17561.494,24052.34,64659.751
"7506","5am",12981.126,16396.675,36764.39,51040.208
"7507","5am",19575.716,21176.838,42144.67,62684.296
"7508","5am",5590.761,13568.69,27585.982,62488.905
"7509","5am",19745.614,20670.142,45742.988,99426.636
"7510","5am",7888.28,11813.728,38274.481,71726.226
"7511","5am",17813.867,15524.589,39631.775,60729.133
"7512","5am",27847.528,21836.338,36501.213,69024.517
"7513","5am",42537.264,31686.358,24606.062,43086.259
"7514","5am",36910.894,28170.805,39292.859,46129.842
"7701","5am",14771.441,35765.099,36552.504,14903.163
"7702","5am",21817.04,37510.873,25820.053,27071.093
"7703","5am",14954.488,34681.336,20045.251,9825.185
"7704","5am",26679.711,21322.743,17812.888,5466.912
