"district","hour","cs1","cs2","cs3","cs4","cs5"
"7501","4am",2.291142,6.715654,16.473935,31.029262,43.4900079
"7502","4am",14.531397,7.426391,10.074682,26.217495,41.7500349
"7503","4am",10.953381,9.647891,13.293359,24.855456,41.2499129
"7504","4am",11.169681,12.439535,15.134714,29.936504,31.3195658
"7505","4am",11.209839,13.761103,13.454173,25.702494,35.8723913
"7506","4am",10.260148,11.775421,22.521301,19.301456,36.1416734
"7507","4am",10.936054,12.391926,19.585645,24.490763,32.5956116
"7508","4am",9.673485,8.411072,19.115487,25.814001,36.9859551
"7509","4am",11.699647,12.355816,11.881767,31.708138,32.3546322
"7510","4am",15.661226,9.273998,9.348876,29.64966,36.0662391
"7511","4am",14.595409,11.560118,10.635709,25.80167,37.4070937
"7512","4am",13.294827,20.978702,8.153945,28.699366,28.8731595
"7513","4am",19.356081,20.912264,17.137596,21.948721,20.645339
"7514","4am",14.728633,15.38042,14.103533,29.627104,26.1603104
"7701","4am",7.196831,23.728864,38.511922,20.936285,9.6260983
"7702","4am",11.625731,26.861152,17.520883,33.606456,10.3857773
"7703","4am",10.70596,27.897928,29.657343,27.173335,4.5654347
"7704","4am",21.059931,29.966429,29.497918,14.663925,4.8117974
"7705","4am",6.042834,39.619176,29.865813,23.556447,0.9157297
"7706","4am",15.968651,34.131379,25.204217,22.057614,2.6381388
"7707","4am",22.145783,30.76661,24.26597,18.137713,4.6839244
"7708","4am",9.021169,20.018772,28.415562,31.409004,11.1354935
"7709","4am",13.883583,34.276642,29.917231,16.910922,5.0116213
"7710","4am",8.817454,34.733652,22.305089,24.976321,9.1674847
"7711","4am",9.06013,30.551781,38.163535,7.562432,14.6621226
"7712","4am",25.80571,24.000411,23.260962,20.928326,6.0045902
"7713","4am",20.260889,30.703152,23.703774,18.718096,6.6140888
"7714","4am",16.268311,23.119789,24.332859,24.220221,12.0588192
"7715","4am",20.443036,36.255008,22.878641,14.944901,5.4784138
"7716","4am",13.304691,28.603237,29.018766,21.441044,7.6322632
"7801","4am",5.245726,31.247282,16.571599,31.28766,15.6477335
"7802","4am",25.67456,4.394898,20.804523,31.12957,17.996448
"7803","4am",11.944851,14.840282,28.412163,25.628684,19.1740198
"7804","4am",16.886563,20.717341,20.372532,29.344964,12.6785991
"7805","4am",16.462152,20.866458,25.885841,19.191844,17.5937056
"7806","4am",13.95301,33.19623,24.310556,21.744157,6.7960467
"7807","4am",27.670123,23.660694,23.997766,19.727646,4.9437704
"7808","4am",16.209912,30.78299,23.987633,22.127706,6.8917586
"7809","4am",16.116268,18.599316,26.677801,28.198087,10.4085278
"7810","4am",16.990187,18.327378,15.610139,40.787858,8.2844383
"7811","4am",11.704496,16.185462,15.089373,36.8821,20.1385688
"7812","4am",16.148578,9.578373,17.937223,31.208145,25.1276809
"7813","4am",22.752866,16.196139,23.761015,22.110479,15.1795015
"7814","4am",13.768105,10.875518,27.905848,32.181884,15.2686449
"7815","4am",16.582729,23.022825,23.669961,26.60735,10.1171356
"7816","4am",10.59053,23.506592,21.721267,26.560085,17.6215262
"9101","4am",18.476123,26.674721,20.506462,25.850097,8.4925965
"9102","4am",12.490818,24.735616,22.760073,31.544152,8.4693403
"9103","4am",13.593398,30.08348,19.9272,25.400882,10.9950393
"9104","4am",10.313587,19.177886,33.333285,27.155084,10.0201578
"9105","4am",11.411198,29.604427,23.08728,23.533651,12.3634444
"9106","4am",17.823011,33.419788,20.37374,17.887094,10.4963677
"9107","4am",14.489873,21.781293,24.196258,30.38063,9.1519455
"9108","4am",14.301145,21.356184,23.013149,27.093477,14.2360452
"9109","4am",6.240934,29.229835,32.642972,20.891057,10.9952014
"9110","4am",20.194019,35.990164,22.185236,16.841753,4.7888292
"9111","4am",18.303073,25.368664,22.12147,20.642315,13.564478
"9112","4am",10.688245,21.231515,24.779936,29.975681,13.3246239
"9113","4am",7.869086,19.401529,20.774429,33.357779,18.5971762
"9114","4am",13.975911,18.968933,10.315813,28.156675,28.5826682
"9201","4am",13.16936,21.921602,27.290502,23.98498,13.6335553
"9202","4am",13.54635,24.98986,24.232578,23.510203,13.7210076
"9203","4am",16.722983,17.254035,13.013367,26.648161,26.3614544
"9204","4am",16.392073,17.321494,29.199739,19.039862,18.0468323
"9205","4am",6.170263,14.377818,21.484322,24.207818,33.7597792
"9206","4am",12.169221,19.313874,14.607426,28.761855,25.1476236
"9207","4am",15.781544,7.48291,17.72944,28.178498,30.827607
"9208","4am",11.94886,10.908574,17.16455,30.177279,29.8007366
"9209","4am",10.372561,12.397713,22.991217,30.553834,23.6846754
"9210","4am",10.650744,15.981224,15.119682,26.409469,31.8388811
"9211","4am",13.081777,20.447278,28.207873,20.580749,17.6823234
"9212","4am",9.381227,20.080697,21.717913,26.740182,22.0799812
"9302","4am",9.554038,29.387169,33.229229,20.493048,7.3365158
"9303","4am",25.986258,29.021389,17.860634,17.814763,9.3169565
"9304","4am",17.718584,32.206672,22.438449,16.479351,11.1569437
"9305","4am",19.504136,36.346537,19.554979,15.936862,8.6574862
"9306","4am",8.732803,25.296214,30.254223,24.089261,11.6274993
"9307","4am",31.331181,24.972802,21.240593,19.004795,3.4506289
"9308","4am",21.714825,38.943524,17.892052,14.118201,7.3313979
"9309","4am",21.994032,30.088408,23.380575,17.688816,6.8481698
"9310","4am",22.082927,34.720585,22.724887,15.930688,4.5409128
"9311","4am",25.413297,31.42969,23.907396,14.631975,4.617642
"9312","4am",27.35071,33.103526,18.771783,15.001107,5.7728753
"9402","4am",13.677927,34.12727,17.565245,23.462483,11.1670743
"9403","4am",9.731129,26.711823,21.71027,25.473461,16.3733165
