"district","hour","dep1","dep2","dep3","dep4","dep5"
"7501","4am",99.3948655,0,0,0.4557295,0.149405
"7502","4am",97.6233848,0,0.6615568,1.2996757,0.4153826
"7503","4am",98.4576429,0,0,0.2603857,1.2819714
"7504","4am",96.9763208,1.0799587,0,0.7865875,1.157133
"7505","4am",99.4547685,0,0,0.4357232,0.1095083
"7506","4am",98.771104,0.5120975,0,0,0.7167985
"7507","4am",96.9279654,0.6365879,0.9592873,0.6606361,0.8155233
"7508","4am",97.2651845,0.4437863,0.5077949,0,1.7832344
"7509","4am",98.898082,0,0,0.157201,0.944717
"7510","4am",99.549845,0,0.2900672,0,0.1600878
"7511","4am",99.298826,0.429642,0,0.271532,0
"7512","4am",99.1414682,0.7444864,0,0,0.1140453
"7513","4am",99.2710769,0,0.1703747,0,0.5585483
"7514","4am",99.2481577,0,0,0.2399531,0.5118892
"7701","4am",0,0,0,0,100
"7702","4am",0.6031217,41.261912,32.4856441,0,25.6493222
"7703","4am",0.5972108,0,0.3434161,0.9163336,98.1430394
"7704","4am",0,0,0,0,100
"7705","4am",0,0.3000571,0,0,99.6999429
"7706","4am",0,0,0,0,100
"7707","4am",0,0,0,0,100
"7708","4am",0,0.825545,0,0,99.174455
"7709","4am",0,0,0.3632311,0,99.6367689
"7710","4am",0,0,0,0,100
"7711","4am",0,0,0,0,100
"7712","4am",0.831368,0,0,0,99.168632
"7713","4am",0,0,0,1.1416907,98.8583093
"7714","4am",0,0,0,0,100
"7715","4am",0,0,0,0,100
"7716","4am",0,0,0,0,100
"7801","4am",0,0.7093737,0,0,99.2906263
"7802","4am",0,0.5775695,0,0,99.4224305
"7803","4am",0.6692221,0.4623391,0.1446535,0.1706466,98.5531388
"7804","4am",0.873746,0,0,0,99.126254
"7805","4am",0,0,0,0,100
"7806","4am",0,0,0.1226955,0,99.8773045
"7807","4am",0,0.3944,0,1.2704696,98.3351304
"7808","4am",0,0,0,0,100
"7809","4am",2.3186261,0,0,0,97.6813739
"7810","4am",0,0,0,0,100
"7811","4am",1.084276,0,0,0,98.915724
"7812","4am",0,0.4359456,0,0,99.5640544
"7813","4am",0,0,0,0,100
"7814","4am",0,0,0,0,100
"7815","4am",0,0,5.2321592,0.3792359,94.3886048
"7816","4am",0,0,0,0,100
"9101","4am",0,0,0,0,100
"9102","4am",0.8286667,0,0.6059229,0,98.5654104
"9103","4am",0,0,0,0.3853457,99.6146543
"9104","4am",0,0,0,0,100
"9105","4am",0,0,0,0,100
"9106","4am",0,0,0,0,100
"9107","4am",0.4348886,0,0,0,99.5651114
"9108","4am",0,0,0,0,100
"9109","4am",1.3206634,0,0,0,98.6793366
"9110","4am",0,0,0,0,100
"9111","4am",0,0,0,0,100
"9112","4am",0,0,0,0,100
"9113","4am",0,0,0,0,100
"9114","4am",0,0,0,0,100
"9201","4am",0,2.0279538,0.2230612,97.2048515,0.5441335
"9202","4am",0,0.714752,0,99.0600611,0.2251869
"9203","4am",0.29,0.2216933,0,99.1271245,0.3611822
"9204","4am",0,0,0,99.3903893,0.6096107
"9205","4am",0.4122949,0,0,99.3136759,0.2740292
"9206","4am",0,0,0,99.1666784,0.8333216
"9207","4am",0,0.3467827,0,99.1057785,0.5474388
"9208","4am",0,0,0,99.5537605,0.4462395
"9209","4am",0,0,0.4126067,98.7367064,0.850687
"9210","4am",0.4807573,0,0,99.5192427,0
"9211","4am",1.4117157,0,0,98.5882843,0
"9212","4am",0,0,0,99.3531143,0.6468857
"9302","4am",0,97.24241,1.5161647,0,1.2414253
"9303","4am",0.3849647,99.6150353,0,0,0
"9304","4am",0,100,0,0,0
"9305","4am",0,100,0,0,0
"9306","4am",0,99.30917,0.35026,0,0.3405701
"9307","4am",4.5824903,94.9934463,0,0,0.4240635
"9308","4am",1.3609691,96.6524787,0.9260619,0,1.0604903
"9309","4am",1.3651528,96.49038,0,0,2.1444672
"9310","4am",0.6504736,98.946371,0,0,0.4031554
"9311","4am",0,99.1660594,0,0.1424386,0.691502
"9312","4am",0.200159,98.6378458,0,0,1.1619953
"9402","4am",0.3447707,0,98.5146116,0,1.1406177
"9403","4am",0,0,99.5615097,0,0.4384903
"9404","4am",0,0,98.8341002,0.3698827,0.7960171
"9405","4am",0,0.7755889,94.5077205,0.5014206,4.21527
"9406","4am",0.623033,0.1352209,98.3282631,0.9134831,0
"9407","4am",0,0,99.5088346,0.1841983,0.306967
"9408","4am",0,1.1023484,98.2711635,0,0.6264881
"9409","4am",0,0.1230405,99.8769595,0,0
"9410","4am",0,1.0854635,98.9145365,0,0
"9411","4am",0,0,100,0,0
"9412","4am",1.8340734,0,97.4165067,0,0.7494199
"9413","4am",0,0,100,0,0
"9414","4am",0,1.2257988,98.7742012,0,0
"9501","4am",0.6241102,0,0,0.2735368,99.102353
"9502","4am",0,0,0,0,100
"9503","4am",0,0,0.7599485,0,99.2400515
"9504","4am",0,0,0,0,100
"9505","4am",0.8002549,0.2445722,0,0,98.9551728
"9506","4am",0.431753,0,0,0,99.568247
"9507","4am",0,0,0,0,100
"9508","4am",0,0,0,0,100
"9509","4am",0,0,0,0,100
"9510","4am",0,0.6511288,0,0,99.3488712
"9511","4am",0,0,0,0,100
"9512","4am",0,0,0,0.876627,99.123373
"9513","4am",0.8080473,0,0.3988701,0,98.7930825
"7501","5am",99.3948655,0,0,0.4557295,0.149405
"7502","5am",97.6293903,0,0.6598852,1.2963915,0.414333
"7503","5am",98.4576429,0,0,0.2603857,1.2819714
"7504","5am",96.9899828,1.0750791,0,0.7830335,1.1519046
"7505","5am",99.4547685,0,0,0.4357232,0.1095083
"7506","5am",98.771104,0.5120975,0,0,0.7167985
"7507","5am",96.9324679,0.6356549,0.9578813,0.6596679,0.8143281
"7508","5am",97.2546134,0.4455017,0.5097577,0,1.7901272
"7509","5am",98.2539197,0,0,0.8075166,0.9385637
"7510","5am",99.3893085,0,0.292721,0,0.3179705
"7511","5am",98.7519315,0.9759748,0,0.2720937,0
"7512","5am",99.356595,0.5291122,0,0,0.1142928
"7513","5am",99.2710769,0,0.1703747,0,0.5585483
"7514","5am",99.2463006,0,0,0.2405458,0.5131536
"7701","5am",0,0.5247467,0.2340779,0,99.2411755
"7702","5am",0.6063326,40.9492011,32.6585918,0,25.7858745
"7703","5am",0.5983511,0,0.3440718,0.9180832,98.1394939
"7704","5am",0,0,0,0,100
"7705","5am",0,0.3052939,0,0,99.6947061
"7706","5am",0,0,0,0,100
"7707","5am",0,0,0,0,100
"7708","5am",0,0.8275403,0,0,99.1724597
"7709","5am",0,0,0.3665652,0,99.6334348
"7710","5am",0,0,0,0,100
"7711","5am",0,0,0,0,100
"7712","5am",0.840407,0,0,0,99.159593
"7713","5am",0,0,0,1.1511885,98.8488115
"7714","5am",0,0,0,0,100
"7715","5am",0,0,0,0,100
"7716","5am",0,0,0,0,100
"7801","5am",0,0.713779,0,0,99.286221
"7802","5am",0,0.5746361,0,0,99.4253639
"7803","5am",0.6692221,0.4623391,0.1446535,0.1706466,98.5531388
"7804","5am",0.8783093,0,0,0,99.1216907
"7805","5am",0,0,0,0,100
"7806","5am",0,0,0.121588,0,99.878412
"7807","5am",0,0.4015024,0,1.2933482,98.3051495
"7808","5am",0,0,0,0,100
"7809","5am",2.3087416,0,0,0,97.6912584
"7810","5am",0,0,0,0,100
"7811","5am",1.084276,0,0,0,98.915724
"7812","5am",0,0.4354457,0,0,99.5645543
"7813","5am",0,0,0,0,100
"7814","5am",0,0,0,0,100
"7815","5am",0,0,5.2537807,0.3808031,94.3654162
"7816","5am",0,0,0,0,100
"9101","5am",0,0,0,0,100
"9102","5am",0.8260727,0,0.6040262,0,98.5699011
"9103","5am",0,0,0,0.3901025,99.6098975
"9104","5am",0,0,0,0,100
"9105","5am",0,0,0,0,100
"9106","5am",0,0,0,0,100
"9107","5am",0.4348886,0,0,0,99.5651114
"9108","5am",0,0,0,0,100
"9109","5am",1.3082874,0,0.4429201,0.393977,97.8548155
"9110","5am",0,0,0,0,100
"9111","5am",0.8505641,0,0.1641576,0,98.9852783
"9112","5am",0,0,0,0,100
"9113","5am",0,0,0,0,100
"9114","5am",0,0,0,0,100
"9201","5am",0,2.025492,0.3441838,97.0868512,0.543473
"9202","5am",0,0.7118313,0,98.6552724,0.6328963
"9203","5am",0.2899542,0.2216582,0.2258123,98.9014503,0.361125
"9204","5am",0,0,0,99.3877801,0.6122199
"9205","5am",0.4122949,0,0,99.3136759,0.2740292
"9206","5am",0,0,0,99.1699436,0.8300564
"9207","5am",0,0.3467827,0,99.1057785,0.5474388
"9208","5am",0,0,0,99.5537605,0.4462395
"9209","5am",0,0,0.4128961,98.2024925,1.3846115
"9210","5am",0.4802049,0,0,99.4049065,0.1148886
"9211","5am",1.4117157,0,0,98.5882843,0
"9212","5am",0,0,0,99.3531143,0.6468857
"9302","5am",0,96.8636242,1.5138641,0,1.6225117
"9303","5am",0.3844402,99.6155598,0,0,0
"9304","5am",0,100,0,0,0
"9305","5am",0,100,0,0,0
