"district","hour","dep1","dep2","dep3","dep4","dep5"
"7501","4am",82997.7607,0,0,380.5481,124.7578
"7502","4am",129941.4847,0,880.5644,1729.9317,552.8945
"7503","4am",78396.5403,0,0,207.3312,1020.7651
"7504","4am",79428.8023,884.5441,0,644.2573,947.7539
"7505","4am",121412.7568,0,0,531.9237,133.686
"7506","4am",115742.3486,600.0881,0,0,839.9617
"7507","4am",141380.8689,928.5385,1399.2336,963.6157,1189.537
"7508","4am",106880.6737,487.6583,557.9947,0,1959.5222
"7509","4am",182344.9106,0,0,289.8419,1741.837
"7510","4am",130934.1197,0,381.5143,0,210.5574
"7511","4am",133693.3096,578.4587,0,365.5835,0
"7512","4am",154780.0008,1162.2948,0,0,178.048
"7513","4am",140881.4844,0,241.7889,0,792.6691
"7514","4am",149741.8057,0,0,362.0321,772.3187
"7701","4am",0,0,0,0,100310.7834
"7702","4am",680.4207,46550.2415,36649.164,0,28936.6654
"7703","4am",475.7266,0,273.5586,729.9336,78178.8449
"7704","4am",0,0,0,0,71212.2164
"7705","4am",0,148.9833,0,0,49502.6637
"7706","4am",0,0,0,0,47733.7223
"7707","4am",0,0,0,0,52680.5796
"7708","4am",0,602.4516,0,0,72373.7751
"7709","4am",0,0,187.1915,0,51347.9085
"7710","4am",0,0,0,0,65022.8322
"7711","4am",0,0,0,0,78534.8694
"7712","4am",460.5436,0,0,0,54935.3393
"7713","4am",0,0,0,337.354,29211.2785
"7714","4am",0,0,0,0,67014.5502
"7715","4am",0,0,0,0,34417.2474
"7716","4am",0,0,0,0,75878.1495
"7801","4am",0,560.809,0,0,78496.1178
"7802","4am",0,366.7268,0,0,63128.1092
"7803","4am",602.6179,416.3248,130.2568,153.663,88744.6458
"7804","4am",406.9637,0,0,0,46169.9202
"7805","4am",0,0,0,0,81138.4491
"7806","4am",0,0,100.3064,0,81651.9496
"7807","4am",0,191.6878,0,617.4784,47793.2142
"7808","4am",0,0,0,0,56400.648
"7809","4am",1451.6365,0,0,0,61155.9766
"7810","4am",0,0,0,0,23658.9471
"7811","4am",829.003,0,0,0,75627.8206
"7812","4am",0,550.9563,0,0,125830.9339
"7813","4am",0,0,0,0,37070.7558
"7814","4am",0,0,0,0,22663.616
"7815","4am",0,0,1902.3624,137.8865,34318.7828
"7816","4am",0,0,0,0,104868.0496
"9101","4am",0,0,0,0,57312.2778
"9102","4am",387.5187,0,283.3545,0,46093.2512
"9103","4am",0,0,0,243.2046,62870.1571
"9104","4am",0,0,0,0,50221.8848
"9105","4am",0,0,0,0,75252.5336
"9106","4am",0,0,0,0,81971.6143
"9107","4am",370.9189,0,0,0,84919.6418
"9108","4am",0,0,0,0,56096.0658
"9109","4am",861.347,0,0,0,64359.4365
"9110","4am",0,0,0,0,61445.6701
"9111","4am",0,0,0,0,57883.8293
"9112","4am",0,0,0,0,47522.5437
"9113","4am",0,0,0,0,77088.6016
"9114","4am",0,0,0,0,42018.7455
"9201","4am",0,2240.1684,246.4033,107376.8212,601.0742
"9202","4am",0,575.9052,0,79816.7811,181.4424
"9203","4am",401.8448,307.194,0,137357.6221,500.4799
"9204","4am",0,0,0,84312.9923,517.1335
"9205","4am",413.921,0,0,99705.3851,275.11
"9206","4am",0,0,0,91138.518,765.859
"9207","4am",0,287.3537,0,82121.7905,453.6229
"9208","4am",0,0,0,87741.8059,393.2936
"9209","4am",0,0,532.9648,127538.3809,1098.8339
"9210","4am",558.7732,0,0,115668.9335,0
"9211","4am",1018.6342,0,0,71137.1263,0
"9212","4am",0,0,0,74287.9653,483.6872
"9302","4am",0,44609.2304,695.5292,0,569.4946
"9303","4am",392.6082,101592.8922,0,0,0
"9304","4am",0,115903.149,0,0,0
"9305","4am",0,80946.3838,0,0,0
"9306","4am",0,93385.1079,329.366,0,320.2541
"9307","4am",3630.1177,75251.0912,0,0,335.931
"9308","4am",806.7955,57296.5182,548.9784,0,628.6688
"9309","4am",1187.6512,83944.39,0,0,1865.6366
"9310","4am",677.0055,102982.256,0,0,419.5995
"9311","4am",0,117253.65,0,168.419,817.6298
"9312","4am",322.7102,159030.8122,0,0,1873.4498
"9402","4am",367.6974,0,105065.6587,0,1216.4668
"9403","4am",0,0,110345.868,0,485.9869
"9404","4am",0,0,65318.1482,244.4506,526.0771
"9405","4am",0,472.6306,57591.3849,305.5571,2568.7133
"9406","4am",482.036,104.6194,76075.8456,706.755,0
"9407","4am",0,0,107806.8276,199.5586,332.5648
"9408","4am",0,817.4117,72869.8809,0,464.5525
"9409","4am",0,173.5174,140851.1552,0,0
"9410","4am",0,492.2585,44857.8186,0,0
"9411","4am",0,0,48757.0944,0,0
"9412","4am",643.6066,0,34185.06,0,262.9838
"9413","4am",0,0,55179.8151,0,0
"9414","4am",0,370.1132,29823.5166,0,0
"9501","4am",460.5436,0,0,201.8484,73129.6525
"9502","4am",0,0,0,0,59866.9672
"9503","4am",0,0,378.2947,0,49400.6888
"9504","4am",0,0,0,0,50805.8218
"9505","4am",455.3593,139.166,0,0,56307.2542
"9506","4am",225.0729,0,0,0,51904.9411
"9507","4am",0,0,0,0,69987.1113
"9508","4am",0,0,0,0,93835.0348
"9509","4am",0,0,0,0,63761.5023
"9510","4am",0,487.2368,0,0,74342.3274
"9511","4am",0,0,0,0,77834.9781
"9512","4am",0,0,0,626.0234,70786.7174
"9513","4am",413.921,0,204.3206,0,50606.6082
"7501","5am",82997.7607,0,0,380.5481,124.7578
"7502","5am",130278.6768,0,880.56442,1729.9317,552.8945
"7503","5am",78396.5403,0,0,207.3312,1020.7651
"7504","5am",79800.5592,884.5441,0,644.2573,947.7539
"7505","5am",121412.7568,0,0,531.9237,133.686
"7506","5am",115742.3486,600.0881,0,0,839.9617
"7507","5am",141594.9617,928.5385,1399.23361,963.6157,1189.537
"7508","5am",106457.5595,487.6583,557.99474,0,1959.5222
"7509","5am",182344.9106,0,0,1498.6327,1741.837
"7510","5am",129537.8469,0,381.51435,0,414.423
"7511","5am",132682.5134,1311.314,0,365.5835,0
"7512","5am",154780.0008,824.2632,0,0,178.048
"7513","5am",140881.4844,0,241.7889,0,792.6691
"7514","5am",149370.0489,0,0,362.0321,772.3187
"7701","5am",0,535.2007,238.74118,0,101218.2656
"7702","5am",680.4207,45952.8076,36649.16399,0,28936.6654
"7703","5am",475.7266,0,273.55862,729.9336,78027.0409
"7704","5am",0,0,0,0,71282.2525
"7705","5am",0,148.9833,0,0,48650.9746
"7706","5am",0,0,0,0,46895.2144
"7707","5am",0,0,0,0,51694.483
"7708","5am",0,602.4516,0,0,72197.8234
"7709","5am",0,0,187.19154,0,50879.1711
"7710","5am",0,0,0,0,65075.8862
"7711","5am",0,0,0,0,78343.2513
"7712","5am",460.5436,0,0,0,54339.526
"7713","5am",0,0,0,337.354,28967.4899
"7714","5am",0,0,0,0,67300.8279
"7715","5am",0,0,0,0,34125.323
"7716","5am",0,0,0,0,75297.3647
"7801","5am",0,560.809,0,0,78008.1875
"7802","5am",0,366.7268,0,0,63452.2355
"7803","5am",602.6179,416.3248,130.25685,153.663,88744.6458
"7804","5am",406.9637,0,0,0,45927.9285
"7805","5am",0,0,0,0,81138.4491
"7806","5am",0,0,100.30637,0,82396.5958
"7807","5am",0,191.6878,0,617.4784,46933.4647
"7808","5am",0,0,0,0,55845.9204
"7809","5am",1451.6365,0,0,0,61424.0217
"7810","5am",0,0,0,0,23658.9471
"7811","5am",829.003,0,0,0,75627.8206
"7812","5am",0,550.9563,0,0,125976.0223
"7813","5am",0,0,0,0,37070.7558
"7814","5am",0,0,0,0,22663.616
"7815","5am",0,0,1902.36243,137.8865,34169.1503
"7816","5am",0,0,0,0,104600.0046
"9101","5am",0,0,0,0,57830.5661
"9102","5am",387.5187,0,283.35454,0,46240.0956
"9103","5am",0,0,0,243.2046,62100.5714
"9104","5am",0,0,0,0,49748.952
"9105","5am",0,0,0,0,75706.6699
"9106","5am",0,0,0,0,82104.0959
"9107","5am",370.9189,0,0,0,84919.6418
"9108","5am",0,0,0,0,56096.0658
"9109","5am",861.347,0,291.60866,259.3856,64425.4105
"9110","5am",0,0,0,0,60462.0801
"9111","5am",498.6135,0,96.23167,0,58026.666
"9112","5am",0,0,0,0,47522.5437
"9113","5am",0,0,0,0,77210.6441
"9114","5am",0,0,0,0,42018.7455
"9201","5am",0,2240.1684,380.66289,107376.8212,601.0742
"9202","5am",0,575.9052,0,79816.7811,512.043
"9203","5am",401.8448,307.194,312.95116,137066.6033,500.4799
"9204","5am",0,0,0,83951.4626,517.1335
"9205","5am",413.921,0,0,99705.3851,275.11
"9206","5am",0,0,0,91500.0477,765.859
"9207","5am",0,287.3537,0,82121.7905,453.6229
"9208","5am",0,0,0,87741.8059,393.2936
"9209","5am",0,0,532.96479,126759.4363,1787.2517
"9210","5am",558.7732,0,0,115668.9335,133.686
"9211","5am",1018.6342,0,0,71137.1263,0
"9212","5am",0,0,0,74287.9653,483.6872
"9302","5am",0,44502.9925,695.52925,0,745.4463
"9303","5am",392.6082,101732.0582,0,0,0
"9304","5am",0,116133.707,0,0,0
"9305","5am",0,81173.6777,0,0,0
"9306","5am",0,93115.2506,329.366,0,320.2541
"9307","5am",3630.1177,74785.0949,0,0,335.931
"9308","5am",806.7955,57296.5182,548.97841,0,0
"9309","5am",1187.6512,84214.2474,0,0,2472.5286
"9310","5am",677.0055,102030.2994,0,0,419.5995
"9311","5am",0,117950.6539,0,168.419,1145.2757
"9312","5am",322.7102,158103.2504,0,0,2452.9196
"9402","5am",367.6974,0,104220.11685,0,1216.4668
"9403","5am",0,0,110345.86795,0,485.9869
"9404","5am",0,380.4293,65110.85891,244.4506,526.0771
"9405","5am",1396.2729,472.6306,58298.47673,305.5571,3601.4245
"9406","5am",482.036,104.6194,74978.2167,706.755,0
"9407","5am",0,0,106911.47046,199.5586,332.5648
"9408","5am",0,817.4117,73096.05341,0,589.3179
"9409","5am",0,526.3634,140369.61365,0,0
"9410","5am",0,492.2585,44529.39244,0,0
"9411","5am",0,0,48507.50165,0,0
"9412","5am",643.6066,0,34141.05268,0,262.9838
"9413","5am",0,0,56075.17222,0,0
"9414","5am",0,370.1132,29774.58793,0,0
"9501","5am",460.5436,0,0,201.8484,72526.1023
"9502","5am",0,0,0,0,60258.3167
"9503","5am",0,0,378.29466,0,49593.2089
"9504","5am",0,0,0,0,50364.8449
"9505","5am",455.3593,139.166,0,0,56327.1273
"9506","5am",225.0729,0,0,0,50997.2537
"9507","5am",0,0,289.92386,0,69334.8891
"9508","5am",0,0,0,0,92987.0787
"9509","5am",0,0,0,0,63594.1078
"9510","5am",0,487.2368,0,0,74342.3274
"9511","5am",0,0,0,0,77834.9781
"9512","5am",0,0,0,626.0234,70786.7174
"9513","5am",413.921,0,204.32063,0,50761.655
"7501","6am",82672.7627,795.3352,289.4766,380.5481,1476.07665
"7502","6am",130278.6768,0,976.37246,1729.9317,1018.92739
"7503","6am",78396.5403,410.3218,1166.8564,581.9123,1327.49695
"7504","6am",78206.3468,457.0173,0,935.2761,1277.6037
"7505","6am",121583.5562,0,0,531.9237,133.68596
"7506","6am",114864.6746,741.9877,0,146.6495,1338.18827
"7507","6am",139350.9542,1266.5701,1399.23361,963.6157,1983.47748
"7508","6am",106457.5595,487.6583,557.99474,0,2136.42238
"7509","6am",181891.9037,348.0096,99.40297,1498.6327,1864.84317
"7510","6am",129537.8469,0,678.14233,557.3681,1594.8808
"7511","6am",133633.811,1311.314,0,365.5835,1200.41507
"7512","6am",154128.9605,1054.7541,0,243.4002,272.08017
"7513","6am",139743.3536,1197.3044,241.7889,0,1327.51329
"7514","6am",145841.5084,0,319.68269,362.0321,1109.12024
"7701","6am",0,535.2007,537.67171,0,97652.27966
"7702","6am",680.4207,44661.2822,36179.74769,0,29059.99414
"7703","6am",475.7266,1557.5288,273.55862,729.9336,77095.96599
"7704","6am",0,0,0,0,69776.45726
"7705","6am",0,148.9833,0,0,45865.24226
"7706","6am",0,0,0,0,45203.48853
"7707","6am",0,0,0,0,50494.17334
"7708","6am",0,737.2063,0,0,67883.93775
"7709","6am",0,0,187.19154,0,51322.79656
"7710","6am",0,283.1927,72.10796,0,64779.07542
"7711","6am",1122.1816,0,0,0,77246.22308
"7712","6am",460.5436,0,0,0,53226.8113
"7713","6am",0,0,0,337.354,28165.23899
"7714","6am",0,0,0,0,66000.14071
"7715","6am",0,0,0,0,33352.06396
"7716","6am",0,0,0,0,73058.57608
"7801","6am",0,560.809,0,0,76067.20584
"7802","6am",0,366.7268,0,0,62959.95942
"7803","6am",602.6179,416.3248,130.25685,153.663,88678.21786
"7804","6am",406.9637,0,0,0,46061.67492
"7805","6am",0,0,0,0,80092.45409
"7806","6am",0,0,100.30637,0,81423.72063
"7807","6am",0,191.6878,0,617.4784,45288.29171
"7808","6am",0,0,0,296.4036,53737.74395
"7809","6am",1451.6365,0,0,0,59687.09313
"7810","6am",0,0,0,0,23361.87572
"7811","6am",829.003,0,0,0,75896.34817
"7812","6am",0,550.9563,0,303.8657,125385.9474
"7813","6am",0,0,0,0,37240.24271
"7814","6am",0,0,0,0,22169.45365
"7815","6am",0,0,1902.36243,137.8865,33585.68865
"7816","6am",0,0,0,0,101247.47951
"9101","6am",0,0,274.30068,0,58190.82155
"9102","6am",387.5187,0,283.35454,0,45218.57999
"9103","6am",0,0,0,243.2046,60810.91291
"9104","6am",0,0,0,0,49318.82639
"9105","6am",0,0,0,0,74801.3965
"9106","6am",0,0,0,0,80399.70723
"9107","6am",370.9189,0,0,0,82628.13235
"9108","6am",0,0,0,0,54970.16514
"9109","6am",861.347,0,291.60866,259.3856,63286.05398
"9110","6am",0,0,0,0,58652.79884
"9111","6am",947.1529,186.8289,96.23167,0,58637.53277
"9112","6am",0,0,563.6601,0,46572.96525
"9113","6am",0,0,0,0,76250.93936
"9114","6am",0,0,0,0,42018.74546
"9201","6am",0,3012.63,647.5445,105822.4619,908.32533
"9202","6am",0,0,0,78637.266,1492.98678
"9203","6am",726.8428,760.1182,312.95116,135435.8875,313.88064
"9204","6am",0,0,682.78044,82794.4462,517.13354
"9205","6am",413.921,838.8481,398.57638,98195.7447,275.11005
"9206","6am",0,0,0,92000.9897,1067.2516
"9207","6am",0,287.3537,0,81686.598,597.57108
"9208","6am",632.863,0,0,87192.4867,393.29361
"9209","6am",0,0,532.96479,126327.6858,1994.71746
"9210","6am",837.9572,0,0,115123.1468,258.79097
"9211","6am",1018.6342,0,207.01485,70589.8604,0
"9212","6am",0,0,0,73896.5621,483.68716
"9302","6am",0,42443.9931,695.52925,0,745.44626
"9303","6am",392.6082,101181.5081,169.93918,0,0
"9304","6am",0,114819.9344,0,0,0
"9305","6am",0,78343.1129,0,0,39.21132
"9306","6am",0,91206.4242,329.366,0,1158.48622
"9307","6am",3630.1177,72443.3944,0,0,335.93097
"9308","6am",806.7955,55861.8733,0,734.1194,0
"9309","6am",1869.7426,82617.903,82.85979,0,2723.13909
"9310","6am",677.0055,98630.3468,0,786.4015,419.59953
"9311","6am",0,112984.9055,0,168.419,1145.27569
"9312","6am",840.2296,152154.6692,0,235.2019,3062.33124
"9402","6am",837.0364,281.6459,100139.20898,0,1216.46675
"9403","6am",0,0,109698.7788,0,590.69273
"9404","6am",0,380.4293,64824.23255,244.4506,934.02353
"9405","6am",1396.2729,472.6306,58852.89127,305.5571,4238.91246
"9406","6am",482.036,104.6194,72250.63635,706.755,0
"9407","6am",0,0,105846.6205,199.5586,871.26784
"9408","6am",0,817.4117,71700.90032,0,589.31791
"9409","6am",0,720.7759,140083.49907,0,0
"9410","6am",0,492.2585,44079.90268,0,0
"9411","6am",0,0,47810.11719,0,218.61101
"9412","6am",1340.8544,0,32905.86221,0,262.98382
"9413","6am",0,0,55339.71382,0,0
"9414","6am",0,370.1132,29390.2393,0,0
"9501","6am",460.5436,0,0,201.8484,69065.0126
"9502","6am",0,0,0,0,59994.17332
"9503","6am",0,0,378.29466,0,47663.65771
"9504","6am",0,0,0,0,48936.27236
"9505","6am",737.8414,409.7027,1001.49627,0,56470.75616
"9506","6am",225.0729,272.6458,0,0,49868.66275
"9507","6am",0,0,289.92386,0,68680.42654
"9508","6am",0,0,0,0,89609.30825
"9509","6am",0,0,0,0,62241.53191
"9510","6am",0,487.2368,0,0,74625.88978
"9511","6am",0,0,0,0,77680.71986
"9512","6am",0,0,0,626.0234,68892.15794
"9513","6am",413.921,0,204.32063,0,50810.41815
"7501","7am",83597.7695,1027.8218,931.64692,380.5481,1738.0953
"7502","7am",126926.9504,2926.4476,2028.78429,3112.047,2874.7753
"7503","7am",81332.0416,2380.368,1369.80167,931.158,4707.1221
"7504","7am",75942.0414,4023.9905,233.1435,935.2761,3403.29
"7505","7am",117928.5918,805.5787,0,531.9237,473.4582
"7506","7am",115931.9947,1116.477,2563.33717,2092.5274,4071.3092
"7507","7am",137654.959,1844.1516,2697.2547,1821.286,4902.9679
"7508","7am",107382.539,656.4314,557.99474,810.2433,2657.1067
"7509","7am",177357.552,348.0096,466.44275,3484.6251,2619.1574
"7510","7am",126682.7764,732.8353,1371.34812,1194.8461,2633.7984
"7511","7am",130889.295,1908.7479,0,535.2039,2448.9655
"7512","7am",150806.4342,1274.3024,440.70759,243.4002,1721.5149
"7513","7am",129478.5959,1197.3044,970.36975,0,2298.2787
"7514","7am",141268.5087,0,1425.89894,362.0321,4307.557
"7701","7am",0,2211.6543,871.18442,0,94391.6968
"7702","7am",1075.9546,43210.0117,35767.08701,0,29626.1179
"7703","7am",738.5571,2391.2612,0,729.9336,70685.7399
"7704","7am",0,0,0,0,64863.9989
"7705","7am",0,148.9833,0,0,42956.6417
"7706","7am",0,0,0,0,41888.9025
"7707","7am",0,0,0,0,46836.2408
"7708","7am",0,825.1493,0,0,61237.5035
"7709","7am",0,0,187.19154,0,47120.7967
"7710","7am",0,283.1927,256.49456,0,60980.382
"7711","7am",1122.1816,0,0,0,75066.6041
"7712","7am",460.5436,0,50.40954,0,50300.1538
"7713","7am",0,0,0,337.354,25977.4423
"7714","7am",0,0,0,0,63492.1285
"7715","7am",0,0,0,0,30829.2456
"7716","7am",0,111.5886,0,0,67740.4007
"7801","7am",0,560.809,423.80486,0,72722.1184
"7802","7am",0,366.7268,0,0,59708.4141
"7803","7am",602.6179,416.3248,0,153.663,83629.1177
"7804","7am",406.9637,0,0,0,43195.7936
"7805","7am",0,0,0,0,78006.5598
"7806","7am",0,646.6281,100.30637,0,76690.6676
"7807","7am",0,191.6878,0,617.4784,40940.0094
"7808","7am",0,0,0,296.4036,48829.2206
"7809","7am",1451.6365,0,0,0,55197.6803
"7810","7am",0,0,0,0,21115.2088
"7811","7am",829.003,0,0,0,73791.0131
"7812","7am",0,550.9563,150.18973,1061.7667,120303.5856
"7813","7am",0,0,74.70248,0,35635.6185
"7814","7am",0,0,0,0,21195.2357
"7815","7am",0,0,1902.36243,137.8865,31005.0605
"7816","7am",0,0,0,462.9802,98350.1002
"9101","7am",0,0,0,0,57402.2978
"9102","7am",387.5187,0,283.35454,0,44620.3278
"9103","7am",0,0,148.84906,243.2046,55830.3527
"9104","7am",0,0,0,0,46860.9981
"9105","7am",0,647.672,0,0,72636.4619
"9106","7am",0,0,0,0,72951.6939
"9107","7am",370.9189,0,197.3651,0,76734.1984
"9108","7am",0,0,0,0,52168.8136
"9109","7am",861.347,0,291.60866,259.3856,61275.4667
"9110","7am",0,0,0,0,55416.7448
"9111","7am",947.1529,411.2594,96.23167,201.6261,57625.2621
"9112","7am",0,0,563.6601,0,43125.4283
"9113","7am",0,230.4909,127.86335,342.466,72882.012
"9114","7am",0,0,0,0,39514.0654
"9201","7am",214.9271,3960.7246,647.5445,101120.1602,4348.6317
"9202","7am",732.8944,0,201.2553,75674.9943,3011.4473
"9203","7am",2686.593,2266.4217,560.28887,130131.1296,1971.5242
"9204","7am",1147.8871,653.6247,682.78044,83575.8311,2871.9152
"9205","7am",413.921,1179.3754,398.57638,97065.9612,2509.1963
"9206","7am",0,416.951,450.41372,88444.8984,1921.414
"9207","7am",0,287.3537,164.54932,79411.9214,597.5711
"9208","7am",886.8465,0,0,87380.0621,983.6412
"9209","7am",631.8557,0,532.96479,121102.7676,2170.4625
"9210","7am",1837.9625,0,468.60128,110803.4263,494.3735
"9211","7am",1018.6342,771.3101,897.87309,67645.994,253.6511
"9212","7am",0,0,281.35413,71041.6059,2007.636
"9302","7am",0,39020.5595,695.52925,545.7867,2671.6512
"9303","7am",392.6082,99616.4907,169.93918,0,401.4057
"9304","7am",950.7354,108100.1109,0,0,936.6408
"9305","7am",0,74146.8552,0,0,257.3898
"9306","7am",0,86964.1362,329.366,0,1158.4862
"9307","7am",3630.1177,67127.7745,0,0,335.931
"9308","7am",0,52306.6085,0,734.1194,438.6254
"9309","7am",2781.4898,77282.3103,82.85979,0,3386.4841
"9310","7am",677.0055,90535.6503,0,786.4015,1065.7488
"9311","7am",438.4798,104582.5495,160.25904,168.419,3293.2756
"9312","7am",1203.5089,146029.8559,352.04379,235.2019,6026.2814
"9402","7am",1409.8103,469.2086,97163.16591,302.7648,1857.9649
"9403","7am",0,1018.4524,107689.20858,705.4757,1533.8195
"9404","7am",0,380.4293,60955.69765,518.0249,3363.7797
"9405","7am",654.7906,1369.5897,56637.84137,305.5571,5341.7303
"9406","7am",2394.3237,597.7808,69327.53892,0,876.3797
"9407","7am",0,748.8706,100397.98135,199.5586,1797.2212
"9408","7am",401.8448,817.4117,67796.87686,0,589.3179
"9409","7am",0,578.164,135357.94692,0,936.4858
"9410","7am",0,780.6,40205.10787,0,687.8143
"9411","7am",0,467.1979,42949.75819,0,2297.2545
"9412","7am",1340.8544,0,30554.71567,0,988.8755
"9413","7am",0,0,50235.50462,0,1599.0248
"9414","7am",0,370.1132,26987.25351,0,0
"9501","7am",460.5436,0,0,201.8484,65337.3545
"9502","7am",0,0,0,0,57037.3461
"9503","7am",0,0,378.29466,0,44420.7534
"9504","7am",0,493.5623,0,0,46330.0103
"9505","7am",737.8414,1542.4851,1001.49627,0,53563.6387
"9506","7am",225.0729,272.6458,0,0,49550.5215
"9507","7am",0,112.6744,289.92386,0,63255.316
"9508","7am",299.3843,0,238.74118,0,85286.6685
"9509","7am",0,0,0,0,55546.2342
"9510","7am",0,487.2368,0,0,68776.5431
"9511","7am",0,0,396.06582,132.2004,72502.3307
"9512","7am",0,0,0,626.0234,66443.0223
"9513","7am",413.921,775.4201,204.32063,0,47120.9959
"7501","8am",82778.2021,3116.6757,2115.90145,2577.6624,9510.6167
"7502","8am",118990.9964,4387.4444,4483.8135,7555.799,10640.3384
"7503","8am",81858.2146,5757.6635,4015.41623,3310.4819,13718.8503
"7504","8am",70668.9548,5143.3621,842.51036,2123.2734,7036.5801
"7505","8am",109669.0961,1080.3599,0,1910.1269,2178.0172
"7506","8am",103058.0275,4155.6862,4860.56501,3587.7975,7336.5186
"7507","8am",126253.1696,2604.7409,7616.94789,3025.9706,8120.1475
"7508","8am",100068.969,1317.5536,1452.51351,1563.3812,3941.7534
"7509","8am",165770.6411,2427.361,2552.2392,7465.2596,7939.5036
"7510","8am",118409.9142,1617.7075,1894.55544,3087.9139,6493.3196
"7511","8am",118488.0483,3204.7217,1634.38582,2062.5991,8779.2805
"7512","8am",138526.3195,3221.1502,855.86162,1485.5543,3858.1225
"7513","8am",121404.8449,2788.2264,1125.9307,1814.3181,7220.185
"7514","8am",129944.5108,1361.9153,2185.2134,655.9231,2889.4084
"7701","8am",0,3068.0535,1260.10272,642.8209,88620.0721
"7702","8am",1371.3727,40454.048,31654.47067,244.5218,28650.1303
"7703","8am",738.5571,4172.0312,396.06582,490.2115,63858.2815
"7704","8am",0,485.0133,359.13158,0,60962.5894
"7705","8am",0,148.9833,0,881.5296,37791.1946
"7706","8am",0,0,0,0,39051.3653
"7707","8am",0,0,247.78681,0,42415.1423
"7708","8am",0,1245.6207,0,0,52123.8761
"7709","8am",0,232.4866,1365.02028,0,43095.2732
"7710","8am",0,283.1927,772.28831,0,55757.9449
"7711","8am",1122.1816,102.1197,1120.37371,0,65154.2676
"7712","8am",460.5436,0,50.40954,0,47736.9206
"7713","8am",0,0,0,337.354,24548.6428
"7714","8am",0,0,0,0,54150.3037
"7715","8am",0,0,0,0,28418.1179
"7716","8am",0,111.5886,1739.97873,0,56716.3502
"7801","8am",0,0,423.80486,0,61023.9771
"7802","8am",0,366.7268,0,1805.3574,50271.1285
"7803","8am",602.6179,416.3248,0,434.2212,74323.8288
"7804","8am",406.9637,0,0,0,38237.0666
"7805","8am",482.5615,0,0,307.1314,70572.6651
"7806","8am",456.1885,646.6281,100.30637,0,70691.1876
"7807","8am",0,191.6878,247.33771,617.4784,39065.7498
"7808","8am",416.8717,0,0,296.4036,43274.4387
"7809","8am",672.8121,0,0,365.4114,51684.493
"7810","8am",0,0,0,0,17809.7414
"7811","8am",829.003,0,233.85945,0,61570.0968
"7812","8am",1097.47,1696.1552,662.28515,5086.5341,121560.1716
"7813","8am",0,0,74.70248,188.1355,30236.2992
"7814","8am",0,0,0,0,17403.7616
"7815","8am",172.576,0,2329.98453,137.8865,25543.3019
"7816","8am",1070.3401,281.6584,264.14936,1748.0671,93043.1686
"9101","8am",0,274.0747,1194.02668,0,54353.1902
"9102","8am",387.5187,0,283.35454,0,39368.3611
"9103","8am",0,0,360.79389,243.2046,48362.5847
"9104","8am",0,0,0,0,37575.1364
"9105","8am",631.0865,943.4351,0,0,59904.092
