"district","hour","occ1","occ2","occ3","occ4","occ5"
"7501","4am",62.43513,10.521432,7.507853,17.84513,1.69046
"7502","4am",52.90081,14.041641,4.718258,21.83189,6.507404
"7503","4am",60.08114,10.337382,6.080478,16.21915,7.281842
"7504","4am",62.02109,8.448239,10.771383,12.77838,5.980902
"7505","4am",59.18304,9.294541,8.551656,15.33211,7.638655
"7506","4am",60.34297,8.50111,6.370919,19.96883,4.816172
"7507","4am",56.44658,13.26903,6.767237,18.00078,5.516367
"7508","4am",56.09124,11.478236,5.481211,21.36053,5.58878
"7509","4am",56.13816,11.011474,4.082991,20.96149,7.805881
"7510","4am",50.16737,9.570903,4.719551,23.5014,12.040769
"7511","4am",57.04897,9.482119,6.828066,18.78718,7.853668
"7512","4am",58.67944,8.297295,8.224539,16.34596,8.452763
"7513","4am",53.0275,9.679517,9.82329,18.15816,9.311542
"7514","4am",55.59938,7.595975,9.526725,18.96626,8.311663
"7701","4am",64.72609,10.245574,6.030784,12.88581,6.111748
"7702","4am",62.57735,6.198647,6.716807,15.86436,8.642834
"7703","4am",64.98242,6.563686,5.46357,17.49065,5.49967
"7704","4am",54.20993,6.00761,5.699961,21.38273,12.69977
"7705","4am",64.44445,7.582861,6.495999,17.99108,3.485605
"7706","4am",56.17894,4.460755,7.383487,24.86423,7.112586
"7707","4am",54.89754,3.08403,6.955819,24.34554,10.717073
"7708","4am",61.53157,6.313368,5.353885,21.4577,5.343484
"7709","4am",63.66158,5.835368,3.575242,21.95471,4.973103
"7710","4am",61.15084,4.59956,6.810955,20.37967,7.058972
"7711","4am",58.87923,8.930275,5.795706,19.50646,6.888331
"7712","4am",53.79175,6.259127,6.692617,23.01361,10.242895
"7713","4am",46.7756,5.210985,7.24661,28.14849,12.618309
"7714","4am",53.05245,9.36415,4.904485,25.80687,6.872041
"7715","4am",55.17843,2.820682,5.929004,26.44064,9.631238
"7716","4am",67.86256,7.495349,5.900996,12.67551,6.065588
"7801","4am",64.98298,7.557079,3.227732,20.16465,4.067557
"7802","4am",50.58234,9.017316,5.225813,23.76724,11.407293
"7803","4am",57.9492,9.381459,5.305961,20.46683,6.896554
"7804","4am",52.86048,5.543789,6.527291,26.96874,8.099695
"7805","4am",58.2074,6.03511,6.263721,18.23987,11.253903
"7806","4am",55.09423,6.615325,5.94693,23.28317,9.060349
"7807","4am",44.54655,8.858502,10.061396,25.29528,11.238271
"7808","4am",62.79256,6.314015,5.288247,16.48598,9.11919
"7809","4am",62.4804,6.046195,5.842506,19.57582,6.055079
"7810","4am",51.81175,5.427483,5.595786,25.46666,11.698327
"7811","4am",58.44541,4.001918,3.335558,27.18709,7.030021
"7812","4am",54.98101,9.149582,4.335818,23.79704,7.736559
"7813","4am",55.97589,7.396495,6.489577,19.79797,10.340072
"7814","4am",59.54883,5.628703,3.994699,23.65167,7.176089
"7815","4am",56.35319,4.123795,3.803411,23.33338,12.386225
"7816","4am",68.70416,7.712112,4.773489,12.6195,6.190742
"9101","4am",58.86462,9.582562,8.875809,14.02708,8.649927
"9102","4am",60.44885,4.264799,4.150595,24.24311,6.892648
"9103","4am",60.4154,3.692747,5.616902,23.98103,6.293915
"9104","4am",60.88508,4.018858,3.453794,23.45918,8.183086
"9105","4am",62.54071,7.213973,5.564014,17.96608,6.715214
"9106","4am",56.18753,7.563914,6.718902,21.10109,8.428563
"9107","4am",57.81794,6.215995,5.616966,24.1163,6.23279
"9108","4am",56.41769,7.515192,5.743567,22.48056,7.842985
"9109","4am",60.28516,4.506276,5.604295,24.79326,4.811002
"9110","4am",57.04778,6.673297,7.644317,18.51156,10.123042
"9111","4am",59.75132,8.55288,5.697851,18.69187,7.306077
"9112","4am",60.14327,5.545068,6.088787,23.09954,5.123332
"9113","4am",59.35619,8.16055,4.800444,23.00323,4.679582
"9114","4am",53.92415,9.618629,4.46215,24.37566,7.619409
"9201","4am",57.51573,7.464552,8.362265,18.25023,8.407228
"9202","4am",58.63546,7.377188,8.140161,19.18247,6.66472
"9203","4am",58.39323,5.827444,7.080551,19.86494,8.833836
"9204","4am",59.89025,7.725514,8.022503,16.29099,8.070734
"9205","4am",64.85579,7.716859,6.358498,15.64608,5.422767
"9206","4am",62.59216,5.878727,5.387608,18.81187,7.32963
"9207","4am",58.75204,8.034038,4.545051,21.72915,6.939722
"9208","4am",58.42098,8.195485,5.798925,20.46118,7.123427
"9209","4am",63.48694,7.719944,5.848865,18.73662,4.207624
"9210","4am",58.17891,7.223805,4.953644,22.66912,6.974518
"9211","4am",59.14534,6.615535,6.627985,21.50078,6.110354
"9212","4am",58.5209,8.216105,3.821161,22.70222,6.739611
"9302","4am",56.85326,6.336205,4.817058,24.71825,7.275225
"9303","4am",52.35641,7.533769,9.844413,17.81096,12.454448
"9304","4am",56.33893,6.617315,11.0001,17.75887,8.28479
"9305","4am",51.26038,8.604262,10.070692,18.52133,11.543342
"9306","4am",58.42475,6.554299,6.495367,23.16938,5.356196
"9307","4am",48.23359,6.808459,7.831658,18.19947,18.926815
"9308","4am",53.10434,6.923856,9.051101,19.46265,11.458049
"9309","4am",54.97654,6.96005,9.546216,15.96189,12.555308
"9310","4am",53.7005,7.135184,9.169401,17.85521,12.139707
"9311","4am",48.51512,9.799559,11.199723,17.36061,13.124989
"9312","4am",50.93731,7.98093,12.216407,14.61491,14.250451
"9402","4am",53.33696,9.340155,8.701682,19.13121,9.489992
"9403","4am",56.33328,11.261357,7.39871,17.72548,7.28117
"9404","4am",56.30532,7.779572,7.724141,18.61324,9.577725
"9405","4am",60.01708,6.552787,5.743871,21.51715,6.16912
"9406","4am",56.37863,9.961671,8.243698,17.93384,7.482154
"9407","4am",59.46746,6.667494,6.462548,20.76115,6.641349
"9408","4am",55.92195,7.057181,6.415633,24.88108,5.724155
"9409","4am",61.56102,6.59642,5.88443,20.59698,5.361142
"9410","4am",60.3785,8.81679,4.943008,19.45502,6.406674
"9411","4am",56.68146,6.103963,7.615113,19.30358,10.295891
"9412","4am",62.62678,8.611657,7.084472,15.33612,6.34097
"9413","4am",54.31414,7.621324,8.752605,19.30839,10.003541
"9414","4am",58.62601,7.945452,3.886592,20.97131,8.570638
"9501","4am",60.6909,13.087295,7.272524,12.30881,6.640479
"9502","4am",58.9199,8.151628,6.986364,17.13165,8.810458
"9503","4am",61.809,3.897793,7.890612,21.16837,5.23423
"9504","4am",62.81513,6.052637,3.258285,21.44164,6.432307
"9505","4am",58.15362,7.7835,2.876222,20.42157,10.765086
"9506","4am",54.05124,7.52503,12.550074,15.54025,10.333409
"9507","4am",47.16708,9.152062,12.007444,15.69661,15.9768
"9508","4am",55.45759,6.949109,8.887807,17.24624,11.459249
"9509","4am",61.62186,6.758581,5.879813,18.80015,6.939601
"9510","4am",60.22685,5.104182,5.886291,20.29619,8.48648
"9511","4am",59.05729,4.627104,5.552638,24.79247,5.970497
"9512","4am",57.73164,7.513418,5.865126,20.35528,8.534534
"9513","4am",60.20155,4.138602,4.389625,22.05601,9.21422
"7501","5am",62.43513,10.521432,7.507853,17.84513,1.69046
"7502","5am",53.02041,14.005986,4.706278,21.77645,6.49088
"7503","5am",60.08114,10.337382,6.080478,16.21915,7.281842
"7504","5am",62.19269,8.410067,10.722715,12.72065,5.953878
"7505","5am",59.18304,9.294541,8.551656,15.33211,7.638655
"7506","5am",60.34297,8.50111,6.370919,19.96883,4.816172
"7507","5am",56.51075,13.24948,6.757267,17.97426,5.50824
"7508","5am",55.91931,11.523183,5.502675,21.44417,5.610665
"7509","5am",56.42385,10.939751,4.056397,20.82496,7.755038
"7510","5am",49.71146,9.658466,4.762729,23.71642,12.150929
"7511","5am",56.96012,9.501734,6.842191,18.82604,7.869914
"7512","5am",58.58978,8.315299,8.242385,16.38143,8.471104
"7513","5am",53.0275,9.679517,9.82329,18.15816,9.311542
"7514","5am",55.4894,7.61479,9.550323,19.01324,8.332251
"7701","5am",65.2221,10.16218,5.931361,12.67337,6.010991
"7702","5am",62.37812,6.231647,6.752566,15.94882,8.688847
"7703","5am",64.91556,6.576218,5.474002,17.52405,5.51017
"7704","5am",54.25527,6.001661,5.694317,21.36156,12.687196
"7705","5am",63.82392,7.715202,6.609371,18.30507,3.546438
"7706","5am",55.58138,4.354534,7.515507,25.30881,7.239762
"7707","5am",54.03719,3.142859,7.088505,24.80994,10.921506
"7708","5am",61.43859,6.328627,5.366825,21.50956,5.356398
"7709","5am",63.32803,5.888931,3.608059,22.15623,5.018751
"7710","5am",61.18252,4.595811,6.805402,20.36305,7.053217
"7711","5am",58.77865,8.952117,5.809882,19.55417,6.905179
"7712","5am",53.28935,6.327179,6.765382,23.26383,10.354261
"7713","5am",46.33282,5.254335,7.306895,28.38266,12.723282
"7714","5am",53.25252,9.324244,4.883584,25.6969,6.842756
"7715","5am",54.79438,2.844851,5.979807,26.6672,9.713763
"7716","5am",67.61468,7.553162,5.946511,12.77328,6.112374
"7801","5am",64.76244,7.604676,3.248062,20.29165,4.093176
"7802","5am",50.83333,8.971519,5.199272,23.64653,11.349357
"7803","5am",57.9492,9.381459,5.305961,20.46683,6.896554
"7804","5am",52.61429,5.572742,6.561381,27.10959,8.141997
"7805","5am",58.2074,6.03511,6.263721,18.23987,11.253903
"7806","5am",55.49956,6.555613,5.893251,23.07301,8.978567
"7807","5am",43.54795,9.018026,10.242581,25.7508,11.44065
"7808","5am",62.42297,6.376734,5.340776,16.64974,9.209773
"7809","5am",62.64035,6.02042,5.817599,19.49236,6.029265
"7810","5am",51.81175,5.427483,5.595786,25.46666,11.698327
"7811","5am",58.44541,4.001918,3.335558,27.18709,7.030021
"7812","5am",54.91796,9.25376,4.330846,23.76975,7.727687
"7813","5am",55.97589,7.396495,6.489577,19.79797,10.340072
"7814","5am",59.54883,5.628703,3.994699,23.65167,7.176089
"7815","5am",56.17282,4.140836,3.819129,23.4298,12.43741
"7816","5am",68.62396,7.731875,4.785721,12.65183,6.206606
"9101","5am",59.23329,9.496681,8.796262,13.90137,8.572405
"9102","5am",60.57265,4.251449,4.137602,24.16722,6.871072
"9103","5am",59.92676,3.738331,5.686238,24.27706,6.371609
"9104","5am",60.51149,4.057243,3.486782,23.68324,8.261245
"9105","5am",62.76588,7.170611,5.53057,17.85809,6.67485
"9106","5am",56.25835,7.551687,6.708041,21.06698,8.414939
"9107","5am",57.81794,6.215995,5.616966,24.1163,6.23279
"9108","5am",56.41769,7.515192,5.743567,22.48056,7.842985
"9109","5am",60.65733,4.464048,5.551777,24.56092,4.765918
"9110","5am",56.34904,6.781857,7.768674,18.8127,10.287723
"9111","5am",60.25781,8.445252,5.626151,18.45665,7.214139
"9112","5am",60.14327,5.545068,6.088787,23.09954,5.123332
"9113","5am",59.42043,8.147651,4.792856,22.96687,4.672185
"9114","5am",53.92415,9.618629,4.46215,24.37566,7.619409
"9201","5am",57.5673,7.45549,8.352114,18.22807,8.397022
"9202","5am",58.80449,7.347043,8.106898,19.10408,6.637486
"9203","5am",58.39981,5.826521,7.07943,19.8618,8.832438
"9204","5am",59.71858,7.758579,8.05684,16.36072,8.105278
"9205","5am",64.85579,7.716859,6.358498,15.64608,5.422767
"9206","5am",62.73874,5.855692,5.366497,18.73816,7.30091
"9207","5am",58.75204,8.034038,4.545051,21.72915,6.939722
"9208","5am",58.42098,8.195485,5.798925,20.46118,7.123427
"9209","5am",63.46134,7.725358,5.852967,18.74976,4.210575
"9210","5am",58.2272,7.215463,4.947924,22.64295,6.966463
"9211","5am",59.14534,6.615535,6.627985,21.50078,6.110354
"9212","5am",58.5209,8.216105,3.821161,22.70222,6.739611
"9302","5am",56.91873,6.326591,4.809749,24.68074,7.264186
"9303","5am",52.42156,7.523467,9.830951,17.78661,12.437417
"9304","5am",56.42596,6.604124,10.978173,17.72347,8.268276
"9305","5am",51.39685,8.580169,10.042493,18.46947,11.511019
"9306","5am",58.30455,6.573248,6.514146,23.23637,5.371682
"9307","5am",47.92727,6.848747,7.878001,18.30717,19.038811
"9308","5am",52.60169,6.99807,9.148116,19.67126,11.580863
"9309","5am",55.15784,7.158522,9.450971,15.80263,12.43004
