"district","hour","rev1","rev2","rev3","rev4"
"7501","4am",13.320713,22.38383,29.67095,34.624509
"7502","4am",16.744754,19.54871,19.69813,44.008398
"7503","4am",19.918225,17.41273,31.54483,31.124213
"7504","4am",19.303502,30.27338,30.27583,20.147292
"7505","4am",15.807789,29.98128,31.62732,22.583603
"7506","4am",15.127369,31.10398,32.61751,21.151145
"7507","4am",23.984211,30.07677,24.77201,21.167019
"7508","4am",13.329297,24.89104,31.97674,29.802922
"7509","4am",12.966531,33.39888,22.84671,30.787884
"7510","4am",17.439135,18.38062,17.66857,46.511678
"7511","4am",19.53667,23.84693,17.15247,39.46393
"7512","4am",28.748992,29.54496,21.47781,20.228235
"7513","4am",30.462045,29.21866,25.84206,14.47724
"7514","4am",25.430299,32.14031,23.11829,19.3111
"7701","4am",13.938414,46.84463,32.89471,6.322245
"7702","4am",13.616597,46.1815,22.23744,17.964463
"7703","4am",17.955693,39.9566,30.27561,11.812098
"7704","4am",34.028779,42.77934,18.62511,4.566763
"7705","4am",18.366908,44.38639,29.14944,8.097258
"7706","4am",20.638319,50.77159,22.97216,5.617932
"7707","4am",18.644952,58.10085,18.66217,4.592026
"7708","4am",21.122869,34.7039,33.69023,10.482998
"7709","4am",11.852488,47.29367,33.15443,7.699416
"7710","4am",11.240127,53.57412,22.26508,12.920673
"7711","4am",25.489486,49.30435,13.1955,12.010666
"7712","4am",33.842622,35.01274,22.62866,8.515979
"7713","4am",36.343988,33.61603,22.60292,7.437066
"7714","4am",23.482492,33.16435,33.02898,10.324173
"7715","4am",29.481055,49.03556,16.32397,5.159421
"7716","4am",20.281693,45.54404,26.95581,7.218458
"7801","4am",9.258317,34.02427,23.31766,33.399748
"7802","4am",11.75566,17.23725,30.12453,40.882565
"7803","4am",12.842156,20.66357,30.04522,36.449057
"7804","4am",16.570374,32.35813,29.16545,21.906042
"7805","4am",15.508483,34.6971,28.67255,21.121872
"7806","4am",20.47333,39.16435,27.20356,13.158753
"7807","4am",46.165139,23.58162,25.43227,4.820968
"7808","4am",26.412149,34.35141,29.19789,10.038549
"7809","4am",16.545157,32.80804,33.12934,17.517465
"7810","4am",10.110137,35.16974,31.71615,23.003977
"7811","4am",8.954051,23.93833,33.31833,33.789297
"7812","4am",9.655433,28.21447,26.95221,35.17788
"7813","4am",10.505484,27.55676,30.08112,31.856628
"7814","4am",9.966595,29.19335,35.80663,25.033428
"7815","4am",12.893492,37.86586,31.37331,17.867346
"7816","4am",14.572198,35.17442,31.55457,18.698806
"9101","4am",38.318398,31.43815,18.68113,11.56232
"9102","4am",13.686077,40.04211,26.04009,20.231721
"9103","4am",26.306058,35.99108,27.00217,10.70069
"9104","4am",17.281841,34.22859,30.96268,17.526892
"9105","4am",12.058686,41.4081,26.55241,19.980811
"9106","4am",25.600787,28.47314,30.30257,15.623506
"9107","4am",21.271963,33.22304,33.59459,11.91041
"9108","4am",18.478201,37.79655,26.3767,17.348548
"9109","4am",21.845712,35.72491,25.39563,17.033743
"9110","4am",37.010995,35.54492,17.85137,9.592714
"9111","4am",13.035166,36.05265,34.10262,16.809566
"9112","4am",12.739894,32.1887,38.91355,16.15785
"9113","4am",16.110076,34.61503,27.52604,21.748855
"9114","4am",9.256736,20.55338,38.75378,31.436102
"9201","4am",26.786866,36.47012,26.05902,10.683986
"9202","4am",26.645832,27.16868,29.65413,16.531356
"9203","4am",19.243069,24.52426,27.56853,28.664147
"9204","4am",22.65295,38.25495,24.67377,14.418336
"9205","4am",20.151449,17.82089,30.77168,31.255985
"9206","4am",15.850257,21.45225,29.71258,32.984915
"9207","4am",7.459518,19.57838,30.2592,42.702902
"9208","4am",10.384659,24.21442,29.52977,35.87115
"9209","4am",13.265963,34.84541,29.89581,21.992815
"9210","4am",11.499297,25.62862,30.47189,32.400189
"9211","4am",27.16271,41.03432,17.81957,13.983404
"9212","4am",17.505652,34.19344,25.94636,22.35454
"9302","4am",23.389988,40.6128,29.63691,6.360304
"9303","4am",41.612681,36.70796,17.98129,3.698065
"9304","4am",36.421062,40.27429,20.01962,3.285023
"9305","4am",43.523016,27.20509,18.39672,10.875166
"9306","4am",18.108434,42.28012,27.7173,11.894138
"9307","4am",35.002979,34.43737,19.97427,10.585383
"9308","4am",32.192729,42.42111,21.56303,3.823121
"9309","4am",42.126416,29.97506,19.04048,8.858044
"9310","4am",36.104897,42.49319,17.32086,4.081052
"9311","4am",48.213083,37.24877,10.18021,4.357936
"9312","4am",44.926079,37.86355,13.65181,3.558558
"9402","4am",31.916764,45.42331,17.74424,4.915679
"9403","4am",25.768751,37.82509,30.50461,5.901542
"9404","4am",29.297552,36.60232,25.3205,8.779625
"9405","4am",15.721474,45.44359,29.40459,9.430349
"9406","4am",30.893747,43.94976,18.19864,6.95785
"9407","4am",24.015085,29.94216,29.92747,16.115286
"9408","4am",6.380784,39.26453,36.04862,18.306061
"9409","4am",14.303929,36.37877,29.83489,19.482418
"9410","4am",15.733863,44.09978,25.34055,14.825814
"9411","4am",41.296301,38.01424,11.43483,9.254628
"9412","4am",26.49099,37.61512,17.77328,18.120613
"9413","4am",36.881252,40.097,18.44497,4.576783
"9414","4am",10.582017,36.22477,33.15959,20.033617
"9501","4am",26.492819,40.12723,26.7169,6.663049
"9502","4am",28.500401,40.16004,22.91835,8.42121
"9503","4am",19.356532,39.88631,22.7562,18.000954
"9504","4am",16.99372,32.66376,37.19555,13.146972
"9505","4am",20.231261,45.62081,26.74682,7.40111
"9506","4am",33.398402,37.34375,22.90535,6.3525
"9507","4am",37.85886,55.62205,4.54894,1.970155
"9508","4am",29.117233,43.56683,20.98163,6.334304
"9509","4am",17.159542,33.23528,25.66433,23.940845
"9510","4am",20.82865,30.78519,32.06581,16.320352
"9511","4am",10.070796,36.95479,37.76502,15.209399
"9512","4am",18.741465,37.2296,27.91658,16.112353
"9513","4am",11.848826,44.89687,28.40338,14.850924
"7501","5am",13.320713,22.38383,29.670951,34.624509
"7502","5am",16.970175,19.49578,19.644799,43.889241
"7503","5am",19.918225,17.41273,31.544829,31.124213
"7504","5am",19.303502,30.27338,30.275827,20.147292
"7505","5am",15.807789,29.98128,31.627323,22.583603
"7506","5am",15.127369,31.10398,32.617508,21.151145
"7507","5am",23.946771,30.18592,24.733336,21.133977
"7508","5am",13.386245,24.99739,31.686118,29.930251
"7509","5am",12.875398,33.86697,22.686134,30.571497
"7510","5am",17.633602,17.27982,17.865592,47.22099
"7511","5am",19.582295,23.05333,17.808286,39.556091
"7512","5am",28.813136,29.38776,21.525735,20.273368
"7513","5am",30.462045,29.21866,25.842059,14.47724
"7514","5am",25.430299,32.14031,23.118292,19.3111
"7701","5am",14.102236,47.19315,32.464965,6.239649
"7702","5am",13.616597,46.1815,22.237438,17.964463
"7703","5am",17.993644,39.8297,30.339596,11.837064
"7704","5am",33.991655,42.51077,18.935799,4.561781
"7705","5am",18.593346,44.42882,28.780748,8.197085
"7706","5am",20.341497,50.91568,23.042671,5.700155
"7707","5am",17.897426,58.37451,19.042462,4.6856
"7708","5am",21.175792,34.5403,33.774641,10.509263
"7709","5am",12.025008,46.52649,33.637014,7.811486
"7710","5am",11.22965,53.61739,22.244327,12.908631
"7711","5am",25.598428,48.51157,13.828007,12.062
"7712","5am",34.222191,34.93314,22.233179,8.611492
"7713","5am",36.504387,33.49029,22.535435,7.469888
"7714","5am",23.397511,33.71074,32.909454,9.982299
"7715","5am",29.756643,48.55914,16.476564,5.207651
"7716","5am",20.287132,45.52944,26.963035,7.220394
"7801","5am",9.31875,33.59362,23.469868,33.617763
"7802","5am",11.693798,17.14654,30.492239,40.667426
"7803","5am",12.842156,20.66357,30.045221,36.449057
"7804","5am",16.659365,32.53191,28.785037,22.023688
"7805","5am",15.508483,34.6971,28.672547,21.121872
"7806","5am",20.273135,39.75922,26.937559,13.030082
"7807","5am",46.231517,24.01022,24.849672,4.908589
"7808","5am",27.039337,34.24583,28.565918,10.148918
"7809","5am",16.466761,32.65259,33.44619,17.434462
"7810","5am",10.110137,35.16974,31.716148,23.003977
"7811","5am",8.954051,23.93833,33.318326,33.789297
"7812","5am",9.643589,28.30253,26.91915,35.134727
"7813","5am",10.505484,27.55676,30.081125,31.856628
"7814","5am",9.966595,29.19335,35.806631,25.033428
"7815","5am",12.510477,38.03236,31.511257,17.94591
"7816","5am",14.612166,35.2709,31.366846,18.750092
"9101","5am",38.194516,31.65981,18.620735,11.52494
"9102","5am",13.638316,40.25135,25.949217,20.161117
"9103","5am",25.851697,35.94003,27.364136,10.844132
"9104","5am",17.472453,33.40523,30.879921,18.242392
"9105","5am",11.604346,41.90489,26.640952,19.849812
"9106","5am",25.444354,28.29916,30.72845,15.528039
"9107","5am",21.271963,33.22304,33.594591,11.91041
"9108","5am",18.478201,37.79655,26.376703,17.348548
"9109","5am",21.695145,36.3393,25.049217,16.916341
"9110","5am",37.368597,34.72535,18.151864,9.754188
"9111","5am",12.864822,36.88831,33.656966,16.589898
"9112","5am",12.739894,32.1887,38.913552,16.15785
"9113","5am",16.082102,34.72857,27.478241,21.71109
"9114","5am",9.256736,20.55338,38.753777,31.436102
