"district","hour","rev1","rev2","rev3","rev4"
"7501","4am",10161.184,17074.624,22633.321,26411.949
"7502","4am",20796.735,24279.212,24464.789,54657.775
"7503","4am",13565.331,11858.963,21483.644,21197.183
"7504","4am",15413.035,24172.02,24173.974,16086.765
"7505","4am",18418.873,34933.504,36851.432,26313.896
"7506","4am",16371.249,33661.566,35299.55,22890.342
"7507","4am",32843.059,41185.97,33921.835,28985.305
"7508","4am",13257.081,24756.187,31803.494,29641.455
"7509","4am",22144.199,57038.491,39017.533,52579.447
"7510","4am",18855.794,19873.759,19103.863,50290.029
"7511","4am",23306.016,28447.889,20461.812,47077.982
"7512","4am",43653.401,44862.021,32612.609,30715.208
"7513","4am",40443.358,38792.555,34309.57,19220.91
"7514","4am",36570.416,46219.846,33245.601,27770.612
"7701","4am",12962.549,43564.911,30591.667,5879.608
"7702","4am",14624.335,49599.306,23883.188,19293.979
"7703","4am",12923.376,28758.246,21790.473,8501.604
"7704","4am",21821.679,27433.166,11943.752,2928.534
"7705","4am",8377.164,20244.676,13295.089,3693.167
"7706","4am",9437.185,23216.08,10504.371,2568.885
"7707","4am",9206.438,28688.831,9214.943,2267.435
"7708","4am",14870.82,24432.076,23718.433,7380.19
"7709","4am",5350.497,21349.495,14966.704,3475.701
"7710","4am",6392.241,30467.513,12662.113,7347.965
"7711","4am",15325.833,29644.78,7933.94,7221.545
"7712","4am",18179.882,18808.455,12155.866,4574.69
"7713","4am",8559.02,7916.585,5322.994,1751.431
"7714","4am",13592.344,19196.485,19118.129,5975.929
"7715","4am",9292.599,15456.29,5145.409,1626.279
"7716","4am",12729.28,28584.541,16918.114,4530.478
"7801","4am",6965.824,25599.37,17543.873,25129.488
"7802","4am",7202.57,10561.08,18456.982,25048.319
"7803","4am",11085.434,17836.927,25935.233,31463.068
"7804","4am",7506.626,14658.715,13212.384,9923.763
"7805","4am",12210.527,27318.588,22575.187,16630.201
"7806","4am",15438.54,29533.076,20513.679,9922.76
"7807","4am",22234.781,11357.753,12249.09,2321.951
"7808","4am",13472.651,17522.413,14893.638,5120.593
"7809","4am",9315.281,18471.636,18652.534,9862.711
"7810","4am",2153.699,7491.987,6756.29,4900.392
"7811","4am",6726.227,17982.319,25028.516,25382.307
"7812","4am",11405.992,33329.844,31838.73,41555.736
"7813","4am",3752.038,9841.911,10743.488,11377.61
"7814","4am",2108.22,6175.229,7574.128,5295.287
"7815","4am",4406.938,12942.38,10723.256,6106.979
"7816","4am",14280.311,34469.863,30922.522,18324.261
"9101","4am",21154.127,17355.805,10313.14,6383.116
"9102","4am",5738.753,16790.184,10918.953,8483.427
"9103","4am",15304.945,20939.719,15709.948,6225.694
"9104","4am",7491.908,14838.549,13422.733,7598.141
"9105","4am",8298.053,28494.529,18271.749,13749.577
"9106","4am",19642.403,21846.239,23249.881,11987.257
"9107","4am",17173.889,26822.571,27122.546,9615.853
"9108","4am",9415.095,19258.264,13439.575,8839.509
"9109","4am",13889.99,22714.693,16147.11,10830.433
"9110","4am",21990.46,21119.376,10606.575,5699.609
"9111","4am",7262.094,20085.491,18999.101,9364.871
"9112","4am",5334.719,13478.739,16294.71,6765.959
"9113","4am",11303.021,24286.316,19312.595,15259.255
"9114","4am",3401.607,7552.829,14240.995,11551.942
"9201","4am",28452.051,38737.261,27678.963,11348.148
"9202","4am",20761.146,21168.523,23105.069,12880.434
"9203","4am",23981.692,30563.376,34357.303,35722.719
"9204","4am",18098.945,30564.414,19713.511,11519.765
"9205","4am",18499.3,16359.813,28248.813,28693.413
"9206","4am",14234.96,19266.058,26684.573,29623.429
"9207","4am",5910.971,15514.039,23977.59,33838.063
"9208","4am",8679.163,20237.633,24680.025,29979.948
"9209","4am",15321.184,40243.817,34527.399,25400.038
"9210","4am",12764.675,28448.783,33825.006,35965.492
"9211","4am",17470.793,26392.878,11461.375,8993.991
"9212","4am",11828.317,23104.019,17531.584,15104.641
"9302","4am",9499.128,16493.645,12036.126,2583.043
"9303","4am",41457.921,36571.442,17914.42,3684.312
"9304","4am",38650.442,42739.532,21245.049,3486.103
"9305","4am",32421.006,20265.52,13704.02,8101.089
"9306","4am",15842.004,36988.395,24248.241,10405.482
"9307","4am",26379.211,25952.952,15053.162,7977.437
"9308","4am",18834.27,24818.359,12615.396,2236.707
"9309","4am",36360.748,25872.5,16434.486,7645.68
"9310","4am",36518.118,42979.528,17519.095,4127.76
"9311","4am",50903.466,39327.322,10748.287,4601.117
"9312","4am",66842.798,56334.891,20311.704,5294.563
"9402","4am",31001.516,44120.751,17235.406,4774.717
"9403","4am",27139.996,39837.899,32127.871,6215.583
"9404","4am",17680.819,22089.186,15280.702,5298.428
"9405","4am",8327.75,24071.718,15575.77,4995.307
"9406","4am",23048.23,32788.648,13577.069,5190.893
"9407","4am",25698.245,32040.732,32025.015,17244.768
"9408","4am",4465.022,27475.778,25225.409,12809.863
"9409","4am",18050.849,45908.198,37650.147,24585.845
"9410","4am",5857.691,16418.273,9434.242,5519.626
"9411","4am",19396.577,17855.019,5370.856,4346.833
"9412","4am",7275.953,10331.281,4881.567,4976.965
"9413","4am",19538.283,21241.862,9771.442,2424.605
"9414","4am",2955.408,10117.068,9261.006,5595.106
"9501","4am",18278.461,27685.39,18433.064,4597.105
"9502","4am",16526.136,23287.05,13289.35,4883.092
"9503","4am",8945.738,18433.7,10516.917,8319.25
"9504","4am",8146.544,15658.535,17831.009,6302.468
"9505","4am",11025.508,24862.149,14576.316,4033.411
"9506","4am",16058.867,17955.896,11013.521,3054.456
"9507","4am",25956.981,38135.866,3118.867,1350.788
"9508","4am",26932.772,40298.32,19407.526,5859.086
"9509","4am",10002.861,19373.939,14960.583,13955.906
"9510","4am",13732.054,20296.27,21140.565,10759.793
"9511","4am",7487.592,27475.721,28078.124,11308.121
"9512","4am",12018.972,23875.485,17903.007,10332.913
"9513","4am",5553.563,21043.233,13312.708,6960.651
"7501","5am",10161.184,17074.624,22633.321,26411.949
"7502","5am",21133.927,24279.212,24464.789,54657.775
"7503","5am",13565.331,11858.963,21483.644,21197.183
"7504","5am",15413.035,24172.02,24173.974,16086.765
"7505","5am",18418.873,34933.504,36851.432,26313.896
"7506","5am",16371.249,33661.566,35299.55,22890.342
"7507","5am",32843.059,41400.063,33921.835,28985.305
"7508","5am",13257.081,24756.187,31380.379,29641.455
"7509","5am",22144.199,58247.282,39017.533,52579.447
"7510","5am",18855.794,18477.487,19103.863,50493.895
"7511","5am",23306.016,27437.093,21194.667,47077.982
"7512","5am",43653.401,44523.99,32612.609,30715.208
"7513","5am",40443.358,38792.555,34309.57,19220.91
"7514","5am",36570.416,46219.846,33245.601,27770.612
"7701","5am",13288.506,44470.003,30591.667,5879.608
"7702","5am",14624.335,49599.306,23883.188,19293.979
"7703","5am",12923.376,28606.442,21790.473,8501.604
"7704","5am",21821.679,27290.707,12156.247,2928.534
"7705","5am",8377.164,20017.244,12967.061,3693.167
"7706","5am",9167.287,22946.13,10384.624,2568.885
"7707","5am",8660.842,28248.331,9214.943,2267.435
"7708","5am",14870.82,24256.125,23718.433,7380.19
"7709","5am",5350.497,20701.844,14966.704,3475.701
"7710","5am",6392.241,30520.567,12662.113,7347.965
"7711","5am",15325.833,29043.978,8278.857,7221.545
"7712","5am",18179.882,18557.558,11810.949,4574.69
"7713","5am",8559.02,7852.319,5283.783,1751.431
"7714","5am",13592.344,19583.618,19118.129,5799.029
"7715","5am",9292.599,15164.366,5145.409,1626.279
"7716","5am",12729.28,28567.714,16918.114,4530.478
"7801","5am",6965.824,25111.44,17543.873,25129.488
"7802","5am",7202.57,10561.08,18781.109,25048.319
"7803","5am",11085.434,17836.927,25935.233,31463.068
"7804","5am",7506.626,14658.715,12970.392,9923.763
"7805","5am",12210.527,27318.588,22575.187,16630.201
"7806","5am",15438.54,30277.723,20513.679,9922.76
"7807","5am",21869.277,11357.753,11754.846,2321.951
"7808","5am",13642.58,17278.584,14412.81,5120.593
"7809","5am",9315.281,18471.636,18920.579,9862.711
"7810","5am",2153.699,7491.987,6756.29,4900.392
"7811","5am",6726.227,17982.319,25028.516,25382.307
"7812","5am",11405.992,33474.933,31838.73,41555.736
"7813","5am",3752.038,9841.911,10743.488,11377.61
"7814","5am",2108.22,6175.229,7574.128,5295.287
"7815","5am",4257.305,12942.38,10723.256,6106.979
"7816","5am",14280.311,34469.863,30654.477,18324.261
"9101","5am",21154.127,17534.864,10313.14,6383.116
"9102","5am",5738.753,16937.029,10918.953,8483.427
"9103","5am",14841.646,20633.433,15709.948,6225.694
"9104","5am",7491.908,14323.629,13240.815,7822.046
"9105","5am",8038.103,29026.697,18453.667,13749.577
"9106","5am",19642.403,21846.239,23721.593,11987.257
"9107","5am",17173.889,26822.571,27122.546,9615.853
"9108","5am",9415.095,19258.264,13439.575,8839.509
"9109","5am",13889.99,23265.688,16037.384,10830.433
"9110","5am",21835.379,20290.867,10606.575,5699.609
"9111","5am",7262.094,20823.173,18999.101,9364.871
"9112","5am",5334.719,13478.739,16294.71,6765.959
"9113","5am",11303.021,24408.359,19312.595,15259.255
"9114","5am",3401.607,7552.829,14240.995,11551.942
"9201","5am",28586.31,38737.261,27678.963,11348.148
"9202","5am",20761.146,21499.123,23105.069,12880.434
"9203","5am",23981.692,30563.376,34357.303,35431.7
"9204","5am",17737.415,30564.414,19713.511,11519.765
"9205","5am",18499.3,16359.813,28248.813,28693.413
"9206","5am",14596.49,19266.058,26684.573,29623.429
"9207","5am",5910.971,15514.039,23977.59,33838.063
"9208","5am",8679.163,20237.633,24680.025,29979.948
"9209","5am",15321.184,40243.817,34527.399,26088.456
"9210","5am",12764.675,28448.783,33825.006,35965.492
"9211","5am",17470.793,26392.878,11461.375,8993.991
"9212","5am",11828.317,23104.019,17531.584,15104.641
"9302","5am",9392.891,16669.597,12036.126,2583.043
"9303","5am",41597.087,36571.442,17914.42,3684.312
"9304","5am",38880.999,42739.532,21245.049,3486.103
"9305","5am",32421.006,20265.52,13931.314,8101.089
"9306","5am",15572.147,36988.395,24248.241,10405.482
"9307","5am",26270.043,25823.417,14825.868,7977.437
"9308","5am",18834.27,24189.69,12615.396,2236.707
"9309","5am",36630.605,26134.238,16544.211,7645.68
"9310","5am",36299.017,42979.528,16786.24,4127.76
"9311","5am",51435.461,39819.976,10748.287,4601.117
"9312","5am",66407.89,56221.888,20311.704,5494.381
"9402","5am",30318.735,44270.94,17235.406,4774.717
"9403","5am",27139.996,39837.899,32127.871,6215.583
"9404","5am",17092.016,22469.616,15280.702,5298.428
"9405","5am",9131.074,25919.296,16060.944,4995.307
"9406","5am",22468.382,32270.866,13577.069,5190.893
"9407","5am",24802.888,32040.732,32025.015,17244.768
"9408","5am",4465.022,27572.144,25225.409,12809.863
"9409","5am",18050.849,45300.713,38128.937,24585.845
"9410","5am",5857.691,16089.847,9434.242,5519.626
"9411","5am",19396.577,17605.426,5370.856,4346.833
"9412","5am",7052.369,10510.858,4881.567,4976.965
"9413","5am",20433.64,21241.862,9771.442,2424.605
"9414","5am",2955.408,10068.139,9261.006,5595.106
"9501","5am",17674.91,27685.39,18433.064,4597.105
"9502","5am",17234.103,22970.432,13289.35,4883.092
"9503","5am",8945.738,18626.22,10516.917,8319.25
"9504","5am",8146.544,15466.015,17582.552,6302.468
"9505","5am",11025.508,24882.022,14576.316,4033.411
"9506","5am",16058.867,17730.776,10566.382,3054.456
"9507","5am",26246.905,37714.925,2887.585,1350.788
"9508","5am",26932.772,40298.32,19083.4,5335.256
"9509","5am",10002.861,19373.939,14793.188,13955.906
"9510","5am",13732.054,20296.27,21140.565,10759.793
"9511","5am",7487.592,27475.721,28078.124,11308.121
"9512","5am",12018.972,23875.485,17903.007,10332.913
"9513","5am",5553.563,21198.28,13312.708,6960.651
"7501","6am",10631.521,18466.963,22881.778,26411.949
"7502","6am",21133.927,24609.772,24696.07,54657.775
"7503","6am",14554.073,12898.588,21483.644,21197.183
"7504","6am",14756.481,23394.919,24173.974,16119.549
"7505","6am",18418.873,35386.786,36568.95,26313.896
"7506","6am",16636.878,33062.007,35395.932,23036.992
"7507","6am",32210.196,42191.376,32651.349,28985.305
"7508","6am",12833.967,24756.187,31803.494,29818.355
"7509","6am",22365.558,58020.328,39140.539,52579.447
"7510","6am",18940.048,20055.376,19476.174,50493.895
"7511","6am",23306.016,28598.062,21667.89,47077.982
"7512","6am",43653.401,44068.138,33272.373,30715.208
"7513","6am",40221.998,37875.784,34844.414,20094.492
"7514","6am",36570.416,43766.202,32827.189,27770.612
"7701","6am",13288.506,44642.768,27151.846,5879.608
"7702","6am",14781.941,47680.759,24006.517,19293.979
"7703","6am",12587.894,28627.899,22929.133,8303.424
"7704","6am",21821.679,25836.912,12421.558,2928.534
"7705","6am",7933.316,18511.079,12496.016,3328.492
"7706","6am",8591.573,22606.563,9941.722,2235.341
"7707","6am",8453.229,27561.069,8909.508,2267.435
"7708","6am",13010.085,22513.696,23142.467,7380.19
"7709","6am",5137.507,20713.775,15185.821,3231.423
"7710","6am",6095.43,30803.76,12662.113,7347.965
"7711","6am",15414.511,29166.315,9401.039,7221.545
"7712","6am",17067.167,18557.558,11810.949,4574.69
"7713","6am",8351.239,7524.967,5219.516,1695.165
"7714","6am",13308.986,19164.783,18823.733,5799.029
"7715","6am",9159.744,14649.732,5019.638,1626.279
"7716","6am",12707.761,28251.684,16123.014,4530.478
"7801","6am",6965.824,23889.648,16824.683,25129.488
"7802","6am",7202.57,10268.028,18781.109,24849.095
"7803","6am",10263.155,17873.588,26654.424,31463.068
"7804","6am",7221.711,14523.27,13524.498,9923.763
"7805","6am",12406.102,27113.891,21538.314,16630.201
"7806","6am",15034.169,29316.122,20946.233,10011.881
"7807","6am",21607.177,10827.397,11116.55,1978.949
"7808","6am",12747.102,16659.532,14412.81,5120.593
"7809","6am",8797.744,17982.355,18190.469,9862.711
"7810","6am",2153.699,7491.987,6685.836,4900.392
"7811","6am",6726.227,18254.338,25028.516,25050.601
"7812","6am",11405.992,33778.798,31248.655,41555.736
"7813","6am",3417.278,9616.048,11473.598,11377.61
"7814","6am",1964.613,5997.344,7574.128,5122.617
"7815","6am",4257.305,13087.533,10324.78,5776.84
"7816","6am",13861.157,33970.633,28548.55,18324.261
"9101","6am",21224.575,18098.972,10313.14,6383.116
"9102","6am",5738.753,16514.305,10642.727,8309.655
"9103","6am",14841.646,20272.873,15328.472,6225.694
"9104","6am",7723.294,13844.035,13058.898,7822.046
"9105","6am",8038.103,29030.051,18182.527,13112.089
"9106","6am",19477.292,20943.68,23084.874,11987.257
"9107","6am",16520.015,25184.936,27122.546,9615.853
"9108","6am",9123.402,18770.826,13092.805,8839.509
"9109","6am",13703.287,22403.862,16037.384,10605.919
"9110","6am",20664.408,19373.589,10885.544,5699.609
"9111","6am",7344.217,21197.927,19788.458,9364.871
"9112","6am",5334.719,13881.448,15506.083,6765.959
"9113","6am",10864.167,24146.299,19312.595,15259.255
"9114","6am",3401.607,7552.829,14240.995,11551.942
"9201","6am",29091.008,38544.319,27945.845,11348.148
"9202","6am",21560.274,20700.982,22329.605,12880.434
"9203","6am",22221.218,31284.459,34357.303,35431.7
"9204","6am",18123.792,29703.802,19713.511,11519.765
"9205","6am",17444.403,16693.857,28013.611,29377.252
"9206","6am",14596.49,19767,26985.966,29623.429
"9207","6am",5910.971,15222.795,23977.59,33838.063
"9208","6am",9069.293,20237.633,24520.088,29833.299
"9209","6am",15119.558,40243.817,34734.865,26088.456
"9210","6am",12764.675,28727.967,33825.006,35419.705
"9211","6am",17470.793,25845.612,11668.39,8993.991
"9212","6am",11683.861,22857.072,17531.584,15104.641
"9302","6am",8674.602,16262.068,11544.768,2141.218
"9303","6am",41269.128,36518.79,17914.42,3684.312
"9304","6am",38880.999,41533.694,21820.954,2802.264
"9305","6am",30796.126,19235.653,13970.525,7925.27
"9306","6am",15401.683,37406.377,22930.129,10405.482
"9307","6am",24780.638,25447.722,14349.268,7977.437
"9308","6am",19332.499,22814.527,12242.825,2236.707
"9309","6am",36936.175,26312.742,15775.675,7349.36
"9310","6am",34769.496,41109.096,16786.24,4127.76
"9311","6am",50130.496,37871.354,10306.896,3727.535
"9312","6am",62775.191,56315.618,20242.851,5494.381
"9402","6am",28730.269,42762.404,17002.486,4774.717
"9403","6am",27012.602,39422.91,32127.871,6215.583
"9404","6am",17381.94,22877.562,15280.702,5023.079
"9405","6am",10057.497,26605.713,15640.006,4995.307
"9406","6am",21298.185,31175.97,13340.592,4964.884
"9407","6am",25032.65,31598.3,31438.451,17517.855
"9408","6am",4465.022,27036.537,24365.863,12809.863
"9409","6am",18193.461,44778.121,38417.214,24585.845
"9410","6am",5752.544,15953.25,9226.496,5519.626
"9411","6am",18731.174,17097.266,5764.444,4346.833
"9412","6am",6531.878,10955.307,4881.567,4976.965
"9413","6am",19698.182,21241.862,9771.442,2424.605
"9414","6am",3244.868,9564.722,9261.006,5595.106
"9501","6am",17253.456,25510.789,18433.064,4597.105
"9502","6am",17041.172,23008.867,13179.703,4883.092
"9503","6am",8382.984,17782.157,10339.123,7974.31
"9504","6am",8146.544,14695.527,16924.468,6302.468
"9505","6am",11030.357,25803.238,14986.746,4230.971
"9506","6am",15677.251,17256.447,10566.382,3054.456
"9507","6am",26246.905,37224.552,2887.585,1350.788
"9508","6am",24872.198,38981.123,19083.4,5335.256
"9509","6am",9826.61,18931.155,14396.254,13619.299
