"district","hour","sex1","sex2"
"7501","4am",50.97519,49.02481
"7502","4am",45.40779,54.59221
"7503","4am",49.11443,50.88557
"7504","4am",49.04556,50.95444
"7505","4am",48.68036,51.31964
"7506","4am",46.69028,53.30972
"7507","4am",45.04952,54.95048
"7508","4am",45.52761,54.47239
"7509","4am",44.07234,55.92766
"7510","4am",43.12697,56.87303
"7511","4am",43.94208,56.05792
"7512","4am",48.45159,51.54841
"7513","4am",48.17176,51.82824
"7514","4am",45.84391,54.15609
"7701","4am",49.17026,50.82974
"7702","4am",46.89591,53.10409
"7703","4am",47.79466,52.20534
"7704","4am",47.01516,52.98484
"7705","4am",45.6659,54.3341
"7706","4am",49.22933,50.77067
"7707","4am",50.44946,49.55054
"7708","4am",44.62083,55.37917
"7709","4am",49.16199,50.83801
"7710","4am",44.93392,55.06608
"7711","4am",44.20548,55.79452
"7712","4am",48.61133,51.38867
"7713","4am",47.17591,52.82409
"7714","4am",47.83121,52.16879
"7715","4am",47.18352,52.81648
"7716","4am",49.60204,50.39796
"7801","4am",50.22638,49.77362
"7802","4am",46.64917,53.35083
"7803","4am",44.47847,55.52153
"7804","4am",47.67692,52.32308
"7805","4am",49.59443,50.40557
"7806","4am",45.56557,54.43443
"7807","4am",44.19066,55.80934
"7808","4am",46.82036,53.17964
"7809","4am",47.20618,52.79382
"7810","4am",49.89846,50.10154
"7811","4am",44.90529,55.09471
"7812","4am",47.37072,52.62928
"7813","4am",48.96567,51.03433
"7814","4am",50.21947,49.78053
"7815","4am",45.03376,54.96624
"7816","4am",46.20796,53.79204
"9101","4am",47.52496,52.47504
"9102","4am",44.49001,55.50999
"9103","4am",49.90895,50.09105
"9104","4am",48.93904,51.06096
"9105","4am",49.24325,50.75675
"9106","4am",48.06796,51.93204
"9107","4am",46.27046,53.72954
"9108","4am",45.39414,54.60586
"9109","4am",48.66523,51.33477
"9110","4am",47.65313,52.34687
"9111","4am",50.68047,49.31953
"9112","4am",48.7804,51.2196
"9113","4am",47.95575,52.04425
"9114","4am",44.96819,55.03181
"9201","4am",47.94765,52.05235
"9202","4am",45.23596,54.76404
"9203","4am",44.50046,55.49954
"9204","4am",48.53845,51.46155
"9205","4am",46.62221,53.37779
"9206","4am",46.61874,53.38126
"9207","4am",45.58899,54.41101
"9208","4am",45.53976,54.46024
"9209","4am",48.03742,51.96258
"9210","4am",46.32095,53.67905
"9211","4am",42.24816,57.75184
"9212","4am",46.95902,53.04098
"9302","4am",47.21181,52.78819
"9303","4am",46.7661,53.2339
"9304","4am",47.1736,52.8264
"9305","4am",48.53607,51.46393
"9306","4am",46.86833,53.13167
"9307","4am",44.58972,55.41028
"9308","4am",49.29079,50.70921
"9309","4am",46.56223,53.43777
"9310","4am",46.76854,53.23146
"9311","4am",47.1203,52.8797
"9312","4am",49.68181,50.31819
"9402","4am",45.89628,54.10372
"9403","4am",45.66389,54.33611
"9404","4am",43.00709,56.99291
"9405","4am",47.93323,52.06677
"9406","4am",46.60966,53.39034
"9407","4am",45.46451,54.53549
"9408","4am",44.47277,55.52723
"9409","4am",45.16096,54.83904
"9410","4am",46.78073,53.21927
"9411","4am",47.33036,52.66964
"9412","4am",50.0293,49.9707
"9413","4am",44.62394,55.37606
"9414","4am",48.12723,51.87277
"9501","4am",49.65513,50.34487
"9502","4am",44.39282,55.60718
"9503","4am",45.40597,54.59403
"9504","4am",51.64965,48.35035
"9505","4am",44.24044,55.75956
"9506","4am",44.24436,55.75564
"9507","4am",48.10072,51.89928
"9508","4am",47.16479,52.83521
"9509","4am",47.3688,52.6312
"9510","4am",46.49105,53.50895
"9511","4am",45.81727,54.18273
"9512","4am",43.04456,56.95544
"9513","4am",48.68318,51.31682
"7501","5am",50.97519,49.02481
"7502","5am",45.54574,54.45426
"7503","5am",49.11443,50.88557
"7504","5am",49.27579,50.72421
"7505","5am",48.68036,51.31964
"7506","5am",46.69028,53.30972
"7507","5am",44.98349,55.01651
"7508","5am",45.31705,54.68295
"7509","5am",44.43662,55.56338
"7510","5am",43.15324,56.84676
"7511","5am",44.19325,55.80675
"7512","5am",48.33974,51.66026
"7513","5am",48.17176,51.82824
"7514","5am",45.71014,54.28986
"7701","5am",49.33235,50.66765
"7702","5am",47.14557,52.85443
"7703","5am",47.69498,52.30502
"7704","5am",47.06722,52.93278
"7705","5am",44.71763,55.28237
"7706","5am",48.45627,51.54373
"7707","5am",50.55968,49.44032
"7708","5am",44.48698,55.51302
"7709","5am",48.69534,51.30466
"7710","5am",44.97882,55.02118
"7711","5am",44.06901,55.93099
"7712","5am",48.51045,51.48955
"7713","5am",46.73646,53.26354
"7714","5am",47.47789,52.52211
"7715","5am",46.7317,53.2683
"7716","5am",49.23566,50.76434
"7801","5am",49.91728,50.08272
"7802","5am",46.41225,53.58775
"7803","5am",44.47847,55.52153
"7804","5am",47.40366,52.59634
"7805","5am",49.59443,50.40557
"7806","5am",46.05691,53.94309
"7807","5am",43.18565,56.81435
"7808","5am",46.29211,53.70789
"7809","5am",47.43124,52.56876
"7810","5am",49.89846,50.10154
"7811","5am",44.90529,55.09471
"7812","5am",47.43107,52.56893
"7813","5am",48.96567,51.03433
"7814","5am",50.21947,49.78053
"7815","5am",45.21986,54.78014
"7816","5am",46.07011,53.92989
"9101","5am",47.40866,52.59134
"9102","5am",44.35074,55.64926
"9103","5am",49.29061,50.70939
"9104","5am",48.45364,51.54636
"9105","5am",49.89109,50.10891
"9106","5am",48.56493,51.43507
"9107","5am",46.27046,53.72954
"9108","5am",45.39414,54.60586
"9109","5am",49.516,50.484
"9110","5am",47.29168,52.70832
"9111","5am",50.45053,49.54947
"9112","5am",48.7804,51.2196
"9113","5am",48.03802,51.96198
"9114","5am",44.96819,55.03181
"9201","5am",48.01083,51.98917
"9202","5am",45.45974,54.54026
"9203","5am",44.50924,55.49076
"9204","5am",48.3182,51.6818
"9205","5am",46.62221,53.37779
"9206","5am",46.82791,53.17209
"9207","5am",45.58899,54.41101
"9208","5am",45.53976,54.46024
"9209","5am",48.35458,51.64542
"9210","5am",46.26773,53.73227
"9211","5am",42.24816,57.75184
"9212","5am",46.95902,53.04098
"9302","5am",47.2919,52.7081
"9303","5am",46.83865,53.16135
"9304","5am",47.27847,52.72153
"9305","5am",48.68017,51.31983
"9306","5am",46.71542,53.28458
"9307","5am",44.42632,55.57368
"9308","5am",48.74726,51.25274
"9309","5am",46.70262,53.29738
"9310","5am",46.48963,53.51037
"9311","5am",47.57461,52.42539
"9312","5am",49.44873,50.55127
"9402","5am",45.4639,54.5361
"9403","5am",45.66389,54.33611
"9404","5am",43.15601,56.84399
"9405","5am",49.36979,50.63021
"9406","5am",45.84132,54.15868
"9407","5am",45.01005,54.98995
"9408","5am",44.90856,55.09144
"9409","5am",45.54203,54.45797
"9410","5am",46.3925,53.6075
"9411","5am",47.05935,52.94065
"9412","5am",49.96655,50.03345
"9413","5am",45.50813,54.49187
"9414","5am",48.04303,51.95697
"9501","5am",49.23996,50.76004
"9502","5am",44.75396,55.24604
"9503","5am",45.6163,54.3837
