"hour","Duncan","Moran"
"min",0,-0.102109857684394
"max",0.9746,0.60940390760996
"4am",0.3211,0.0198690126544773
"5am",0.3031,0.0452916369149755
"6am",0.2528,0.0803723443163666
"7am",0.2277,0.127575448931472
"8am",0.1756,0.143837028728003
"9am",0.1886,0.270586938318512
"10am",0.2214,0.368940885074464
"11am",0.2212,0.357638062449831
"12am",0.2333,0.421333168824744
"1pm",0.2644,0.495248939969659
"2pm",0.255,0.460155620428291
"3pm",0.2397,0.435949041718431
"4pm",0.2421,0.436660136024121
"5pm",0.2552,0.452006382319119
"6pm",0.268,0.547705829602696
"7pm",0.2455,0.60940390760996
"8pm",0.2296,0.585328435810098
"9pm",0.2537,0.564323823706403
"10pm",0.2614,0.529800272652549
"11pm",0.2792,0.521745275477506
"12pm",0.3059,0.465428357956732
"1am",0.3039,0.429723785784404
"2am",0.3007,0.291198638241509
"3am",0.2823,0.179908358204952
