"hour","Duncan","Moran"
"min",0.0639,-0.0793225236073434
"max",0.1669,0.230583581647629
"4am",0.0983,0.122069051488989
"5am",0.098,0.119685279132463
"6am",0.0975,0.110672912627774
"7am",0.0994,0.0890424597049623
"8am",0.1122,0.118426545883422
"9am",0.1475,0.134252955034768
"10am",0.1669,0.11805634952915
"11am",0.1616,0.12240359234155
"12am",0.1645,0.0623876055624153
"1pm",0.1577,0.103462180065235
"2pm",0.1565,0.128501121574305
"3pm",0.1516,0.135401525951772
"4pm",0.1547,0.104969438060099
"5pm",0.1487,0.0850891456050637
"6pm",0.135,0.117130760340093
"7pm",0.1183,0.121802114719487
"8pm",0.1093,0.133647685262552
"9pm",0.1044,0.131005635485348
"10pm",0.1,0.147833112771371
"11pm",0.1016,0.146677813744427
"12pm",0.0991,0.130907833870196
"1am",0.0978,0.133683290624567
"2am",0.0978,0.133887102900324
"3am",0.0981,0.133382406192555
