"hour","Duncan","Moran"
"min",0.1064,0.110254405314464
"max",0.3301,0.702912085358046
"4am",0.1503,0.345139556542398
"5am",0.1495,0.342816965934743
"6am",0.1495,0.347375736167388
"7am",0.1487,0.334286949035879
"8am",0.139,0.258892753314577
"9am",0.1162,0.150134752625111
"10am",0.1136,0.172049910822569
"11am",0.1136,0.149131224726869
"12am",0.1094,0.16139851370487
"1pm",0.1066,0.153538469702478
"2pm",0.1064,0.157250660629445
"3pm",0.1064,0.110254405314464
"4pm",0.1123,0.129850675542257
"5pm",0.1089,0.162135898112262
"6pm",0.1245,0.207131745321767
"7pm",0.1317,0.266111716557224
"8pm",0.1354,0.292790003285794
"9pm",0.1451,0.32046656311051
"10pm",0.1449,0.308095120993815
"11pm",0.146,0.313020823244811
"12pm",0.145,0.318094933828982
"1am",0.1465,0.323792351598531
"2am",0.1475,0.320996407809101
"3am",0.1471,0.324097524134124
