"hour";"7501";"7502";"7503";"7504";"7505";"7506";"7507";"7508";"7509";"7510";"7511";"7512";"7513";"7514";"7701";"7702";"7703";"7704";"7705";"7706";"7707";"7708";"7709";"7710";"7711";"7712";"7713";"7714";"7715";"7716";"7801";"7802";"7803";"7804";"7805";"7806";"7807";"7808";"7809";"7810";"7811";"7812";"7813";"7814";"7815";"7816";"9101";"9102";"9103";"9104";"9105";"9106";"9107";"9108";"9109";"9110";"9111";"9112";"9113";"9114";"9201";"9202";"9203";"9204";"9205";"9206";"9207";"9208";"9209";"9210";"9211";"9212";"9302";"9303";"9304";"9305";"9306";"9307";"9308";"9309";"9310";"9311";"9312";"9402";"9403";"9404";"9405";"9406";"9407";"9408";"9409";"9410";"9411";"9412";"9413";"9414";"9501";"9502";"9503";"9504";"9505";"9506";"9507";"9508";"9509";"9510";"9511";"9512";"9513"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068";"64742.5980572068"
"4am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"5649.847";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"4304.814";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000"
"5am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"5649.847";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"4304.814";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000"
"6am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"5393.455";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"4106.075";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"7am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"4257.836";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"5450.990";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3831.721";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"7367.245";"6529.587";"8073.494";"   0.000";"   0.000";"6349.463";"5868.396";"   0.000";"7919.637";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3917.121";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"6203.131";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"4166.909";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"4570.994";"   0.000";"   0.000";"   0.000";"4429.588";"5457.578";"7548.103";"4948.501";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3026.521";"   0.000";"   0.000";"   0.000";"   0.000";"4394.005";"   0.000";"   0.000";"6850.301";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3466.955";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"19602.344";"20407.710";"30610.705";" 9009.750";" 6900.194";"15072.635";"11115.415";" 6637.966";"16914.820";" 5626.425";"11114.120";" 5229.287";" 9411.053";"    0.000";" 7383.395";"10302.864";" 5029.110";" 3565.272";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2818.369";"    0.000";"    0.000";"    0.000";"    0.000";" 7667.858";"    0.000";"    0.000";" 6592.573";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 9862.273";"    0.000";"    0.000";"    0.000";" 9445.550";" 4972.266";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 5827.529";"    0.000";" 8061.062";"    0.000";" 9069.579";" 4522.533";"13668.386";"12536.074";"16520.931";"11267.417";" 5333.771";" 3564.713";" 8034.797";" 3420.551";"    0.000";"    0.000";"    0.000";" 4645.856";" 6642.859";"    0.000";" 6704.579";"    0.000";"    0.000";" 8449.350";"    0.000";"    0.000";"14018.582";" 5722.742";" 8596.102";"    0.000";" 4585.297";" 5094.732";" 5296.120";"    0.000";" 6151.592";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4011.255";" 4466.835";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"10am";"32979.209";"31801.743";"48650.820";"14970.406";" 9104.908";"20434.366";"14862.530";" 7091.088";"22751.111";" 9256.099";"15883.557";" 8410.531";"11073.076";" 8103.379";"10547.141";"12346.536";" 4323.930";" 4047.085";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3010.779";"    0.000";"    0.000";"    0.000";"    0.000";" 8221.250";"    0.000";"    0.000";" 7816.689";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"13214.133";"    0.000";"    0.000";"    0.000";"13173.799";" 7313.207";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4890.730";"    0.000";" 7101.124";" 3042.436";"10024.280";"    0.000";"12065.678";" 5816.970";"18513.205";"20016.202";"23966.762";"13308.547";" 7255.893";" 4495.673";"11864.101";" 5148.174";"    0.000";" 4795.690";"    0.000";" 5319.419";" 8279.370";"    0.000";" 7290.562";"    0.000";"    0.000";"11257.596";"    0.000";"    0.000";"22188.338";" 6673.164";"10828.804";"    0.000";" 5122.214";" 7306.321";" 7437.847";" 3150.845";" 7452.396";" 2686.826";"    0.000";"    0.000";"    0.000";"    0.000";" 4346.889";" 5376.199";"    0.000";"    0.000";"    0.000";" 3738.762";"    0.000";"    0.000";"    0.000";" 5894.600";" 3645.989";"    0.000";"    0.000"
