"hour","Duncan","Moran"
"min",0.1124,0.132840314736957
"max",0.314,0.641533561968454
"4am",0.1444,0.433407464347587
"5am",0.1449,0.435128397074285
"6am",0.145,0.421339135246949
"7am",0.144,0.422838741558929
"8am",0.1448,0.390553957558424
"9am",0.1259,0.376629225860257
"10am",0.1268,0.393010527957577
"11am",0.1258,0.4114363543406
"12am",0.1248,0.399769672168546
"1pm",0.1274,0.400173332988176
"2pm",0.1231,0.411365389305636
"3pm",0.1201,0.421581897643679
"4pm",0.1252,0.465322731570387
"5pm",0.1278,0.459907410401764
"6pm",0.1444,0.441124611322677
"7pm",0.1434,0.451138335471961
"8pm",0.1406,0.432289294508782
"9pm",0.1425,0.438805338436912
"10pm",0.1435,0.441698022043016
"11pm",0.145,0.456021061958017
"12pm",0.1462,0.445300442287947
"1am",0.1462,0.444919553189346
"2am",0.1459,0.450545144894298
"3am",0.1458,0.453318495405429
