"hour","Duncan","Moran"
"min",0,-0.102109857684394
"max",0.9746,0.60940390760996
"4am",0.4621,-0.00911925629746447
"5am",0.4615,-0.0092673720536492
"6am",0.4509,0.0249038881030754
"7am",0.3953,-0.0337561513315781
"8am",0.3192,-0.0710011642140397
"9am",0.2348,-0.0111448574268959
"10am",0.1647,0.0408250317209547
"11am",0.1708,0.0526547822719923
"12am",0.1693,0.0281483492411189
"1pm",0.1956,0.317580561067281
"2pm",0.1948,0.25619258844289
"3pm",0.1683,0.114889668110326
"4pm",0.1635,0.0136811934004671
"5pm",0.1377,0.0252692844481415
"6pm",0.1594,0.0983287215032101
"7pm",0.2011,0.408255109841742
"8pm",0.2305,0.512673825777934
"9pm",0.2598,0.520559398989905
"10pm",0.2747,0.517750447097434
"11pm",0.3057,0.522096436753548
"12pm",0.3589,0.42987137932098
"1am",0.3872,0.429936376014451
"2am",0.3778,0.289843403128943
"3am",0.3676,0.157396360912528
