"hour","Duncan","Moran"
"min",0.0639,-0.0793225236073434
"max",0.1669,0.230583581647629
"4am",0.1009,0.0829351672694261
"5am",0.1007,0.0871471387155469
"6am",0.1035,0.0934178691185266
"7am",0.1068,0.0654880684404685
"8am",0.1152,0.0991856585908935
"9am",0.1411,-0.0195149041554796
"10am",0.1428,-0.0309359340105877
"11am",0.1443,-0.0259973962195872
"12am",0.1381,-0.0193878559768995
"1pm",0.1343,-0.0117822899844352
"2pm",0.1368,-0.00830179952666219
"3pm",0.1376,-0.0398508814012101
"4pm",0.1389,-0.0246205022127103
"5pm",0.1366,-0.0354045711604473
"6pm",0.1198,-0.00550102268664826
"7pm",0.1133,0.0349686606881622
"8pm",0.1001,0.0546266641509754
"9pm",0.0971,0.0691817573720618
"10pm",0.0971,0.0610664890625863
"11pm",0.0979,0.0486869866465148
"12pm",0.1014,0.0527839499799691
"1am",0.0991,0.082925922823052
"2am",0.0988,0.0923338154785711
"3am",0.0971,0.0940736547588269
