"hour","Duncan","Moran"
"min",0.102,0.119456553654775
"max",0.3517,0.732379148944619
"4am",0.2084,0.568438222174816
"5am",0.2081,0.568215347783405
"6am",0.2075,0.553629553881302
"7am",0.2039,0.559961324677028
"8am",0.1869,0.523462226728922
"9am",0.1676,0.494517067641462
"10am",0.1642,0.539531772390923
"11am",0.1627,0.496347726597647
"12am",0.161,0.496341719909707
"1pm",0.1601,0.514905210950743
"2pm",0.1623,0.493455554288189
"3pm",0.1628,0.518497948646848
"4pm",0.1658,0.516176155259844
"5pm",0.1766,0.521339883841995
"6pm",0.1924,0.557178127493852
"7pm",0.195,0.560694221896602
"8pm",0.2071,0.575743392085301
"9pm",0.2125,0.562500292676864
"10pm",0.2129,0.547932218711636
"11pm",0.2108,0.552640197388329
"12pm",0.2116,0.547671117324768
"1am",0.2101,0.546845068737211
"2am",0.2109,0.552436144673291
"3am",0.2104,0.552357898862721
