"hour","Duncan","Moran"
"min",0.6294,0.531993495325608
"max",0.9905,0.787768876029085
"4am",0.9794,0.602480887534761
"5am",0.9777,0.603472573329236
"6am",0.9713,0.602820346997171
"7am",0.9531,0.603421410293981
"8am",0.8924,0.61534722157799
"9am",0.7753,0.633034461549696
"10am",0.6968,0.64727916505978
"11am",0.6745,0.65541889250697
"12am",0.666,0.649015869281252
"1pm",0.6649,0.65065393863334
"2pm",0.6578,0.667000157586535
"3pm",0.6471,0.665837893723051
"4pm",0.6636,0.671214293677322
"5pm",0.711,0.653593743535023
"6pm",0.794,0.633839038469005
"7pm",0.8686,0.623321691052274
"8pm",0.9103,0.613684574370105
"9pm",0.9308,0.612317127359297
"10pm",0.9421,0.610032613682157
"11pm",0.96,0.607693875645713
"12pm",0.9697,0.60619682015156
"1am",0.9786,0.603704576574041
"2am",0.9815,0.603204599667258
"3am",0.9819,0.60326878662035
