"hour","Duncan","Moran"
"min",0.6294,0.531993495325608
"max",0.9905,0.787768876029085
"4am",0.9898,0.531993495325608
"5am",0.9883,0.532513387040267
"6am",0.984,0.532506235307652
"7am",0.97,0.534020669564523
"8am",0.9058,0.539625159825757
"9am",0.7588,0.560775404439768
"10am",0.6667,0.571932926581022
"11am",0.6403,0.584567814204006
"12am",0.6429,0.579704433256444
"1pm",0.6405,0.578164753413809
"2pm",0.6294,0.5852864664331
"3pm",0.6305,0.583744145397789
"4pm",0.6401,0.583421087265117
"5pm",0.6803,0.571627901637059
"6pm",0.7547,0.559185583074496
"7pm",0.8477,0.552349580927555
"8pm",0.9058,0.546497997076203
"9pm",0.9305,0.543979822827929
"10pm",0.9428,0.540455999794974
"11pm",0.9598,0.537050016392255
"12pm",0.9741,0.534405893531293
"1am",0.9831,0.533466533332589
"2am",0.9861,0.533066220442696
"3am",0.9877,0.532772492845528
