"hour","Duncan","Moran"
"min",0.0686,0.0590409547707315
"max",0.1898,0.41472251787493
"4am",0.1106,0.274881429472531
"5am",0.1109,0.270668933287857
"6am",0.109,0.240626228242116
"7am",0.1102,0.234861052332952
"8am",0.1475,0.335877067509278
"9am",0.1716,0.200062628452911
"10am",0.1857,0.164321304717807
"11am",0.1898,0.153942409928793
"12am",0.1844,0.140986437041659
"1pm",0.1855,0.146087900141234
"2pm",0.1814,0.160157921575025
"3pm",0.1833,0.151540343392076
"4pm",0.1788,0.138624173816228
"5pm",0.1885,0.145787828207882
"6pm",0.1705,0.176455451601767
"7pm",0.1496,0.172436567434147
"8pm",0.1251,0.172409329567218
"9pm",0.1167,0.18286896722737
"10pm",0.1155,0.191429627853069
"11pm",0.1145,0.258194929508614
"12pm",0.1134,0.258912531009047
"1am",0.1124,0.263821911369602
"2am",0.1124,0.260657025863473
"3am",0.1122,0.265668052724876
