"district","hour","age1","age2","age3","age4"
"7501","4am",8208.057,16426.898,46631.49,12236.626
"7502","4am",20014.668,18734.138,67539.07,26817.002
"7503","4am",8154.01,12651.951,46759.87,12058.81
"7504","4am",7051.891,19477.882,45928.57,9447.015
"7505","4am",11577.295,21006.905,72261.55,17232.613
"7506","4am",10869.302,26582.138,58965.71,20765.248
"7507","4am",23844.233,28693.674,69570.15,23753.735
"7508","4am",13222.352,24885.474,52484.51,19293.511
"7509","4am",23054.967,35651.196,91485.67,34184.757
"7510","4am",11305.106,21094.371,67365.96,31760.749
"7511","4am",16555.95,26061.621,68661.57,23358.215
"7512","4am",17096.587,48836.87,69759.53,20427.354
"7513","4am",15713.66,25512.165,79421.45,21268.666
"7514","4am",14614.266,33728.77,79425.4,23107.717
"7701","4am",10464.762,26690.506,55575.55,7579.964
"7702","4am",9565.349,19941.303,71376.58,11933.259
"7703","4am",9292.091,18201.974,42911.54,9252.463
"7704","4am",9728.803,8264.777,41398.03,11820.602
"7705","4am",6156.489,4353.053,33812.43,5329.679
"7706","4am",4146.633,7654.51,27471.5,8461.076
"7707","4am",4462.452,7287.651,31487.94,9442.537
"7708","4am",8644.031,8773.985,43922.67,11635.537
"7709","4am",4275.369,6440.872,33606.38,7212.479
"7710","4am",5978.774,10730.234,39303.09,9010.729
"7711","4am",10979.825,7659.77,49527.73,10367.543
"7712","4am",5351.841,11513.651,28645.89,9884.498
"7713","4am",3082.103,3885.638,16852.23,5728.661
"7714","4am",9270.949,11061.035,32843.94,13838.625
"7715","4am",2473.658,4862.69,19997.95,7082.947
"7716","4am",10606.26,14978.397,44453.74,5839.757
"7801","4am",9508.676,12336.208,46237.28,10974.763
"7802","4am",5323.863,8901.992,36188.89,13080.095
"7803","4am",10128.748,12075.337,51872.06,15971.362
"7804","4am",6023.709,5569.958,25884.82,9098.395
"7805","4am",7598.301,14673.864,45816.47,13049.81
"7806","4am",7189.419,12866.27,48375.8,13320.77
"7807","4am",7511.303,8196.699,23326.92,9567.456
"7808","4am",6031.531,6668.97,37710.86,5989.286
"7809","4am",8004.339,13074.866,33975.54,7552.867
"7810","4am",1772.452,4009.655,12786.72,5090.119
"7811","4am",5377.302,12593.381,40417.87,18068.267
"7812","4am",15129.199,21938.416,63013.66,26300.612
"7813","4am",4308.455,2847.396,24456.56,5458.347
"7814","4am",1821.275,3642.275,12812.71,4387.357
"7815","4am",2327.743,7017.945,21643.79,5369.556
"7816","4am",11553.306,22717.802,62907.07,7689.876
"9101","4am",9705.557,12880.182,29374.06,5352.479
"9102","4am",3679.106,6886.01,28537.3,7661.706
"9103","4am",3959.271,11194.496,36956.1,11003.498
"9104","4am",2957.26,8824.932,28242.69,10197.002
"9105","4am",7612.648,11552.56,46991.23,9096.092
"9106","4am",13363.138,16695.57,39345.87,12567.039
"9107","4am",7890.2,13142.061,49427.64,14830.656
"9108","4am",7396.557,10148.69,29536.56,9014.256
"9109","4am",5814.711,10804.763,36633.56,11967.749
"9110","4am",6996.207,13103.432,32590.18,8755.849
"9111","4am",6097.642,10619.917,32248.68,8917.59
"9112","4am",4222.616,7476.185,28066.22,7757.523
"9113","4am",7661.26,13390.869,42394.22,13642.255
"9114","4am",5816.203,5768.763,23385.51,7048.265
"9201","4am",12967.859,22840.466,59240.67,15415.476
"9202","4am",8786.42,15566.275,44713.38,11508.049
"9203","4am",13278.871,28557.08,71930.44,24800.75
"9204","4am",13072.936,15720.854,44624.14,11412.196
"9205","4am",11153.606,25091.301,50098.9,14050.606
"9206","4am",7411.214,12595.422,57199.02,14698.719
"9207","4am",7637.465,8790.833,50637.18,15797.287
"9208","4am",8291.931,16075.285,47410.75,16357.137
"9209","4am",14505.326,26973.365,69026.21,18665.279
"9210","4am",11619.086,17984.37,63854,22770.249
"9211","4am",8981.263,18542.447,31762.08,12869.966
"9212","4am",8672.91,11695.717,39396.55,15006.479
"9302","4am",5123.486,9082.739,22341.12,9326.908
"9303","4am",11071.514,18329.791,58705.3,13878.891
"9304","4am",7096.715,23140.195,69536.32,16129.915
"9305","4am",8762.606,12671.661,47117.43,12394.69
"9306","4am",9265.909,20940.024,46580.28,17248.513
"9307","4am",11087.105,12526.765,44370.57,11232.704
"9308","4am",6621.25,9283.001,34695.45,8681.26
"9309","4am",10652.273,15524.636,49955.45,10865.322
"9310","4am",12188.086,19342.578,57030.71,15517.484
"9311","4am",16180.813,23475.55,62652.47,15930.866
"9312","4am",18855.487,42938.139,81037.66,18395.69
"9402","4am",13734.684,22561.634,54701.8,15651.708
"9403","4am",11693.273,24137.465,57799.63,17201.486
"9404","4am",6745.511,8265.349,40692.03,10385.783
"9405","4am",4447.522,11283.513,35162.16,10045.096
"9406","4am",13148.45,13849.857,39530.42,10840.529
"9407","4am",9710.631,23225.127,57902.09,17501.1
"9408","4am",5678.855,14562.566,38323.67,15586.751
"9409","4am",9634.434,29401.754,76291.06,25697.424
"9410","4am",6835.634,8623.609,23641.36,6249.47
"9411","4am",5050.111,10021.571,25889.71,7795.697
"9412","4am",3237.148,6159.587,20217.31,5477.608
"9413","4am",6465.728,10432.519,29339.86,8941.703
"9414","4am",4128.645,3713.801,17674.84,4676.339
"9501","4am",12260.252,17437.465,39732.33,4361.996
"9502","4am",8087.001,13408.003,30780.34,7591.62
"9503","4am",5146.681,9737.65,26918.49,7976.159
"9504","4am",4208.361,8522.821,29811.58,8263.059
"9505","4am",4398.02,9987.517,33810.24,8706.001
"9506","4am",8192.767,10444.909,28058.28,5434.06
"9507","4am",8685.701,15990.583,36124.97,9185.86
"9508","4am",9955.575,17164.843,54859.42,11855.198
"9509","4am",4861.432,9178.45,41874.26,7847.356
"9510","4am",6282.206,12332.901,43090.16,13124.301
"9511","4am",4904.371,13859.891,43721.93,15348.789
"9512","4am",7798.292,13437.784,38178.1,11998.565
"9513","4am",3728.924,5825.221,33720.65,7950.052
"7501","5am",8208.057,16426.898,46631.49,12236.626
"7502","5am",20014.668,18734.138,67876.26,26817.002
"7503","5am",8154.01,12651.951,46759.87,12058.81
"7504","5am",7051.891,19477.882,46300.33,9447.015
"7505","5am",11577.295,21006.905,72261.55,17232.613
"7506","5am",10869.302,26582.138,58965.71,20765.248
"7507","5am",23844.233,28414.49,70063.43,23753.735
"7508","5am",13222.352,24462.36,52484.51,19293.511
"7509","5am",23054.967,35651.196,92694.46,34184.757
"7510","5am",11305.106,21298.237,65969.69,31760.749
"7511","5am",16555.95,26061.621,68383.62,23358.215
"7512","5am",17096.587,48498.839,69759.53,20427.354
"7513","5am",15713.66,25512.165,79421.45,21268.666
"7514","5am",14614.266,33728.77,79053.65,23107.717
"7701","5am",10551.978,27060.397,56799.87,7579.964
"7702","5am",9565.349,19941.303,70779.15,11933.259
"7703","5am",9292.091,18050.17,42911.54,9252.463
"7704","5am",9728.803,7894.886,41837.96,11820.602
"7705","5am",6156.489,4353.053,32960.74,5329.679
"7706","5am",4059.416,7810.442,26564.28,8461.076
"7707","5am",4462.452,6610.159,31179.34,9442.537
"7708","5am",8644.031,8598.033,43922.67,11635.537
"7709","5am",4275.369,6440.872,33137.64,7212.479
"7710","5am",5978.774,10466.042,39620.34,9010.729
"7711","5am",10979.825,7659.77,49336.11,10367.543
"7712","5am",5351.841,11262.755,28300.98,9884.498
"7713","5am",3082.103,3885.638,16608.44,5728.661
"7714","5am",9270.949,11061.035,33130.22,13838.625
"7715","5am",2473.658,4770.294,19798.42,7082.947
"7716","5am",10606.26,14919.908,43931.44,5839.757
"7801","5am",9508.676,12336.208,45749.35,10974.763
"7802","5am",5323.863,8901.992,36513.01,13080.095
"7803","5am",10128.748,12075.337,51872.06,15971.362
"7804","5am",6023.709,5569.958,25642.83,9098.395
"7805","5am",7598.301,14673.864,45816.47,13049.81
"7806","5am",7189.419,13610.917,48375.8,13320.77
"7807","5am",7511.303,8196.699,22467.17,9567.456
"7808","5am",6031.531,6668.97,37156.13,5989.286
"7809","5am",8004.339,13342.911,33975.54,7552.867
"7810","5am",1772.452,4009.655,12786.72,5090.119
"7811","5am",5377.302,12593.381,40417.87,18068.267
"7812","5am",15274.287,21938.416,63013.66,26300.612
