"Secteur_EM";"LIB"
"001";"MONTPELLIER 001"
"002";"MONTPELLIER 002"
"003";"MONTPELLIER 003"
"004";"MONTPELLIER 004"
"005";"MONTPELLIER 005"
"006";"MONTPELLIER 006"
"007";"MONTPELLIER 007"
"008";"MONTPELLIER 008"
"009";"MONTPELLIER 009"
"010";"MONTPELLIER 010"
"011";"MONTPELLIER 011"
"012";"MONTPELLIER 012"
"013";"MONTPELLIER 013"
"014";"MONTPELLIER 014"
"015";"MONTPELLIER 015"
"016";"MONTPELLIER 016"
"017";"MONTPELLIER 017"
"018";"MONTPELLIER 018"
"019";"MONTPELLIER 019"
"020";"MONTPELLIER 020"
"021";"MONTPELLIER 021"
"022";"MONTPELLIER 022"
"023";"MONTPELLIER 023"
"024";"MONTPELLIER 024"
"025";"MONTPELLIER 025"
"026";"MONTPELLIER 026"
"027";"MONTPELLIER 027"
"028";"MONTPELLIER 028"
"029";"CASTELNAU-LE-LEZ 029"
"030";"CASTELNAU-LE-LEZ 030"
"031";"MAUGUIO"
"032";"MAUGUIO, SAINT-AUNES"
"033";"LATTES 033"
"034";"LATTES 034"
"035";"SAINT-JEAN-DE-VEDAS"
"036";"LE CRES"
"037";"VENDARGUES, CASTRIES"
"038";"JUVIGNAC"
"039";"GRABELS"
"040";"SAINT-GELY-DU-FESC, SAINT-CLEMENT-DE-RIVIERE"
"041";"PRADES-LE-LEZ, MONTFERRIER-SUR-LEZ"
"042";"JACOU"
"043";"PEROLS"
"044";"PALAVAS-LES-FLOTS"
"045";"VILLENEUVE-LES-MAGUELONE"
"046";"FABREGUES, SAUSSAN"
"047";"PIGNAN, LAVERUNE"
"048";"COURNONTERRAL, COURNONSEC"
"049";"SAINT-GEORGES-D'ORQUES, MURVIEL-LES-MONTPELLIER"
"050";"MONTARNAUD, COMBAILLAUX"
"051";"TEYRAN"
"052";"SAINT-MATHIEU-DE-TREVIERS, ASSAS, SAINT-VINCENT-DE-BARBEYRARGUES"
"053";"SUSSARGUES, SAINT-DREZERY, SAINT-GENIES-DES-MOURGUES"
"054";"BAILLARGUES, SAINT-BRES"
"055";"LANSARGUES, MUDAISON, CANDILLARGUES"
"056";"LA GRANDE-MOTTE"
"057";"CLAPIERS"
"058";"MARSILLARGUES, SAINT-JUST, SAINT-NAZAIRE-DE-PEZAN"
"059";"LUNEL 059"
"060";"LUNEL 060"
"061";"LUNEL-VIEL, VALERGUES, BOISSERON"
"062";"SAINT-MARTIN-DE-LONDRES, CLARET, VIOLS-LE-FORT"
"063";"VAILHAUQUES, LES MATELLES, SAINT-JEAN-DE-CUCULLES"
"064";"ANIANE, SAINT-JEAN-DE-FOS, MONTPEYROUX"
"065";"GIGNAC, SAINT-ANDRE-DE-SANGONIS"
"066";"SAINT-PARGOIRE, LE POUGET, PLAISSAN"
"067";"POUSSAN, VILLEVEYRAC, MONTBAZIN"
"068";"MEZE"
"069";"MIREVAL, VIC-LA-GARDIOLE"
"070";"BALARUC-LES-BAINS, GIGEAN, BALARUC-LE-VIEUX"
"071";"FRONTIGNAN 071"
"072";"FRONTIGNAN 072"
"073";"SETE 073"
"074";"SETE 074"
"075";"SETE 075"
"076";"MARSEILLAN"
"077";"PAULHAN, CANET, ASPIRAN"
"078";"CLERMONT-L'HERAULT, CEYRAS, SAINT-FELIX-DE-LODEZ"
"079";"LODEVE, LE BOSC, SOUBES"
"080";"GANGES, SAINT-BAUZILLE-DE-PUTOIS, LAROQUE"
