"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"0.0000000";"0.0000000";"0.6703734";"0.0000000";"3.5533505";"0.2548876";"1.2120243";"0.0000000";"1.9774797";"0.5746638";"0.3609003";"0.9303090";"4.4304571";"0.9230231";"1.0504764";"0.0000000";"0.8367392";"0.0000000";"0.4896982";"0.0000000";"0.0000000";"3.4388983";"2.8035923";"0.0000000";"1.0935274";"0.0000000";"2.6423473";"0.8903515";"0.5439857";"1.4880578";"1.4328263";"5.4536739";"1.2951691";"0.0000000";"1.9516988";"1.6042908";"5.1959177";"1.6537531";"0.6699967";"0.1054216";"1.0776555";"0.0000000";"0.7084736";"0.5725958";"0.6863426";"0.0000000";"2.1831571";"0.6984688";"0.0000000";"3.4105974";"0.7067249";"0.0000000";"0.6405609";"5.5193963";"3.0019991";"3.7187716";"0.0000000";"0.0000000";"1.4055927";"0.0000000";"1.9143156";"1.5626470";"1.0966226";"0.5063266";"0.7475435";"0.8726488";"3.2518773";"2.8829951";"3.0381223";"1.3770585";"3.0805541";"6.3918227";"1.2211521";"1.9561535";"2.0319292";"0.0000000";"0.0000000";"0.7219207";"1.9565471";"0.0000000"
"5am";"2.0499040";"0.9884670";"1.7986742";"0.0000000";"3.5533505";"0.2548876";"1.5171441";"0.0000000";"4.2206034";"0.5870173";"2.7950029";"1.5462109";"7.8122876";"0.6062697";"1.0600281";"0.0000000";"2.3620415";"0.0000000";"0.4896982";"0.0000000";"0.0000000";"4.5468453";"6.8901773";"1.0179498";"1.6667428";"0.0000000";"3.4765153";"1.8590551";"3.5641605";"1.4880578";"3.8340438";"6.0325080";"1.6486592";"2.0220977";"4.7025035";"2.5193912";"7.2505532";"2.4345605";"1.5144106";"1.3368984";"1.0776555";"0.0000000";"1.1310781";"0.9631394";"0.6955872";"1.4144412";"0.7381178";"0.6984688";"1.2554649";"3.4301639";"0.7248761";"0.5207554";"0.6405609";"5.1861920";"3.0605049";"4.3896880";"3.8846061";"0.0000000";"2.6317519";"2.1488599";"1.9425833";"3.3560843";"1.1262797";"0.5063266";"0.7525616";"0.8726488";"2.6742348";"2.9583325";"3.7946944";"4.5044030";"3.1355808";"6.9346530";"0.6917738";"2.5971433";"3.0994492";"0.0000000";"0.0000000";"1.7652156";"1.9565471";"0.0000000"
"6am";" 3.3687831";" 0.9984811";" 3.7321372";" 0.0000000";" 4.3329540";" 0.7288086";" 1.8651546";" 0.0000000";" 8.9576158";" 0.5974455";" 5.5300943";" 2.7507001";"14.1117383";" 2.8692145";" 1.0919140";" 3.3477673";" 2.9690398";" 0.7177070";" 3.6109961";" 0.6312599";" 1.1146985";" 9.2865593";" 9.9771632";" 1.0657779";" 3.8972834";" 1.1387315";" 8.4948112";" 6.8547997";" 6.8992435";" 5.0595588";" 7.4257996";"13.4132756";" 2.2004476";" 3.8122696";"11.1942574";" 5.8035549";" 9.3842568";" 2.8910266";" 3.0029391";" 1.9134087";" 2.2446522";" 0.9364358";" 4.1889868";" 2.4768364";" 1.3164243";" 1.4832602";" 2.6025945";" 0.7669484";" 1.3098666";" 4.7907248";" 1.8259250";" 0.5629486";" 1.4163580";"10.4124759";" 3.2083503";" 4.3896880";" 4.6868352";" 4.5904133";" 4.0706946";" 3.8518421";" 2.0733035";" 5.6225287";" 1.1738050";" 2.4996189";" 5.2158303";" 0.3361803";" 5.0222957";" 4.4861771";" 4.5335644";" 8.2449873";" 5.8787086";"10.2633938";" 2.4154746";" 5.3571833";" 4.3030523";" 1.0624593";" 0.8362192";" 2.7694184";" 4.7723088";" 1.2917178"
"7am";" 7.788490";"10.678959";"14.351576";" 9.942974";" 9.455483";" 7.430850";" 5.605335";" 0.000000";"18.333107";" 7.099997";"20.239107";" 5.043585";"27.305556";" 8.323885";" 4.666785";" 8.391556";"13.549419";" 6.832211";"18.998314";" 9.186522";" 2.503020";"18.635755";"21.797851";"11.047420";" 9.359555";"10.934203";"35.235936";"19.924776";"20.592190";"14.470573";"12.519494";"31.031824";" 8.800492";"19.963753";"29.520968";" 9.959254";"16.792895";" 7.613397";" 5.626904";"14.738622";" 8.988068";" 5.901620";"14.121554";"13.122498";" 6.338179";" 6.094603";"15.097906";" 7.107863";" 7.830122";" 9.865791";"10.658437";" 9.940922";" 4.919514";"24.313002";" 8.858396";"12.977199";" 9.893138";"10.543371";"10.361355";"13.234852";" 7.232028";"14.440583";" 9.372320";" 3.868443";"14.024974";" 5.456444";"14.409010";" 8.502495";"10.243688";"16.184544";"17.797759";"14.913335";" 9.058816";"12.413982";"15.822345";" 7.182817";" 2.488653";"14.915014";"15.813422";" 4.907031"
"8am";"22.994983";"31.613507";"28.001553";"19.265726";"15.681541";"15.288966";"16.299337";" 6.443051";"38.861252";"24.729805";"38.102409";"13.399958";"49.222372";"18.580291";" 6.389471";"24.813742";"28.070493";"22.156857";"37.946820";"16.745529";" 5.663835";"31.275292";"46.840968";"24.686616";"21.339422";"21.600411";"61.944464";"39.735205";"34.688692";"21.402222";"30.460628";"47.930165";"23.200206";"45.428786";"44.891639";"21.990781";"29.427495";"16.024720";"23.734174";"25.676283";"28.050953";"17.810667";"30.563848";"26.492690";"15.861874";"13.948201";"30.394112";"16.101688";"11.809080";"18.386158";"19.704586";"27.525524";"11.151742";"31.619246";"16.567216";"17.767469";"21.259222";"13.839068";"16.783560";"23.090969";"20.402355";"22.957680";"17.003779";"12.288759";"24.782689";"15.596705";"25.960567";"19.652571";"18.662104";"24.167422";"30.534746";"25.019778";"16.108892";"20.300951";"26.765010";"13.835667";" 6.980964";"29.434142";"21.594763";"10.035376"
"9am";"28.04987";"46.03009";"29.74719";"23.77452";"20.25009";"20.51395";"20.07784";" 8.01661";"38.85045";"28.06498";"40.50000";"13.34789";"52.05456";"24.06812";" 9.58826";"32.55128";"29.82908";"25.25492";"38.26026";"18.31366";"10.17078";"38.12744";"51.45277";"23.04818";"21.60986";"31.41986";"71.85765";"44.04825";"36.84618";"23.30082";"33.10903";"46.46975";"28.49464";"46.86232";"44.90056";"30.14571";"30.00097";"14.57515";"32.60393";"25.65583";"35.41424";"22.52796";"38.39747";"29.54489";"17.24546";"12.78915";"35.65407";"17.79595";"16.08471";"26.15390";"23.80306";"29.47300";"17.60293";"38.89095";"24.17845";"20.09444";"29.80661";"16.47932";"21.60211";"26.69963";"19.79728";"30.64315";"23.35681";"15.41666";"25.70774";"20.47630";"26.01444";"22.19116";"21.74232";"28.79610";"31.00122";"20.64660";"17.48728";"23.58531";"31.72386";"14.27490";"10.00774";"30.59549";"24.46292";"13.00710"
"10am";"27.238693";"44.030900";"31.695454";"25.632371";"24.086168";"22.295857";"21.939676";" 9.318397";"39.142730";"29.913155";"39.601683";"16.816219";"55.817631";"25.718892";"10.042760";"29.709560";"29.729080";"26.101759";"40.181674";"16.886430";"11.978357";"38.960563";"51.997085";"22.469060";"20.007143";"38.199073";"73.027517";"42.881715";"42.233986";"21.384449";"33.593029";"46.969657";"29.818094";"49.275216";"43.589883";"29.549716";"32.311179";"11.194352";"36.054930";"26.636445";"35.506570";"21.018090";"34.551177";"31.426812";"18.088825";"13.903176";"37.164358";"17.137240";"16.550894";"28.651474";"23.497363";"32.008107";"18.756451";"40.999325";"22.612069";"23.563513";"29.088335";"13.599968";"22.030420";"25.441438";"19.973329";"31.121873";"23.712662";"14.029445";"26.252301";"19.207034";"22.783883";"22.281800";"22.853316";"26.968128";"26.315333";"22.501929";"19.214729";"21.353589";"31.352632";"14.518653";" 8.050505";"30.087981";"24.523929";"13.522013"
"11am";"25.446456";"44.269162";"34.300320";"21.410011";"23.895606";"21.907389";"21.917838";"11.715797";"39.297514";"29.630726";"41.343462";"17.730386";"52.518632";"25.734850";" 9.787444";"27.817600";"30.672419";"26.654812";"41.257080";"14.121271";"11.450731";"37.830504";"51.329417";"19.087775";"21.884505";"36.755341";"71.405384";"43.049584";"40.399646";"22.659431";"31.510452";"48.928573";"28.473321";"54.767129";"38.392466";"28.904584";"31.893147";"13.553397";"34.051754";"22.661290";"30.185264";"19.324190";"35.023985";"29.966877";"16.288921";"14.199937";"33.563324";"17.228188";"16.385749";"26.011284";"21.118149";"33.683944";"17.495142";"39.501268";"20.602222";"22.104160";"29.587800";"12.493961";"21.864873";"27.601136";"16.034412";"27.570974";"21.565875";"13.480259";"23.100855";"19.146754";"25.585640";"22.573144";"19.826187";"25.090814";"25.970536";"23.247883";"17.510856";"20.074775";"30.427849";"13.899597";" 7.084725";"30.544341";"22.185436";"13.082106"
