"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184";"14333.13184"
"4am";"255.98501";"187.16334";"150.21240";" 29.98870";" 13.85169";"166.48581";"112.44060";"  0.00000";" 53.40467";" 32.77678";"  0.00000";" 28.54069";"  0.00000";"  0.00000";" 50.04491";"  0.00000";"  0.00000";" 67.48797";"  0.00000";"  0.00000";"  0.00000";"136.00257";"157.39033";" 26.13708";" 71.21412";"206.05077";" 53.49477";" 29.27661";" 19.63369";" 47.58125";"  0.00000";"  0.00000";" 51.02428";"  0.00000";"  0.00000";" 42.15996";" 38.05100";"  0.00000";" 38.05100";"134.22554";" 40.83438";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 77.80946";"  0.00000";"  0.00000";" 23.28840";"  0.00000";"  0.00000";"  0.00000";" 48.69161";" 56.86200";"  0.00000";" 45.66374";"  0.00000";"  0.00000";" 49.27190";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 53.19088";"120.69834";"  0.00000";" 56.91820";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"128.21492";"115.44120";"  0.00000";"  0.00000";" 60.67677";"153.22660";"  0.00000";" 46.97672"
"5am";"255.98501";"187.16334";"150.21240";" 29.98870";" 13.85169";"166.48581";"112.44060";"  0.00000";" 53.40467";" 32.77678";"  0.00000";" 28.54069";"  0.00000";"  0.00000";" 50.04491";"  0.00000";"  0.00000";" 67.48797";"  0.00000";"  0.00000";"  0.00000";"136.00257";"157.39033";" 26.13708";" 71.21412";"206.05077";" 53.49477";" 29.27661";" 19.63369";" 47.58125";"  0.00000";"  0.00000";" 51.02428";"  0.00000";"  0.00000";" 42.15996";" 38.05100";"  0.00000";" 38.05100";"134.22554";" 40.83438";"  0.00000";"  0.00000";"  0.00000";" 51.01418";"  0.00000";" 77.80946";"  0.00000";"  0.00000";" 23.28840";"  0.00000";"  0.00000";"  0.00000";" 48.69161";" 56.86200";" 42.55292";" 45.66374";" 33.05923";"  0.00000";" 49.27190";"  0.00000";"  0.00000";"  0.00000";"  0.00000";" 53.19088";"120.69834";"  0.00000";" 56.91820";"  0.00000";"  0.00000";"  0.00000";"  0.00000";"198.25937";"115.44120";"  0.00000";"  0.00000";" 60.67677";"153.22660";"  0.00000";" 46.97672"
"6am";"255.98501";"187.16334";"203.84804";" 29.98870";" 13.85169";"166.48581";"112.44060";"  0.00000";" 53.40467";" 32.77678";" 60.74000";" 28.54069";" 43.50565";"  0.00000";" 50.04491";"  0.00000";"  0.00000";" 67.48797";"  0.00000";"  0.00000";"  0.00000";"196.74257";"157.39033";" 26.13708";" 71.21412";"206.05077";" 53.49477";" 29.27661";" 19.63369";" 47.58125";" 36.27642";"  0.00000";" 51.02428";"  0.00000";"  0.00000";"124.13015";" 71.10657";"  0.00000";" 38.05100";"134.22554";" 40.83438";" 67.08309";"  0.00000";"  0.00000";" 51.01418";"  0.00000";" 77.80946";"  0.00000";"  0.00000";" 23.28840";"  0.00000";"  0.00000";"  0.00000";" 48.69161";" 56.86200";" 77.33141";" 45.66374";" 33.05923";"114.69030";" 49.27190";"  0.00000";"  0.00000";"  0.00000";" 41.82813";" 53.19088";" 89.48802";"  0.00000";" 56.91820";"  0.00000";" 95.02145";"  0.00000";" 43.94534";"274.07162";"161.36232";"257.18307";"  0.00000";" 60.67677";"153.22660";"  0.00000";" 46.97672"
"7am";"296.99672";"224.54737";"150.21240";" 29.98870";" 46.97683";"358.22115";"159.56834";"  0.00000";" 96.67990";" 32.77678";"105.25998";" 64.86416";"  0.00000";" 52.53893";" 50.04491";"  0.00000";"  0.00000";" 67.48797";"125.95595";" 31.30818";"  0.00000";"264.20399";"150.07888";"  0.00000";"238.25212";"179.27061";" 53.49477";" 29.27661";" 19.63369";"169.43516";" 28.96207";" 90.98090";"245.07623";"  0.00000";" 98.48915";"162.50487";"156.82760";" 37.79139";" 38.05100";"236.75984";" 40.83438";" 34.04005";"  0.00000";" 22.71364";"  0.00000";" 84.78140";" 77.80946";" 42.76729";"  0.00000";" 23.28840";"  0.00000";"108.91640";"  0.00000";" 81.62166";" 95.93410";"106.88687";"111.75689";"  0.00000";"  0.00000";" 49.27190";"159.59619";"183.34461";"  0.00000";" 41.82813";"160.55965";"195.94330";"160.66585";"222.47868";"  0.00000";"136.72254";"126.34113";"179.95314";"128.21492";"161.36232";"192.65060";"  0.00000";" 60.67677";"211.76674";"  0.00000";"153.29712"
"8am";" 516.76648";" 423.99393";"1213.48846";"  52.88314";" 216.18519";" 375.13728";" 265.33331";"   0.00000";" 366.11466";" 118.40400";" 295.60390";"   0.00000";"  66.72584";" 169.58274";"  41.42390";"  68.75377";" 234.08830";" 180.92592";" 621.33094";" 202.05592";"   0.00000";" 550.12218";" 177.29705";"  86.10363";" 291.10820";" 235.07836";" 357.89213";" 181.35060";" 263.70918";" 217.55818";"  70.42583";" 105.04001";" 454.90970";"  42.39144";" 129.69941";" 162.50487";" 139.45822";"  89.11122";"  43.10438";" 593.83555";" 198.81502";"  30.94051";" 117.96599";" 196.78518";" 138.52610";" 205.65456";"  20.89644";"  68.37061";"  97.04629";"  22.15005";"  57.28884";"  66.30866";"  35.64749";" 234.65110";" 202.10130";"  55.17680";"  44.62886";"  44.75592";" 351.57730";"  92.80318";" 150.88081";"  75.70931";"  51.74596";" 124.31673";"  92.01569";" 127.70119";" 262.34929";" 197.73959";" 103.85420";" 502.05459";" 489.96545";" 458.25183";" 326.96698";" 397.62310";" 457.68458";"  61.20139";" 147.31406";" 713.99947";" 130.86178";" 298.83230"
"9am";" 901.12695";" 716.00838";"1733.55363";" 127.16613";" 331.43935";" 858.11927";" 608.63746";"  98.05386";" 587.64752";" 520.58576";" 276.14621";" 164.39481";" 291.10195";" 574.73233";" 123.76621";" 101.67699";" 821.03818";" 546.85120";" 706.96672";" 217.66017";" 104.87339";"1175.02839";" 541.48942";" 480.98085";" 507.64814";" 283.65373";" 618.41806";" 710.71340";" 547.51224";" 311.35059";" 210.98763";" 566.78564";" 685.27360";" 111.18104";" 320.23105";" 285.25865";" 378.58791";" 149.46763";"  81.52388";" 747.77157";" 170.48606";" 252.31435";" 139.52640";" 601.30541";" 113.65461";" 234.94762";" 469.82004";" 246.49819";"  97.04629";" 130.96920";"  80.64737";" 274.01439";"  33.56531";" 343.29747";" 347.51578";" 459.37485";" 103.11947";"  84.30189";"1214.70345";" 128.25165";" 445.90850";" 321.54504";"  30.65608";" 315.46731";" 343.14087";" 416.79712";" 335.46558";" 434.11972";"  53.05600";" 865.71854";" 453.80937";"1501.81767";" 946.68914";" 552.18200";" 742.19505";" 449.30308";" 267.98539";" 863.66574";" 368.70887";" 409.57538"
"10am";"1270.42444";"1139.87614";"1944.71794";"  29.98870";" 407.58086";"1088.02575";" 598.99680";" 142.61535";"1087.59759";" 405.10989";" 419.92845";" 331.05272";" 283.01283";" 656.61041";" 191.77431";" 124.51891";"1012.80366";" 718.53920";" 624.17401";" 532.67902";"  44.56149";"1551.62599";" 577.61320";" 300.37809";" 407.14224";" 357.30537";" 435.61349";" 730.49389";" 607.51119";" 529.02588";" 265.77886";" 705.22765";" 680.42516";" 182.13093";" 647.25165";" 287.91328";" 442.93926";" 187.23679";"  81.52388";" 912.67280";" 324.92439";" 332.26257";" 461.65987";" 696.81629";" 443.91872";" 342.07319";" 519.43940";" 273.11967";" 141.17861";" 144.74476";" 127.53170";" 260.34402";" 141.83871";" 246.14143";" 199.66273";" 489.89882";" 133.37841";" 166.88452";"1028.42242";" 265.32950";" 748.44970";" 322.93847";" 168.68641";" 374.27768";" 267.53178";" 437.85754";" 470.48610";" 163.69700";"  44.94933";"1135.99205";" 561.21451";"1052.81044";"1895.02339";" 969.04476";" 768.89862";" 777.79256";" 179.53685";" 794.91173";" 700.31260";" 557.40336"
"11am";"1743.91674";"1500.26142";"1156.79822";"  71.81683";" 755.16218";"1407.13388";" 667.09382";"  88.20147";" 836.76386";" 490.25172";" 381.90670";" 459.29516";" 148.40245";" 486.21099";" 105.37286";" 134.24646";" 645.00820";" 341.10733";" 507.06022";" 410.10307";" 108.10956";"2209.46296";" 634.64491";" 416.94456";" 322.09370";" 189.37471";" 562.46392";" 517.34976";" 349.96883";" 120.15540";" 134.84058";" 303.20674";" 773.40666";" 107.29157";" 628.28697";" 469.18045";" 264.75209";"  94.57643";" 113.65665";" 893.49527";" 647.19068";" 116.98032";" 422.75547";" 805.39745";" 459.02153";" 233.45420";" 344.74042";" 119.65804";"  29.69656";"  71.09233";" 128.36414";"  75.57459";" 140.50773";" 321.65272";" 198.40301";" 318.73493";" 252.75084";"  33.05923";"1004.93545";" 102.80496";" 754.91832";" 419.29704";"  52.20275";"  59.09716";" 213.64885";" 397.92045";" 269.85692";" 335.85757";"   0.00000";" 444.60003";" 724.91134";" 698.55995";" 610.30108";" 622.02912";" 693.52916";" 182.32431";" 369.19656";" 880.58405";" 266.33855";" 415.10451"
