"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454";"72.5183668320454"
"4am";"41.948080";"39.905685";"28.140146";"17.886909";"29.094729";"40.123094";"23.572018";"11.142901";"15.437824";"14.218405";"13.966482";"14.324585";"16.589139";"14.054263";"15.581553";"10.722541";"18.957232";"26.800224";"18.160664";"21.928297";"23.626398";"55.544847";"24.630678";"19.167897";"52.001466";"25.197322";"11.854385";"28.230517";"14.541069";"13.748315";"13.648906";"11.187668";"13.238907";" 7.570564";"13.547370";"11.538316";"11.284211";"11.479928";"16.941733";"17.401775";"13.941944";"14.395906";"10.702629";" 7.509667";"13.328690";"14.413589";"10.981017";"15.781080";" 8.934277";" 6.720886";"12.431844";"12.965766";"10.054542";"13.161360";"12.253145";" 4.996490";"13.935028";"13.139150";"13.132411";"10.172964";"10.960617";"11.250442";"11.665902";"10.082598";"11.016372";"13.440389";"10.101298";"10.312394";" 5.610393";"10.762768";" 6.174831";"10.349522";"10.565157";" 3.265354";"15.247893";"10.898275";" 7.639883";"10.082910";" 9.584773";" 8.297490"
"5am";"40.746189";"39.511230";"28.449888";"17.982671";"29.094729";"40.123094";"23.499213";"11.193272";"17.300884";"14.524055";"13.822524";"13.854787";"16.917885";"14.239164";"15.723232";"10.928086";"18.820101";"27.183717";"18.160664";"22.448656";"23.760178";"54.907523";"23.769705";"17.824651";"51.700090";"25.197322";"12.061599";"28.715538";"14.966279";"13.748315";"13.835708";"11.119175";"13.191495";" 7.476901";"13.167290";"11.431007";"11.352649";"11.538583";"17.051109";"17.304116";"13.941944";"14.564117";"10.657077";" 7.544783";"13.508219";"14.209717";"11.466671";"15.781080";" 9.473229";" 6.759444";"12.751138";"13.050624";"10.054542";"13.309445";"12.491946";" 5.072199";"13.762175";"13.455904";"13.134455";" 9.963528";"11.122467";" 9.812552";"10.942079";"10.082598";"11.090323";"13.440389";" 9.651249";"10.581874";" 5.795453";"10.492690";" 6.285130";"10.561433";" 8.907096";" 3.350679";"15.812942";"10.956913";" 7.681848";"10.164436";" 9.584773";" 8.421091"
"6am";"40.197550";"39.911513";"27.795638";"18.225389";"29.370093";"39.690748";"23.569064";"11.319205";"16.718347";"14.238900";"13.656057";"14.030016";"17.132942";"14.863993";"16.196191";"10.562240";"19.249625";"26.357364";"17.936883";"22.337918";"24.419901";"54.027834";"23.321146";"15.923437";"51.174991";"25.668988";"14.056736";"27.951048";"14.978489";"13.468021";"13.757504";" 8.939989";"13.508261";" 7.528530";"12.459113";"10.890791";" 9.048187";"12.008488";"16.519082";"17.321230";"14.207237";"14.927335";" 9.581410";" 7.922477";"13.924832";"12.518970";"11.008878";"12.138308";" 7.872537";" 6.831530";"12.101674";" 9.525385";" 7.223138";"12.848255";"10.583066";" 5.072199";"13.146518";"12.306574";"11.262748";"10.248156";"12.272065";" 8.580106";"10.635695";" 9.137931";" 9.963325";"13.720999";" 8.501470";"10.810647";" 3.642864";"10.186710";" 4.582950";"10.610422";" 8.220192";" 3.273864";"15.906913";" 9.268964";" 7.950888";" 9.372749";" 9.621884";" 8.934560"
"7am";"44.550552";"35.704994";"28.099336";"15.352009";"34.209385";"39.235198";"17.888811";"10.590829";"30.649676";" 9.849913";"11.123289";"10.023943";"17.854618";" 9.791671";"14.730114";" 7.679335";"29.367605";"20.171392";"25.276168";"10.809545";"21.928368";"46.489271";"28.618081";"15.103103";"65.495795";"20.783037";"13.299873";"23.386441";"12.303143";"11.996284";"11.934914";" 5.516023";"17.272606";" 6.340891";" 9.258671";"12.098400";" 7.085846";"12.025997";"17.428735";"16.577081";"11.477483";"14.253171";" 6.275551";" 8.878536";"10.786208";" 6.153126";" 8.505045";"12.038161";" 4.371202";" 7.461425";" 7.475560";" 7.604731";" 3.925738";" 5.588966";" 8.596998";" 4.553259";"11.706834";"11.625777";" 8.342024";"21.542832";" 8.528319";" 8.018924";" 7.915609";" 5.180001";" 6.461330";"10.731415";" 5.424789";" 8.215527";" 3.061401";"12.041714";" 3.909595";" 8.343015";" 6.980957";" 5.408845";"18.136741";" 8.407878";" 7.251358";"12.807739";"11.517992";" 8.422800"
"8am";"41.843346";"31.198503";"22.784145";"14.328678";"36.498815";"41.455220";"20.556631";" 9.166660";"30.366730";" 9.068478";"12.599544";" 9.251319";"16.415850";"11.626901";"16.515262";"10.216682";"28.705392";"16.437099";"21.894347";"10.409366";"20.387784";"40.884055";"27.363393";"13.812943";"59.695270";"19.986961";"13.924887";"25.177581";"11.815973";"22.662332";"10.766523";" 5.469738";"22.785817";" 5.117698";" 5.508436";" 8.726136";" 6.805408";" 8.230255";"12.508485";"18.480926";"10.836214";"15.739930";" 6.637978";"11.309111";"12.219358";" 7.251400";" 7.255198";"10.646568";" 1.035440";"11.109201";" 7.671909";"11.174969";" 2.459709";" 9.277745";" 8.374656";" 5.233275";"11.851766";"10.574988";" 8.109625";"22.739577";" 8.877736";" 4.301609";" 5.305408";" 4.190785";" 9.261228";" 9.639859";" 3.740083";" 8.813625";" 1.946111";"12.097064";" 3.961264";" 9.536022";" 6.347279";" 5.833608";"17.963626";" 8.204698";" 8.495508";"13.030369";"13.494485";" 7.361901"
"9am";"40.683362";"25.242176";"23.583057";"14.040810";"36.774756";"39.346068";"19.764387";" 8.255775";"29.387583";" 9.764204";"11.300734";" 9.749831";"12.144482";" 9.930948";"19.200016";"12.010791";"28.419192";"14.963431";"23.278036";" 6.073581";"16.859582";"36.670842";"27.422784";"15.255030";"61.804693";"12.802097";"11.557930";"23.214530";"10.617085";"24.957563";"12.643473";" 4.880213";"20.388906";" 5.202139";" 7.161240";" 5.025866";" 5.575129";" 6.795114";"13.127441";"17.724067";" 9.633322";"16.019609";" 6.683538";"10.065222";"11.659119";" 7.871729";" 8.211435";" 6.127548";" 1.131245";"10.563994";" 8.255933";"11.146827";" 5.684855";" 9.087212";" 4.096812";" 6.698372";" 9.498895";"10.693664";" 7.635674";"23.139295";" 9.458125";" 4.728977";" 6.266723";" 3.124101";" 9.268270";"10.076134";" 4.483881";" 8.974319";" 2.346575";"12.048231";" 4.193062";" 9.191024";" 6.006159";" 6.457228";"16.868794";" 8.465169";" 8.995444";"12.824185";"13.981698";" 6.308118"
"10am";"39.797751";"22.021021";"22.089735";"12.786734";"39.748053";"35.635929";"20.220290";" 6.853730";"28.523250";" 7.743457";"11.037311";" 9.685969";"12.048384";"10.799079";"18.268291";"12.314987";"26.175055";"17.405078";"22.398045";"10.080371";"17.411193";"34.710389";"25.022120";"16.848848";"64.964040";" 7.835792";"11.717220";"23.024093";"11.744171";"24.778887";"10.609476";" 5.696353";"19.842886";" 4.281255";" 8.837165";" 4.152141";" 6.461931";" 8.502267";"13.358127";"16.651695";" 9.482312";"16.341990";" 6.872225";" 9.000746";"13.214136";" 8.003522";" 7.425351";" 4.778328";" 2.704611";" 9.472218";" 6.916994";"11.801784";" 5.886069";" 8.275464";" 4.293967";" 8.080524";" 8.229621";" 9.840505";" 8.076393";"22.399836";" 9.152285";" 4.778544";" 6.362200";" 4.004959";"10.492080";" 9.502423";" 4.546572";" 7.856125";" 2.209254";"12.136233";" 4.213354";" 9.555467";" 6.744372";" 6.367586";"16.867512";" 8.757909";" 9.216122";"11.705833";"14.481949";" 6.085231"
"11am";"40.235874";"25.499659";"21.567858";"14.245129";"36.181960";"34.189031";"18.908154";" 7.529362";"28.603356";" 7.091346";"12.047207";"11.294701";"10.894714";"10.505891";"17.933332";"10.963099";"27.724755";"16.434690";"25.019193";"10.178528";"19.512040";"37.809373";"24.932593";"17.440202";"61.349175";"10.028047";"12.016913";"23.042890";"10.277671";"27.038749";" 9.776263";" 6.252680";"19.715154";" 4.590278";" 9.620082";" 4.169089";" 6.238934";" 9.717597";"11.228162";"16.402379";" 9.317834";"16.019896";" 7.821288";"10.163376";"10.867518";"10.067566";" 8.545500";" 5.720217";" 1.152418";"10.653956";" 8.419229";"12.103987";" 5.710258";" 8.157198";" 5.859998";" 8.128072";" 6.055338";"10.459473";" 7.719258";"24.183811";" 8.443257";" 4.433601";" 5.786209";" 3.877457";"10.910537";" 8.098326";" 4.821728";" 7.732704";" 3.411041";"11.850600";" 3.724589";" 9.558390";" 8.982485";" 5.320444";"17.244047";" 8.937992";" 8.530850";"13.062376";"14.563151";" 6.204970"
