"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453";"14396.00453"
"4am";"2628.3926";"1546.9752";"3515.6301";" 984.9709";"1601.5533";"4695.0568";"1795.5000";" 361.9937";"1333.5817";" 862.2324";"1062.1217";"1261.4112";"1186.5264";"1550.9076";" 756.8352";" 575.9936";"1401.1115";"3011.9515";"1107.8993";"1571.2228";"1309.9486";"8262.1882";"1589.9529";"1229.1508";"3881.0012";"2072.1567";" 737.1324";"2625.5887";"1044.1137";" 641.2259";"1117.1312";" 808.7825";"1421.7996";" 186.4259";" 931.4228";" 749.5724";"1011.2314";" 677.4090";" 888.3407";"1895.6790";" 835.3807";" 542.6183";" 727.0772";" 366.4751";" 837.9091";" 881.9431";" 765.3566";" 950.7440";" 471.5884";" 207.7762";" 429.4073";" 768.2705";" 768.5150";" 940.7643";" 625.6044";" 367.4357";" 540.1866";" 966.9428";"1570.6417";" 688.3665";"1125.8654";"1088.9889";" 440.8646";" 771.9691";" 881.1907";" 998.7870";"1107.3974";" 841.7104";" 262.8693";"1194.2794";" 638.3574";" 771.1008";"1354.3275";" 333.1805";"1887.8397";" 693.0254";" 701.3051";" 963.0802";"1030.0045";" 657.3789"
"5am";"2590.9322";"1546.9752";"3606.3478";" 984.9709";"1601.5533";"4695.0568";"1795.5000";" 361.9937";"1557.5615";" 862.2324";"1062.1217";"1201.4926";"1246.4451";"1550.9076";" 756.8352";" 575.9936";"1401.1115";"3011.9515";"1107.8993";"1571.2228";"1309.9486";"8262.1882";"1589.9529";"1138.4331";"3881.0012";"2072.1567";" 737.1324";"2663.0491";"1102.0672";" 641.2259";"1117.1312";" 808.7825";"1421.7996";" 186.4259";" 931.4228";" 749.5724";"1011.2314";" 677.4090";" 888.3407";"1895.6790";" 835.3807";" 542.6183";" 727.0772";" 366.4751";" 837.9091";" 881.9431";" 765.3566";" 950.7440";" 509.8308";" 207.7762";" 429.4073";" 768.2705";" 768.5150";" 940.7643";" 625.6044";" 367.4357";" 540.1866";" 966.9428";"1570.6417";" 688.3665";"1125.8654";" 947.3170";" 402.6221";" 771.9691";" 881.1907";" 998.7870";"1027.3008";" 841.7104";" 262.8693";"1194.2794";" 638.3574";" 771.1008";"1130.3477";" 333.1805";"1967.9363";" 693.0254";" 701.3051";" 963.0802";"1030.0045";" 657.3789"
"6am";"2590.9322";"1546.9752";"3606.3478";" 984.9709";"1601.5533";"4517.3867";"1795.5000";" 361.9937";"1557.5615";" 830.5495";"1062.1217";"1201.4926";"1318.7102";"1598.6546";" 756.8352";" 575.9936";"1401.1115";"2916.0407";"1085.4899";"1499.3658";"1309.9486";"8583.4023";"1551.9884";" 971.3661";"3881.0012";"2072.1567";" 872.1084";"2663.0491";"1063.5112";" 641.2259";"1117.1312";" 686.3127";"1421.7996";" 186.4259";" 931.4228";" 717.1895";" 775.1978";" 677.4090";" 831.3050";"1895.6790";" 835.3807";" 542.6183";" 654.8120";" 366.4751";" 837.9091";" 740.9540";" 725.1631";" 665.9872";" 406.0881";" 207.7762";" 390.2538";" 518.7169";" 511.9894";" 896.4423";" 505.5831";" 367.4357";" 506.3147";" 892.6627";"1215.9973";" 688.3665";"1163.9111";" 780.7598";" 375.5035";" 676.9393";" 745.4239";" 955.4174";" 911.8499";" 841.7104";" 159.0151";"1194.2794";" 451.3366";" 771.1008";" 975.1161";" 333.1805";"1967.9363";" 534.8555";" 701.3051";" 859.6013";"1030.0045";" 657.3789"
"7am";"3215.6998";"1327.2775";"3713.8993";" 795.0776";"1898.2485";"4513.7915";"1162.4683";" 299.3811";"3675.6670";" 528.0958";" 873.4559";" 772.2300";"1295.8886";" 824.2237";" 564.1241";" 358.4925";"2344.1843";"2102.8446";"1782.0213";" 668.0332";"1010.8076";"7182.7788";"2208.9719";" 900.6110";"8145.3249";"1402.4042";" 957.0777";"2323.5491";" 892.3616";" 598.9707";" 822.8515";" 457.1100";"1777.6772";" 171.2871";" 754.3140";" 728.2659";" 568.7432";" 525.9427";" 757.1057";"1649.8372";" 602.1399";" 429.3710";" 415.4991";" 365.2209";" 569.7657";" 293.7809";" 518.9279";" 611.5696";" 191.1544";" 196.6339";" 202.9903";" 330.9427";" 211.3571";" 330.4976";" 369.3280";" 306.9138";" 359.6123";" 762.2742";" 883.6933";"1625.2763";" 687.7458";" 585.1404";" 239.6549";" 319.3682";" 452.8287";" 611.3431";" 494.9684";" 602.8566";" 121.7099";"1259.8967";" 365.9167";" 528.3719";" 867.2290";" 553.1710";"2327.0377";" 489.7050";" 543.8690";"1183.2423";"1214.3310";" 558.7234"
"8am";" 3659.41914";" 1424.92336";" 3090.85173";"  695.83769";" 2012.05452";" 4408.10848";" 1118.28660";"  232.08711";" 4405.98570";"  487.44726";" 1091.68566";"  591.56393";" 1282.60568";"  959.67370";"  559.17683";"  410.34291";" 2544.31427";" 1679.01484";" 2209.25812";"  606.56933";"  701.33036";" 6714.68264";" 2675.26078";"  788.34909";"10124.24190";" 1125.21266";" 1646.34436";" 3014.51740";"  920.00917";" 1157.73431";"  656.72469";"  522.37712";" 2195.51809";"  171.28710";"  447.12685";"  440.44011";"  487.34253";"  328.64770";"  445.44109";" 2107.23846";"  532.61466";"  422.72526";"  467.52008";"  527.12250";"  511.52759";"  293.78093";"  441.11843";"  468.75874";"   38.24246";"  228.65512";"  170.07550";"  432.75208";"  112.25310";"  491.51053";"  320.75836";"  347.40112";"  336.41483";"  566.09549";"  830.39293";" 1712.16910";"  611.28471";"  252.02602";"  125.93356";"  206.84452";"  585.95671";"  521.85506";"  278.01863";"  602.85660";"   75.64071";" 1174.48989";"  365.91675";"  616.15592";"  780.92273";"  597.61109";" 2450.89034";"  444.55442";"  543.86900";" 1330.03265";" 1412.85669";"  422.34432"
"9am";" 4445.82388";" 1526.72301";" 3270.94923";"  611.61661";" 1944.47984";" 4210.46212";" 1016.86339";"  195.73149";" 4497.23468";"  535.18728";" 1019.22831";"  591.56393";"  949.87689";"  799.06407";"  539.26725";"  441.67535";" 2797.30594";" 1493.55526";" 2474.22369";"  290.00372";"  531.33874";" 5906.25699";" 2893.46678";"  943.13322";"12588.02663";"  740.27297";" 1470.50197";" 3232.91545";"  841.89156";" 1175.56657";"  725.00158";"  522.37712";" 2207.01402";"  171.28710";"  617.20276";"  239.80565";"  406.69167";"  287.36009";"  428.15895";" 2125.19735";"  506.25354";"  388.68521";"  467.52008";"  450.94324";"  438.37978";"  293.78093";"  533.01934";"  240.65068";"   38.24246";"  192.86460";"  170.07550";"  432.75208";"  224.50620";"  491.51053";"  135.56337";"  445.10071";"  260.62619";"  448.59653";"  830.39293";" 1712.16910";"  611.28471";"  252.02602";"  125.93356";"  143.23155";"  585.95671";"  521.85506";"  320.19109";"  602.85660";"   75.64071";" 1209.82326";"  365.91675";"  616.15592";"  780.92273";"  597.61109";" 2450.89034";"  444.55442";"  543.86900";" 1378.16241";" 1483.63462";"  375.36760"
"10am";" 4480.07840";" 1587.57842";" 3059.09432";"  484.00883";" 2106.48372";" 3892.19824";"  979.40299";"  139.79106";" 4556.32990";"  377.19904";"  954.62504";"  619.59225";"  904.96849";"  839.70142";"  539.26725";"  470.95196";" 2678.06087";" 1510.25602";" 2402.97407";"  504.07001";"  557.57054";" 5542.42996";" 2696.30161";"  917.63971";"14396.00453";"  403.49227";" 1512.60542";" 3248.95071";"  860.82659";" 1187.09883";"  598.14732";"  617.95466";" 2254.92050";"  143.25878";"  757.47962";"  187.67780";"  453.76480";"  339.48794";"  428.15895";" 2087.58834";"  506.25354";"  466.51410";"  523.71833";"  402.58972";"  530.50631";"  305.64151";"  482.40604";"  174.19694";"   88.85576";"  169.57620";"  137.16070";"  432.75208";"  224.50620";"  398.68947";"  135.56337";"  513.37760";"  212.90978";"  448.59653";"  830.39293";" 1712.16910";"  611.28471";"  252.02602";"  125.93356";"  176.76556";"  629.26814";"  471.48288";"  320.19109";"  533.84793";"   75.64071";" 1278.83193";"  365.91675";"  616.15592";"  875.12216";"  597.61109";" 2380.64512";"  444.55442";"  543.86900";" 1334.85098";" 1534.00680";"  375.36760"
"11am";" 4621.93000";" 1981.18219";" 2805.16417";"  568.68314";" 2047.81504";" 3937.04422";"  999.63263";"  150.75773";" 4513.92476";"  377.19904";"  944.90656";"  730.46093";"  758.92527";"  839.70142";"  571.35834";"  432.44053";" 2647.69763";" 1465.42665";" 2516.76564";"  608.64403";"  665.84629";" 6040.80402";" 2631.85069";"  968.60876";"12592.42608";"  507.76233";" 1491.54941";" 3059.55391";"  755.32124";" 1165.06756";"  598.14732";"  617.95466";" 2264.92819";"  143.25878";"  850.01897";"  187.67780";"  453.76480";"  380.77555";"  379.33978";" 1992.48775";"  506.25354";"  466.51410";"  559.50188";"  500.28931";"  429.83524";"  394.53533";"  601.08343";"  210.92470";"   38.24246";"  205.36672";"  176.31426";"  432.75208";"  252.69668";"  398.68947";"  184.13305";"  548.71097";"  169.80005";"  519.02236";"  723.96975";" 1748.16645";"  611.28471";"  252.02602";"  125.93356";"  176.76556";"  629.26814";"  425.46182";"  320.19109";"  533.84793";"  112.94592";" 1243.49856";"  333.53378";"  616.15592";" 1092.75769";"  560.30588";" 2380.64512";"  444.55442";"  543.86900";" 1431.24422";" 1483.63462";"  375.36760"
