"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432";"70.2078610702432"
"4am";"26.44528";"36.41971";"28.16970";"31.13974";"28.91371";"25.57802";"27.69291";"26.47588";"30.78475";"34.89783";"30.51015";"27.72028";"27.82749";"27.10863";"29.39075";"32.07319";"21.54259";"19.65870";"35.08408";"21.79089";"34.86874";"14.04145";"34.11600";"18.46823";"20.64360";"19.36412";"27.35050";"41.43111";"34.41372";"30.76934";"38.27351";"37.95652";"33.63580";"36.55152";"33.48898";"37.85294";"32.50479";"42.33682";"39.02198";"29.86783";"28.50215";"34.98157";"32.31994";"28.62709";"29.97143";"34.89591";"29.80077";"29.69853";"40.14908";"35.94155";"24.13994";"26.55980";"29.68000";"29.55140";"32.41864";"39.61192";"32.77668";"21.99018";"24.29512";"34.40382";"32.98420";"25.66999";"35.98233";"32.38362";"26.68846";"25.67537";"37.23576";"37.06989";"37.48765";"32.70149";"20.33668";"23.16931";"25.95816";"25.37845";"22.28111";"27.34306";"39.66330";"29.78887";"25.51268";"30.17037"
"5am";"28.40173";"37.35024";"27.65602";"31.33926";"28.91371";"25.57802";"27.58334";"26.60780";"29.91427";"35.75356";"30.06222";"27.25748";"28.62100";"26.95555";"29.68637";"31.63782";"21.35426";"20.00287";"35.08408";"19.63347";"35.13455";"14.45265";"31.73231";"18.54912";"20.36128";"19.36412";"26.89530";"42.87357";"33.78747";"30.76934";"37.84838";"37.83877";"33.50396";"35.27421";"34.15666";"37.45088";"31.73808";"41.20149";"38.45151";"31.09020";"28.50215";"34.87398";"32.17192";"28.77012";"29.57783";"34.32811";"30.46041";"29.69853";"40.08254";"35.56178";"24.85058";"26.03433";"29.68000";"29.08915";"33.10907";"38.65022";"34.41188";"22.57201";"25.32337";"32.73162";"32.48741";"27.02843";"35.01383";"32.38362";"26.88506";"25.67537";"36.90715";"36.12442";"37.79048";"31.66884";"20.13762";"24.74686";"25.90026";"26.06154";"22.85151";"27.49746";"39.88498";"29.18138";"25.51268";"29.05129"
"6am";"29.31858";"37.15956";"27.04640";"31.84685";"29.29210";"27.03080";"28.12887";"26.93815";"31.03439";"35.68048";"28.47331";"27.63338";"27.93695";"27.53538";"29.89547";"30.45555";"19.79883";"20.69818";"34.05264";"20.36096";"33.59519";"13.63324";"32.07920";"19.15979";"20.66297";"18.95584";"26.48014";"41.55132";"32.04543";"33.03483";"38.56914";"35.82184";"32.99602";"34.35683";"34.47425";"37.46210";"31.32916";"39.73995";"39.41923";"31.12551";"27.72555";"35.21638";"29.91735";"32.53304";"28.78724";"35.28947";"29.93672";"30.69294";"38.54147";"35.95383";"25.09543";"24.83770";"28.55465";"29.31554";"32.44173";"38.65022";"35.63895";"22.88264";"27.62477";"31.86973";"32.67757";"27.14181";"35.37839";"33.09446";"29.08706";"26.09764";"37.73876";"36.95349";"38.39083";"30.69746";"19.22115";"26.41322";"26.57286";"25.93636";"22.69220";"29.43364";"37.43034";"30.64582";"25.62027";"29.20273"
"7am";"29.63656";"41.27343";"29.31329";"34.29969";"29.74771";"29.11799";"30.12856";"30.88265";"33.17450";"33.26115";"32.79562";"27.60766";"31.38221";"27.46883";"31.63822";"27.25963";"18.32026";"21.36027";"31.97438";"21.36903";"31.62199";"16.21072";"33.39982";"20.46401";"18.57193";"22.29856";"28.07227";"39.99389";"31.68257";"31.26978";"36.88040";"42.62026";"32.94181";"30.44019";"34.16621";"35.66884";"27.06663";"39.71313";"40.84193";"33.17038";"29.42872";"34.86817";"30.33816";"26.47280";"28.83030";"36.75744";"33.90640";"26.72165";"33.41715";"34.84109";"20.82845";"21.02393";"25.24878";"29.78385";"37.58832";"38.13941";"34.14619";"21.47318";"26.58151";"31.15299";"34.91569";"24.39066";"37.65081";"33.77930";"28.75263";"22.28762";"34.87810";"36.25423";"35.91808";"30.18392";"18.28232";"28.02452";"28.34217";"25.21022";"20.90647";"28.92444";"33.05887";"30.20876";"25.89462";"27.96865"
"8am";"27.93953";"39.99802";"32.63081";"34.95170";"30.01271";"29.73305";"34.69897";"31.30445";"34.60834";"29.22800";"33.18469";"27.43285";"34.23025";"29.23555";"34.86359";"26.41636";"22.37977";"25.37312";"29.87617";"19.65215";"30.61556";"25.76744";"31.64427";"24.55313";"14.11061";"23.50020";"29.62237";"41.23434";"30.23811";"29.92180";"33.57262";"46.30483";"38.06284";"33.73585";"30.73362";"36.82378";"25.95312";"35.58629";"34.58081";"33.31034";"29.01097";"36.55189";"34.33113";"27.00746";"26.14628";"36.10384";"37.97886";"27.86198";"31.23504";"31.00162";"23.12187";"28.30095";"22.87979";"26.88982";"37.59219";"35.05718";"32.21935";"19.08438";"27.76471";"27.38951";"35.72211";"25.87369";"40.27119";"30.12159";"30.06689";"27.70152";"32.87073";"34.13846";"34.47254";"27.71314";"18.83229";"30.97166";"30.54621";"24.42875";"20.98803";"26.74325";"30.20689";"28.54969";"28.22183";"26.18918"
"9am";"27.05111";"39.42917";"35.53603";"39.04798";"33.38239";"27.67067";"28.45520";"31.66086";"35.26934";"29.70157";"31.42049";"27.59145";"29.39638";"30.25380";"31.01039";"32.06419";"21.63612";"22.66455";"30.20837";"20.75510";"30.75116";"26.54764";"32.04013";"19.98127";"16.89099";"23.91075";"29.18973";"41.04152";"31.07413";"25.12730";"33.35380";"44.93154";"33.54463";"34.88164";"30.84008";"34.51913";"23.26498";"33.41788";"34.37048";"32.53754";"26.36810";"46.35901";"33.73182";"21.01224";"28.10490";"35.72444";"37.26789";"32.49612";"29.31722";"31.52236";"23.50808";"27.82353";"24.99605";"28.12300";"33.11338";"35.55611";"28.42716";"20.95662";"28.30493";"24.92008";"36.25952";"24.16496";"44.78907";"29.01746";"31.11733";"27.36968";"31.64456";"34.32073";"28.96128";"28.84808";"17.17935";"31.52505";"28.89338";"25.24731";"23.02375";"26.44393";"28.88426";"29.93182";"29.29336";"31.78346"
"10am";"29.73093";"40.04220";"34.06748";"33.46543";"35.22689";"30.56523";"33.47208";"29.92217";"35.46985";"25.68225";"32.30267";"26.27586";"29.59950";"29.76035";"31.96719";"33.54813";"21.07299";"21.37703";"29.31279";"23.99378";"32.74187";"24.66513";"33.39659";"18.81101";"17.01471";"23.32241";"30.58093";"39.56979";"31.69257";"28.02804";"33.53682";"41.41733";"32.43792";"32.32147";"31.73895";"36.35988";"23.31654";"33.82215";"31.01670";"34.48082";"23.66771";"44.75281";"36.90647";"20.11915";"29.09855";"38.14918";"37.73377";"29.02435";"28.91851";"34.31010";"20.27049";"27.96199";"26.45544";"31.40047";"33.45506";"36.92435";"30.33988";"21.29578";"26.32898";"24.15667";"30.56693";"24.96709";"40.59732";"28.56465";"26.18289";"27.72885";"29.16871";"31.80769";"27.89629";"28.16489";"17.78702";"34.14762";"29.53290";"25.11091";"22.90265";"26.93482";"27.68683";"31.04471";"28.48423";"32.42621"
"11am";"30.81946";"41.78964";"34.48460";"32.14574";"34.37004";"28.48987";"30.36705";"31.28638";"36.87830";"28.76678";"34.09943";"27.72943";"29.99979";"29.75292";"35.41185";"27.41283";"22.98225";"19.63277";"32.67224";"21.34075";"35.40184";"25.71016";"31.26839";"16.78933";"15.98994";"21.03312";"30.79220";"40.81968";"29.27246";"26.67253";"32.70741";"43.58137";"35.79624";"30.56934";"34.25524";"36.88548";"22.13083";"36.81401";"31.87538";"33.27016";"22.98601";"36.78202";"34.70125";"23.24837";"30.19745";"36.86493";"36.10165";"30.81184";"31.25233";"33.32040";"21.26454";"28.21326";"29.02045";"33.44677";"31.39228";"36.38079";"34.21390";"19.08853";"27.17792";"24.30014";"31.87753";"25.88291";"38.32843";"26.95989";"27.40292";"25.20717";"28.11838";"31.92806";"27.91530";"24.80424";"20.26330";"33.77497";"30.91534";"24.25668";"22.63341";"27.47087";"29.77446";"31.81110";"29.79664";"30.51585"
