"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627";"4684.19627"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"7am";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 807.3808";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 620.5639";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1675.8432";"   0.0000";"   0.0000";" 898.2534";"   0.0000";" 683.7232";" 605.5800";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"1340.7397";"   0.0000";"1571.1826";"   0.0000";"   0.0000";"1073.1050";"   0.0000";"   0.0000";"2265.6319";"   0.0000";" 935.7286";"   0.0000";" 956.3241";" 678.9271";"   0.0000";"   0.0000";"1277.9870";"1069.6287";"2165.3061";"   0.0000";"   0.0000";"3389.8507";"1889.9000";"   0.0000";"2755.6046";"   0.0000";"3512.7068";"1830.4284";"1524.8461";"   0.0000";"   0.0000";" 664.9639";"   0.0000";"   0.0000";"1039.0247";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1062.4078";"   0.0000";"   0.0000";" 980.0185";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 549.0021";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 864.0987";"   0.0000";"   0.0000";" 834.2030";"   0.0000";"   0.0000"
"9am";"2392.5840";"1317.9016";"2025.8327";"   0.0000";"   0.0000";"1592.5177";"   0.0000";"   0.0000";"2514.8765";"   0.0000";"1313.5118";"   0.0000";"1129.8995";" 822.7034";"   0.0000";"   0.0000";"1489.9278";"1303.9445";"2464.5766";"   0.0000";"   0.0000";"4077.7854";"2500.8846";"   0.0000";"3106.3196";"1101.2603";"4684.1963";"2628.1053";"1691.2389";"   0.0000";"   0.0000";"1407.2497";" 954.6178";"   0.0000";"1210.8599";"   0.0000";" 654.3990";" 632.4326";" 636.0414";"1333.9354";" 871.4290";"   0.0000";"1116.2974";"   0.0000";"   0.0000";"   0.0000";" 810.3263";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 686.3369";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1152.3193";"   0.0000";"   0.0000";"1144.4469";"   0.0000";"   0.0000"
"10am";"2318.4820";"1687.9957";"1955.3201";"   0.0000";"   0.0000";"1793.1299";"   0.0000";"   0.0000";"2851.0264";" 833.0337";"1296.4842";"   0.0000";"1146.5849";" 788.2608";"   0.0000";"   0.0000";"1471.0255";"1138.6272";"2430.8005";"   0.0000";"   0.0000";"4197.4686";"2578.3532";"   0.0000";"3086.0004";"1203.7576";"4593.2772";"3032.2498";"1636.9729";"   0.0000";"   0.0000";"1590.3339";"1124.9406";" 747.0184";"1222.8362";"   0.0000";"   0.0000";" 543.9429";" 636.0414";"1536.6818";" 996.0604";"   0.0000";"1058.5148";"   0.0000";"   0.0000";"   0.0000";" 749.1229";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 764.8039";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1059.1360";"   0.0000";"   0.0000";"1116.7275";"   0.0000";"   0.0000"
"11am";"2306.2779";"1530.8296";"1581.1197";"   0.0000";"   0.0000";"1859.4233";" 594.3514";"   0.0000";"3170.4549";" 848.2003";"1060.7265";"   0.0000";"1099.7015";" 642.3971";"   0.0000";"   0.0000";"1420.0311";"1133.4090";"2398.3599";"   0.0000";"   0.0000";"4134.9654";"2526.2348";"   0.0000";"3292.6829";"1065.8245";"4421.0261";"2742.1211";"1723.7424";"   0.0000";"   0.0000";"1183.9246";"1003.0515";" 705.1452";"1401.4468";"   0.0000";"   0.0000";"   0.0000";" 714.7408";"1830.9956";"1047.4957";"   0.0000";"1061.0974";"   0.0000";"   0.0000";"   0.0000";" 831.3550";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 596.4086";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1170.1267";"   0.0000";"   0.0000";" 986.0146";"   0.0000";"   0.0000"
