"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108";"4455.75108"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";"0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"7am";"  0.0000";"  0.0000";"690.0499";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"949.9721";"  0.0000";"575.5405";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"961.6601";"838.3509";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"894.9086";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"8am";"   0.0000";" 718.9035";"1335.0783";"   0.0000";"   0.0000";" 641.4755";"   0.0000";"   0.0000";"1842.4772";"   0.0000";"1150.5316";"   0.0000";" 750.1622";" 875.1082";"   0.0000";"   0.0000";" 550.1357";" 655.9080";"1235.5929";"   0.0000";"   0.0000";"1537.5519";"1562.8277";"   0.0000";" 708.3687";"   0.0000";"1165.2819";"2225.1478";"   0.0000";" 649.8619";"   0.0000";"   0.0000";" 937.7289";"   0.0000";" 657.6416";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 860.7787";"   0.0000";"   0.0000";" 630.9929";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 915.8444";"   0.0000";"   0.0000"
"9am";" 842.4655";"1074.4283";"2123.3557";"   0.0000";"   0.0000";" 711.5387";" 669.3328";"   0.0000";"2440.3825";" 743.8534";"1620.9907";"   0.0000";" 977.8879";"1148.8879";"   0.0000";"   0.0000";" 719.1475";" 721.5474";"1174.6138";"   0.0000";"   0.0000";"1935.6413";"1601.0830";"   0.0000";" 913.3434";"   0.0000";"1405.1311";"2792.8888";" 731.2819";"   0.0000";"   0.0000";"1466.3769";"1382.3715";"   0.0000";"1068.0180";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1067.4530";"   0.0000";"   0.0000";"1011.2779";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1046.7327";" 841.1260";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 663.1780";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1218.8997";"   0.0000";"   0.0000";"1234.2752";"   0.0000";"   0.0000"
"10am";" 821.5555";"1125.4256";"2166.9909";"   0.0000";"   0.0000";" 843.1082";" 773.4809";"   0.0000";"2783.9689";"   0.0000";"1868.4534";"   0.0000";" 956.4114";"1138.8782";"   0.0000";"   0.0000";"1058.1998";" 753.4353";"1138.6200";"   0.0000";"   0.0000";"2091.7705";"1628.0665";" 626.6598";" 918.8791";"   0.0000";"1436.5615";"2961.3167";" 668.6481";"   0.0000";"   0.0000";"1300.5203";"1486.7569";" 771.4608";"1106.1239";" 492.0540";"   0.0000";"   0.0000";"   0.0000";"1169.6009";"   0.0000";"   0.0000";"1179.7904";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 808.1557";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 699.4974";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1263.6619";"   0.0000";"   0.0000";"1175.3919";"   0.0000";"   0.0000"
"11am";" 931.5323";"1388.6827";"1559.8274";"   0.0000";"   0.0000";"1068.2117";" 806.6002";"   0.0000";"2550.8891";"   0.0000";"1391.9926";"   0.0000";"1058.9919";"1067.3420";"   0.0000";"   0.0000";" 769.5159";" 691.7927";"1163.0712";"   0.0000";"   0.0000";"2061.1327";"1624.3730";"   0.0000";" 965.8889";"   0.0000";"1250.7133";"2619.7956";"   0.0000";"   0.0000";"   0.0000";"1267.3943";"1427.9681";"   0.0000";"1044.0874";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 966.6663";"   0.0000";"   0.0000";" 725.5485";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 684.7098";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 741.0188";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1006.2544";"   0.0000";"   0.0000"
