"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154";"56.2237583295154"
"4am";"29.172923";"45.986701";"30.234850";"30.610340";"35.577734";"37.834100";"36.464967";"32.491208";"38.799032";"27.683028";"32.565563";"30.059319";"30.670626";"33.572781";"36.276514";"24.133487";"27.813216";"19.891204";"18.289356";" 9.436787";"29.783126";"32.896986";"31.485637";"18.699390";"27.589026";"29.157104";"29.313862";"36.716649";"30.824897";"28.478649";"32.665755";"30.581896";"25.648625";"25.407264";"27.730189";"29.076281";"26.858498";"41.425192";"31.180594";"33.242099";"27.358257";"28.844288";"33.962358";"29.326994";"31.868647";"27.221355";"37.081768";"31.253355";"37.721471";"32.241184";"26.213850";"37.352770";"31.102872";"26.834257";"22.706581";"34.878562";"31.617431";"29.782398";"26.119691";"19.546264";"32.013399";"41.303832";"33.752184";"38.367165";"38.811325";"43.722705";"37.139468";"34.721612";"39.134007";"37.167351";"21.514834";"25.049798";"26.101668";"23.211227";"21.950167";"37.545287";"28.690008";"25.019812";"21.968127";"18.331712"
"5am";"32.129504";"45.303588";"29.680041";"30.166711";"35.577734";"37.834100";"36.718694";"32.652274";"38.287448";"27.620172";"32.771232";"30.570194";"30.053420";"33.514925";"35.635563";"24.651970";"26.603652";"20.239444";"18.289356";" 8.813505";"30.010168";"32.836236";"30.686453";"18.780775";"27.211717";"29.157104";"28.896849";"36.225822";"31.069004";"28.478649";"32.159365";"31.495612";"25.940054";"24.272315";"27.424574";"28.767446";"26.384220";"40.284905";"32.390733";"33.027865";"27.358257";"29.226564";"33.806815";"29.473518";"32.335649";"26.778430";"36.864793";"31.253355";"36.793967";"32.432329";"26.154692";"36.335217";"31.102872";"27.185494";"22.417135";"34.619759";"33.290591";"29.831498";"26.621635";"19.937779";"31.501086";"39.852644";"33.839248";"38.367165";"39.097229";"43.722705";"38.308263";"35.683554";"37.526329";"36.506067";"21.919373";"25.089745";"26.043451";"23.835982";"21.828198";"37.757299";"28.291440";"24.373197";"21.968127";"18.620251"
"6am";"32.169736";"45.231721";"29.280127";"29.038170";"36.299915";"38.822900";"36.859939";"33.055574";"39.742616";"28.007305";"31.485373";"30.996383";"30.931899";"33.175991";"36.043254";"26.236381";"25.937242";"20.539784";"20.008278";" 9.149953";"30.300838";"37.331406";"31.514050";"19.395048";"26.136027";"28.085204";"26.659500";"36.358192";"29.536001";"29.097448";"31.973285";"28.634047";"25.950211";"23.883051";"26.576813";"28.362341";"25.249033";"38.667014";"32.255568";"33.065382";"25.745444";"29.160419";"31.991638";"32.626551";"32.498680";"26.546112";"36.025290";"30.605673";"38.504681";"33.542416";"25.783293";"36.368321";"31.949751";"27.620718";"22.972329";"34.619759";"31.684461";"29.429521";"28.147095";"20.186708";"32.364124";"39.513902";"32.004125";"40.225961";"39.094991";"44.129965";"38.424846";"35.586077";"37.570421";"36.351125";"23.847606";"22.656542";"27.585737";"23.273497";"20.266699";"37.576242";"29.300295";"23.705868";"21.582290";"19.936844"
"7am";"33.41803";"40.84801";"31.83776";"30.40536";"35.38875";"41.05530";"36.11999";"34.83821";"38.19767";"29.69831";"31.64771";"29.25009";"31.31556";"26.32490";"33.72407";"25.17346";"30.42243";"23.62256";"21.81264";"10.75133";"29.72226";"33.87041";"28.33265";"20.67571";"27.11365";"26.97998";"24.43993";"34.45454";"28.62594";"26.94558";"32.28447";"32.84970";"27.37223";"17.94782";"25.19082";"28.71387";"27.27302";"44.12610";"33.11615";"32.87278";"23.29428";"37.04234";"31.76664";"35.64501";"31.32612";"29.63206";"36.74113";"29.07401";"38.64722";"35.33628";"23.54337";"39.59256";"32.74642";"24.52898";"24.43139";"33.14659";"37.48189";"25.59249";"27.12292";"20.51389";"32.62006";"31.32255";"28.70197";"40.45438";"38.32626";"40.62236";"37.65175";"35.19172";"31.49289";"35.40828";"25.85357";"19.91260";"27.82237";"24.19509";"22.90724";"36.07320";"26.10147";"24.19487";"22.40157";"21.91227"
"8am";"32.89628";"36.56252";"28.45985";"26.56862";"30.51630";"43.57901";"34.59353";"33.37519";"39.82667";"25.38547";"33.69800";"27.56418";"30.25946";"26.57525";"36.39330";"28.35148";"30.35676";"24.56834";"25.13975";"17.12165";"25.31631";"35.11947";"25.12347";"26.06796";"27.96796";"24.03804";"28.55908";"27.75458";"30.33250";"28.78222";"30.98825";"32.70268";"23.36106";"25.14154";"34.03863";"27.49158";"27.75449";"42.90181";"29.29457";"33.25775";"28.65533";"42.26019";"31.41302";"33.56580";"30.32500";"24.65791";"36.55631";"26.79763";"35.15828";"36.56219";"25.00383";"35.46864";"28.51807";"27.45556";"23.01027";"32.51295";"35.97604";"21.30100";"28.75638";"19.49049";"37.56486";"27.70594";"35.19442";"45.29570";"35.58598";"38.26292";"37.37722";"33.96677";"32.50729";"34.05264";"30.38815";"20.25475";"28.84985";"25.74978";"23.98195";"34.92913";"27.66351";"22.73184";"21.54686";"21.06148"
"9am";"35.54827";"31.59515";"27.53053";"26.93047";"31.63528";"37.54172";"29.48693";"37.37576";"39.58795";"22.81728";"34.12998";"29.66648";"27.55626";"27.80599";"29.66026";"31.64120";"29.15604";"23.80990";"25.68283";"15.47217";"25.42605";"33.60147";"25.83128";"24.04168";"28.18767";"24.77381";"29.37532";"30.79895";"30.84983";"32.99855";"30.39559";"33.48051";"26.63042";"24.43708";"33.96468";"28.12568";"25.83413";"38.40732";"28.46513";"31.95234";"26.08185";"38.25651";"32.34456";"34.79181";"31.14753";"28.32349";"36.98047";"30.58375";"34.13152";"36.05743";"24.29162";"32.64913";"26.67581";"29.27079";"21.24664";"32.80335";"37.30491";"26.62255";"26.75783";"24.18107";"36.67954";"28.30837";"29.88457";"44.86311";"35.33510";"37.59991";"34.70316";"35.15931";"30.08750";"32.72925";"27.85127";"20.62245";"29.71737";"27.81315";"23.99334";"36.28685";"26.05025";"26.26670";"19.77575";"26.19018"
"10am";"35.57492";"39.77712";"28.12285";"32.06092";"27.11556";"40.59572";"29.83016";"37.36648";"36.33879";"22.42482";"30.24184";"28.55152";"28.40322";"29.82572";"26.69328";"31.04989";"28.03376";"23.81557";"25.85697";"17.54360";"30.90623";"34.06193";"27.85705";"20.73597";"27.16363";"24.63602";"29.41330";"31.80766";"31.82165";"33.79188";"29.62615";"32.40188";"27.65086";"24.82199";"30.42175";"26.82770";"27.33983";"38.84640";"24.46991";"34.65307";"23.71739";"34.06262";"30.28252";"36.47291";"30.45575";"27.91608";"36.59627";"30.13449";"33.94986";"35.26425";"25.87869";"29.92015";"30.16165";"28.65810";"26.94429";"30.38619";"34.49149";"24.90395";"29.13042";"24.24693";"34.44422";"28.31033";"32.97496";"43.27865";"30.50651";"38.81697";"32.90207";"35.82799";"29.31810";"33.81402";"24.13587";"25.97619";"29.16870";"27.56799";"24.03834";"34.82818";"23.72356";"27.44444";"20.55571";"27.02824"
"11am";"34.90745";"39.93397";"29.78916";"31.22166";"25.99189";"40.49068";"34.17460";"34.42956";"34.70876";"22.05784";"28.99528";"27.81241";"28.64520";"24.30308";"28.11070";"36.11316";"29.93425";"26.29369";"29.25954";"12.77296";"28.81474";"34.06140";"28.62685";"20.68158";"23.90818";"26.49449";"31.11457";"31.83462";"31.97381";"30.00886";"26.32110";"33.44039";"24.66546";"24.81563";"32.03322";"27.29300";"27.15851";"40.16566";"26.92198";"34.52805";"22.10304";"36.08750";"27.83092";"42.59655";"28.07770";"25.61214";"37.98951";"28.45526";"36.54400";"30.98980";"25.96145";"31.13548";"36.02227";"32.44000";"21.14589";"31.06549";"34.08257";"23.47482";"28.41084";"23.41383";"34.60554";"29.18153";"35.40958";"39.44462";"33.22106";"41.33500";"33.00957";"36.05667";"30.97116";"33.99552";"24.59617";"25.72913";"31.26621";"24.82447";"24.24996";"34.09656";"25.06645";"27.66848";"21.89521";"26.33501"
