"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671";"5307.16671"
"4am";"1157.9164";" 781.2387";"2965.3598";" 953.3972";"1319.3310";"2104.6855";"1993.9614";" 540.3558";"1856.5477";"1039.5294";" 557.0342";"1682.0808";"1414.0195";"1563.8299";"1092.8132";"1708.4031";"1743.1572";"1202.5623";" 458.7590";"   0.0000";" 974.3269";"1107.2633";"1054.8192";" 710.9686";" 969.2302";"2029.4986";"1344.0563";"1403.7318";"1537.1720";"1347.1362";"1724.0581";"1552.1669";"2734.8719";" 668.4671";"1634.9908";"1547.7860";"1976.1548";"1237.3639";"1359.9520";"2969.2772";"1915.3449";" 800.8458";"1663.3480";" 709.3115";"1009.2231";"1504.0386";"1254.7356";" 645.0910";" 918.4943";" 463.2852";"1027.8066";"1722.1450";"1685.0897";" 923.9771";"1167.9286";"1030.3138";"1087.9590";"1094.5133";"1338.2367";"1008.3836";"1686.2575";"2152.3682";" 975.6836";" 981.4341";" 970.6055";" 980.3921";"1433.4217";" 830.8973";" 655.4087";"1432.7659";" 583.5579";" 825.3735";"1193.3147";"1505.7895";"1621.1177";" 537.6553";"1694.4644";"1087.1909";"1400.6617";"1344.6694"
"5am";"1157.9164";" 781.2387";"3003.9594";" 953.3972";"1319.3310";"2104.6855";"1993.9614";" 540.3558";"1787.7995";"1000.9298";" 557.0342";"1682.0808";"1414.0195";"1563.8299";"1092.8132";"1708.4031";"1743.1572";"1202.5623";" 458.7590";"   0.0000";" 974.3269";"1107.2633";"1054.8192";" 710.9686";" 969.2302";"2029.4986";"1344.0563";"1403.7318";"1605.9202";"1347.1362";"1724.0581";"1587.6692";"2734.8719";" 668.4671";"1634.9908";"1547.7860";"1896.1071";"1237.3639";"1359.9520";"3049.3249";"1915.3449";" 800.8458";"1692.3858";" 709.3115";"1009.2231";"1591.8276";"1254.7356";" 645.0910";" 954.3609";" 463.2852";" 998.7688";"1722.1450";"1685.0897";" 923.9771";"1167.9286";"1030.3138";"1087.9590";"1023.1881";"1338.2367";"1008.3836";"1686.2575";"2152.3682";" 975.6836";" 981.4341";" 970.6055";" 980.3921";"1433.4217";" 830.8973";" 633.0398";"1432.7659";" 583.5579";" 825.3735";"1193.3147";"1418.0005";"1621.1177";" 537.6553";"1694.4644";"1087.1909";"1400.6617";"1344.6694"
"6am";"1157.9164";" 781.2387";"2965.3598";" 953.3972";"1319.3310";"2075.0490";"1945.1489";" 540.3558";"1823.6225";"1039.5294";" 557.0342";"1682.0808";"1328.7203";"1652.6955";"1092.8132";"1708.4031";"1743.1572";"1202.5623";" 458.7590";"   0.0000";" 902.1446";"1107.2633";"1023.0788";" 710.9686";"1061.5883";"1976.1717";"1372.6566";"1350.1691";"1506.2829";"1347.1362";"1796.2404";"1587.6692";"2561.6318";" 648.8970";"1634.9908";"1547.7860";"1896.1071";"1237.3639";"1359.9520";"2975.5506";"1870.0657";" 800.8458";"1721.7475";" 709.3115";"1009.2231";"1591.8276";"1208.0412";" 612.3142";" 954.3609";" 463.2852";" 998.7688";"1606.2211";"1636.0813";" 877.2435";"1167.9286";"1030.3138";"1087.9590";"1023.1881";"1274.0912";"1008.3836";"1686.2575";"2063.5026";" 975.6836";" 882.4372";"1130.9818";" 980.3921";"1433.4217";" 729.7851";" 633.0398";"1455.1348";" 583.5579";" 906.5282";"1061.2237";"1463.9216";"1539.9630";" 537.6553";"1534.0883";"1087.1909";"1337.9685";"1344.6694"
"7am";"1152.8233";" 702.6994";"2929.5883";" 870.4158";"1347.3052";"1689.5832";"1826.0183";" 384.3444";"2202.4325";" 989.1113";" 509.4442";"1682.0808";"1354.0355";"1515.7627";" 974.1197";"1392.7533";"1896.6394";"1116.9078";" 827.1707";" 188.2897";" 672.6536";"1602.4804";"1336.2382";" 663.5375";"1305.4083";"1700.6891";"1747.8725";"1681.9189";"1603.6876";"1373.1401";"1525.5553";"1716.0103";"2340.2098";" 641.6838";"1721.9642";"1513.3147";"1738.4320";" 793.3899";"1055.5084";"2302.3909";"1565.4114";" 584.7582";"1678.9890";" 509.6534";" 848.1180";"1103.8063";" 977.9461";" 827.1953";" 771.2515";" 463.2852";" 809.7005";"1154.8347";"1133.3408";" 759.4986";" 931.5713";" 863.4752";" 690.9413";" 969.6551";"1175.2159";" 946.2090";"1152.6394";"1867.9615";" 874.5265";" 782.1615";"1043.8204";" 980.3921";"1045.6040";" 521.9272";" 600.4349";"1088.1909";" 441.5310";" 990.6433";"1047.6527";"1512.2000";"1459.6299";" 685.6436";"1332.0081";"1081.3767";"1197.1682";"1128.4160"
"8am";"1695.5700";" 792.9244";"2792.0259";" 837.5914";"1254.2462";"1136.4460";"1161.7861";" 304.8455";"2529.1118";" 973.1913";" 961.3885";"1479.2026";"1430.1656";"1285.8289";" 634.7181";" 866.4499";"1851.1702";"1334.9755";"1799.1737";" 171.1874";" 546.3059";"2323.0846";"2154.2970";" 424.9773";"2423.2684";"1476.0382";"3939.8003";"2174.1631";"1634.0085";"1148.6195";"1081.4803";"2283.4704";"1576.4937";" 914.6753";"1543.6654";"1216.4856";"1551.4077";" 881.6832";" 929.1421";"2762.1095";"1377.3013";" 302.2210";"2140.4857";" 701.2089";" 597.3186";" 968.6886";" 802.1363";" 652.9669";" 493.7967";" 273.4290";" 526.3036";" 816.3363";" 838.7076";" 604.8423";" 773.6800";" 793.9182";" 696.3068";" 751.7086";" 882.1048";"1134.0879";" 505.7195";"1168.1081";" 584.7972";" 578.3229";" 651.1912";" 881.4114";" 633.3065";" 521.9272";" 424.6395";" 907.8746";" 411.2355";" 915.4457";" 972.3663";"1576.7540";"1580.9753";" 685.6436";" 988.1296";"1280.7962";"1243.6704";" 892.3898"
"9am";"2051.0089";"1402.6786";"2592.5514";" 657.6317";"1138.7585";"1483.5934";"1177.0372";" 290.2263";"2441.2037";" 930.2207";"1058.0436";"1341.5042";"1553.6405";"1186.9311";" 530.1147";" 618.4331";"2079.8440";"1344.0376";"1965.3412";" 171.1874";" 483.1138";"2783.7563";"2386.1881";" 409.1807";"2756.9597";"1813.7323";"4870.5279";"2710.8172";"1727.1288";" 881.0475";"1020.5136";"2276.3554";"2022.4560";" 789.6082";"1507.4826";"1186.5911";"1589.4238";" 900.9405";" 927.3277";"2878.4481";"1736.2662";" 342.1465";"1944.6637";" 605.1425";" 387.4547";" 739.6425";" 932.1349";" 468.4219";" 462.5864";" 285.0985";" 498.1522";" 832.5901";" 715.1558";" 590.1171";" 707.1657";" 901.6992";" 612.6754";" 356.3698";" 998.7699";"1033.4295";" 535.5962";" 936.9258";" 475.0627";" 365.3775";" 748.1803";" 793.4443";" 634.0497";" 476.0060";" 304.0293";"1003.1922";" 476.9913";" 901.2408";"1326.0043";"1479.3835";"1668.4436";" 657.3961";" 931.2676";"1233.7951";"1156.5879";" 929.2616"
"10am";"2062.4545";"1638.3105";"2655.9828";" 689.9057";"1310.3339";"1617.4202";" 870.1081";" 263.6260";"2561.7612";" 957.0723";" 927.4634";"1362.4998";"1560.4473";"1068.4493";" 615.1173";" 608.0347";"2117.0044";"1161.8754";"1978.4998";" 240.2892";" 410.8150";"2814.4579";"2516.1818";" 395.7162";"2827.5365";"1840.8652";"4823.3382";"2813.5941";"1470.9449";" 896.5685";" 982.0074";"2393.8361";"2046.3434";" 752.7704";"1510.7728";"1008.1936";"1234.1433";" 836.8531";" 963.5907";"2772.5742";"1853.1487";" 415.4331";"2124.2750";" 578.5265";" 460.9060";" 658.8139";" 953.3977";" 468.4219";" 426.9277";" 299.5292";" 368.6019";" 811.5003";" 704.4145";" 529.1323";" 558.9484";" 855.6656";" 525.4666";" 600.6072";"1054.5275";" 951.5509";" 472.1542";" 879.6610";" 456.9492";" 365.3775";" 866.0399";" 742.9093";" 614.8294";" 434.6561";" 327.9656";"1025.8683";" 409.1140";" 941.2587";"1295.5299";"1501.8715";"1649.1800";" 624.4423";" 955.6252";"1316.7810";"1156.5879";"1029.6812"
"11am";"2242.6740";"1372.3386";"2693.5438";" 665.8887";"1340.6503";"1520.4011";" 959.7636";" 289.0904";"3182.1758";"1138.5858";" 886.8192";"1442.1004";"1499.5654";"1020.0567";" 603.9425";" 678.8352";"2116.6492";"1055.5438";"1808.2511";" 281.4574";" 456.0087";"2804.4157";"2423.0944";" 307.5281";"2988.3376";"1674.5451";"4482.8100";"2623.6894";"1549.2897";" 817.3914";"1103.3240";"1827.0249";"2200.7043";" 771.8960";"1467.1169";"1051.7200";"1277.6236";" 894.3045";" 992.6218";"2812.3533";"1773.9224";" 431.1010";"2322.8126";" 505.1764";" 460.9060";" 739.2690";" 948.8529";" 458.4314";" 434.6028";" 299.5292";" 427.3749";" 698.8868";" 704.4145";" 557.1870";" 665.3062";" 801.1021";" 709.5394";" 663.5432";" 906.1535";" 958.9669";" 601.4522";" 956.3545";" 536.0277";" 578.3229";" 785.7743";" 851.7414";" 614.8294";" 480.5772";" 281.6604";" 948.9176";" 361.2534";" 994.9515";"1254.0757";"1725.5948";"1479.3470";" 622.1682";"1070.0586";"1264.0156";"1156.5879";" 952.5018"
