"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309";"57.8803984803309"
"4am";" 4.1396676";"13.5446298";" 5.0305724";"21.3791687";" 4.2736964";" 6.8555533";" 8.5076062";"12.4754114";" 3.2293899";" 5.8817742";"13.2099509";"11.5076326";" 9.6388048";" 9.1554558";"10.7056858";" 3.0225879";"13.6065690";"18.7726055";"26.6359002";"43.8326951";" 9.1363210";"16.3004050";" 9.5465049";"22.8537174";" 7.7316383";" 2.4516309";" 9.0978393";" 1.2064751";" 7.3710459";" 9.5591478";" 6.3351267";"11.4350352";" 8.1808700";" 9.2884971";"10.3813784";"12.5564615";" 3.8280431";" 9.2446173";" 7.4801176";"11.1509178";"12.9825884";" 8.6138040";" 3.4313334";" 6.2475482";" 7.4981610";" 4.7657370";" 3.3760518";"14.5059558";" 6.6353951";" 5.7663652";" 6.7731365";" 7.3545536";"13.4330761";" 8.5879632";" 5.2982258";" 4.3841395";"11.1902718";"15.3004945";"10.3392947";"10.9761176";" 5.7384457";" 7.2056706";" 2.2594095";" 7.9834023";" 5.3811626";" 8.7259812";" 4.5730228";"13.7298363";" 6.1972720";" 6.4280656";"18.9737607";"16.3555451";"19.0594144";"16.8653867";"19.1917059";"22.0123415";" 5.1081353";" 7.3699762";" 0.9896658";" 1.2421761"
"5am";" 4.0346116";"14.7127930";" 4.9437276";"21.5067882";" 4.2736964";" 6.8555533";" 8.4754280";"12.5345122";" 3.0827969";" 6.0174136";"13.0718092";"11.6867046";" 9.3481353";" 9.2798300";"10.8050286";" 3.0834678";"13.4920179";"18.0766067";"26.6359002";"44.8988124";" 9.2011990";"15.8241397";" 9.1459652";"22.9456885";" 7.6347250";" 2.4516309";" 9.2583350";" 1.2109567";" 7.1829056";" 9.5591478";" 6.4218308";"11.3637123";" 8.1514219";" 9.1735791";"10.0901226";"12.4396838";" 4.9500989";" 9.2918514";" 6.7630931";"11.0860546";"12.9825884";" 8.2103277";" 3.4165109";" 6.2768634";" 7.5991566";" 4.6983284";" 3.5253633";"14.5059558";" 5.8414808";" 5.7994467";" 6.9470945";" 7.4026875";"13.4330761";" 8.6845906";" 5.4014825";" 4.4509806";"11.0514658";"15.6693535";"10.3409215";"10.7501473";" 5.8231822";" 7.2246185";" 2.3205132";" 7.9834023";" 5.4179296";" 8.7259812";" 4.7099422";"13.3329868";" 6.4016898";" 7.5297507";"19.3126812";"16.0851377";"19.2525407";"16.2973811";"19.0928379";"22.1307795";" 5.1364280";" 7.4310570";" 0.9896658";" 1.2610414"
"6am";" 3.9411613";"14.9173003";" 4.8082790";"21.8309537";" 4.3214123";" 7.5596351";" 8.5062996";"12.6823840";" 3.4154392";" 4.6393834";"13.9694004";"11.8357065";"10.6680613";" 9.5820030";"11.1369274";" 5.3297571";"13.2512221";"18.1071486";"26.6839914";"44.7892691";" 9.5238732";"14.3448206";" 9.2023311";"22.7585983";" 7.3571942";" 2.5067542";" 9.1185902";" 1.6769516";" 6.0156281";" 9.3604351";" 6.8322775";"10.7563814";" 8.3481883";" 9.2369241";" 9.9083883";"11.1503566";" 5.9575394";" 8.3347038";" 7.7820360";"11.0974196";"13.2336207";" 7.7341833";" 3.4105692";" 6.5922222";" 7.8335252";" 4.9269237";" 3.5722160";"14.6069523";" 6.0946032";" 5.8612954";" 7.2547435";" 8.0024765";"13.9736099";" 8.7981645";" 5.6624149";" 4.4509806";"10.2867699";"15.0114422";"11.8027319";"11.0572467";" 6.2150355";" 7.6648467";" 2.4184311";" 7.5288830";" 3.9111681";" 9.3125345";" 4.6741256";"13.0291254";" 6.6519926";" 7.3101741";"19.9175897";"16.1597474";"18.8578936";"17.7591811";"18.7598838";"18.7460851";" 5.3178771";" 7.6835052";" 0.9936021";" 1.3395279"
"7am";" 5.2351048";"14.9702381";" 5.2696595";"20.1380659";" 4.0953142";" 7.5262620";" 9.3704987";"13.8794788";" 4.3156059";" 4.9480918";"12.6833911";"10.9829626";" 9.9934629";"12.5827395";"11.1128480";" 5.0357064";"11.5905466";"17.9940045";"20.4052543";"38.3052598";" 8.9788077";"11.7258685";" 6.5710873";"20.0157511";"12.3083125";" 4.1382885";"12.3462270";" 1.5550147";" 5.9522841";" 9.1229712";" 8.4168933";" 9.5538984";"10.4626485";" 8.5654659";"10.7428169";"12.1983542";" 6.0682843";"11.6374703";" 8.0992919";"11.5877345";"14.7106084";" 7.7316341";" 5.1891686";" 6.9565985";" 8.0162634";" 5.1648665";" 4.3980769";"15.7130675";" 7.1889846";" 6.8626063";" 8.6157321";" 8.6819947";"16.1587198";" 8.9432493";" 6.2967615";" 4.8079324";"12.8971520";"14.8733598";"11.8887042";"11.3581290";" 7.4272621";" 8.3558529";" 2.0378426";" 9.0002808";" 4.1807109";" 9.7376234";" 4.9482710";"12.6354884";" 8.7347933";" 8.6677270";"18.7311241";"16.7891084";"19.0939256";"19.4109910";"18.9799659";"18.5723883";" 6.2003036";" 7.6907787";" 0.9949431";" 1.4891524"
"8am";" 9.052854";"11.202327";" 7.282526";"20.832145";" 4.579592";" 8.250783";"12.594151";"15.168539";" 4.156753";" 5.631073";"11.211872";"12.743955";" 8.505182";" 9.819171";"12.820103";" 5.937191";" 9.538901";"17.988447";"14.104635";"39.551317";" 9.429750";" 9.878653";" 7.961148";"17.504006";"10.843939";" 3.560457";" 9.204870";" 4.242065";" 6.042106";" 7.096112";" 8.818934";" 8.527563";" 8.904910";" 5.649326";"10.766752";"14.547836";" 5.434780";"12.745551";" 9.702302";"10.514575";"13.448633";" 7.063805";" 3.961548";" 5.809415";" 7.922070";" 6.086745";" 4.476913";"15.703313";" 8.511973";" 5.814135";" 8.670101";" 9.756535";"18.174416";"10.856427";" 7.062715";" 4.849916";"12.886927";"14.674801";"12.987117";"11.054632";" 8.698652";" 9.653002";" 2.599261";"11.242662";" 5.860673";" 9.390405";" 6.073729";"12.884008";" 8.934502";" 9.340767";"16.911110";"17.386239";"16.162274";"19.951987";"20.555898";"19.964273";" 7.264120";" 5.935084";" 1.006609";" 1.728110"
"9am";"11.447220";" 8.354502";" 8.249778";"20.258007";" 4.712331";" 9.833013";"10.590678";"15.717537";" 3.352105";" 5.453457";"10.175220";"14.443974";" 7.033199";" 8.079060";"12.569550";" 6.407599";"13.454758";"18.372042";"16.200707";"31.702373";" 9.983881";" 8.209211";" 9.568311";"20.350164";"12.822148";" 3.427346";" 8.111102";" 5.709988";" 5.692465";" 7.627061";"10.391202";" 5.419991";" 8.501322";" 6.412619";"14.055122";"12.658530";" 5.207160";" 9.489240";" 8.176490";"10.212671";"12.547865";"11.422023";" 3.415744";" 6.555478";" 8.319056";" 5.926796";" 4.985983";"14.261162";" 9.299551";" 7.247540";" 9.330113";" 9.731966";"20.976923";"10.630543";" 8.174974";" 8.105956";"10.187194";"13.694780";"12.909403";" 9.532833";" 8.747992";" 8.110591";" 3.070235";"12.681153";" 5.865167";" 8.196752";" 6.322560";"13.802510";"10.773010";"10.243657";"14.996149";"22.442014";"16.775611";"20.941870";"15.648723";"19.522296";" 8.384865";" 5.628425";" 1.758974";" 1.651092"
"10am";"11.6232120";" 7.9751393";" 8.2374471";"18.4729560";" 6.3843262";" 9.1397987";"13.5369478";"18.3423360";" 4.4709388";" 6.0681653";"10.2281286";"15.1589569";" 6.4837712";" 9.1056974";"13.2805516";" 6.1992162";"13.1860967";"19.8166908";"15.2262136";"33.9142503";" 9.6643538";" 7.5332922";" 8.8659276";"19.3084259";"12.1515698";" 5.5901086";" 7.6067429";" 5.6521159";" 7.1619125";" 4.9467376";" 8.6240890";" 8.7367116";"10.0260972";" 4.4665541";"12.7256953";"11.7740324";" 6.8118096";"10.9472901";" 9.5461292";" 9.8610226";"12.7747842";"13.1311929";" 3.9707338";" 6.1220917";" 8.9414634";" 5.7921826";" 4.9816585";"13.5406510";" 8.4786968";" 7.3940590";" 7.5875590";" 9.5114768";"21.3419950";"10.7534986";" 5.6052248";" 5.0685735";" 9.7431180";"14.2327297";"12.9338984";"11.0926128";" 8.4651153";" 9.0330596";" 1.1966660";"13.1726374";" 6.1854690";" 7.6277727";" 6.5600745";"12.6290865";"10.1425796";" 9.9435162";"19.8897834";"13.6826934";"17.9335192";"18.5566430";"18.2378306";"20.1974109";" 8.5905644";" 6.0880707";" 0.9947464";" 1.5917661"
"11am";" 9.395883";" 6.249262";" 6.112881";"21.555189";"11.503474";" 9.498281";"11.129142";"16.149343";" 5.444316";" 4.964165";"10.206168";"13.386908";" 7.985717";"10.299696";"10.903719";" 4.517739";"10.935833";"19.767225";"13.891205";"36.734436";" 9.213719";" 6.342788";" 9.657187";"18.134991";"11.811171";" 5.810063";" 8.905822";" 5.296726";" 7.793725";" 5.474666";" 8.956652";" 9.017658";" 9.800169";" 4.522176";"11.865958";" 8.402712";" 6.183468";"10.241204";"10.364126";" 9.159473";"12.545711";" 8.793322";" 4.900861";" 6.896442";" 8.039690";" 5.644325";" 6.285782";"15.973501";" 8.737079";" 8.464873";" 9.177986";"10.567634";"17.636278";"10.597582";" 8.608915";" 4.768721";"12.066180";"14.496874";"15.384904";" 8.581957";" 8.272937";" 9.949197";" 1.088328";"12.753271";" 5.755033";" 9.676052";" 6.957086";"13.095841";"10.487567";" 9.015263";"18.127845";"16.168493";"15.412819";"18.274314";"19.834111";"20.612717";" 7.294339";" 6.449807";" 1.035014";" 1.623628"
