"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657";"6455.70657"
"4am";" 725.7545";" 168.2433";"1308.6332";" 310.2358";" 513.0249";" 775.3588";" 466.0298";" 350.1763";"1391.3545";"1263.6767";"2172.3214";"1733.1300";"1194.1506";"2024.0656";" 413.4434";" 926.7081";" 746.2008";"3239.7478";"1867.6838";"2044.6545";" 805.2735";" 443.6169";" 657.0362";"1354.0396";" 376.7759";" 707.1159";"1211.2157";" 407.2301";"1532.1651";" 623.6033";"1544.9876";"1068.8531";"2093.7696";" 364.4777";"1002.5462";"1228.5411";"1960.3810";" 347.9968";" 532.4509";"1664.3547";"1036.9921";" 377.6348";" 803.1229";"1081.6290";"1097.1535";"1044.1991";"1155.5870";"1261.1311";" 600.6554";" 687.4108";" 520.1137";" 705.3847";"1659.8868";"1707.4157";" 687.9946";" 770.7478";" 261.7303";"1939.1713";"3238.2611";"1913.9358";"2464.2505";"1213.9009";" 929.6040";"1436.8057";"2364.3830";"1622.0451";"4152.7401";"1499.0209";"1046.4799";"2825.1354";"3193.7542";"1399.3802";"2624.2559";"2726.7738";"3835.3526";"1679.1538";"1198.3314";" 630.1207";"1354.5489";"1099.3628"
"5am";" 725.7545";" 168.2433";"1308.6332";" 310.2358";" 513.0249";" 775.3588";" 466.0298";" 350.1763";"1416.1057";"1263.6767";"2211.0194";"1599.2510";"1388.2637";"1970.3294";" 413.4434";" 825.6703";" 799.5378";"3239.7478";"1867.6838";"1992.5155";" 774.0560";" 443.6169";" 657.0362";"1419.0545";" 376.7759";" 707.1159";"1259.3723";" 459.3691";"1607.7533";" 623.6033";"1509.1959";"1003.1678";"2093.7696";" 364.4777";"1056.2824";"1228.5411";"1996.1727";" 347.9968";" 493.7496";"1590.8612";"1036.9921";" 352.8835";" 803.1229";"1058.9154";"1097.1535";"1044.1991";" 983.3282";"1261.1311";" 638.8979";" 669.7762";" 487.0706";" 736.0408";"1659.8868";"1688.8705";" 687.9946";" 770.7478";" 261.7303";"1939.1713";"3238.2611";"1913.9358";"2410.5105";"1213.9009";" 860.7055";"1436.8057";"2311.0460";"1622.0451";"4000.7943";"1499.0209";"1046.4799";"2950.4563";"3068.4334";"1399.3802";"2825.4388";"2595.6354";"3899.4647";"1645.1220";"1198.3314";" 630.1207";"1354.5489";"1099.3628"
"6am";" 783.2176";" 168.2433";"1442.0670";" 310.2358";" 478.4059";" 775.3588";" 466.0298";" 329.2131";"1294.7827";"1263.6767";"2243.3646";"1538.0369";"1557.4632";"1892.5844";" 398.0263";" 825.6703";" 799.5378";"3239.7478";"1730.9705";"1841.5499";" 771.4164";" 677.2926";" 643.0810";"1241.7071";" 385.8744";" 624.0612";"1477.8225";" 536.0002";"1632.7137";" 596.7733";"1509.1959";"1291.9702";"2024.9407";" 380.4329";"1349.8255";"1376.4344";"1961.8445";" 368.1535";" 490.8539";"1616.3051";"1042.6815";" 367.1442";" 745.6598";" 759.5587";" 962.5864";" 929.7310";"1051.8608";"1122.9006";" 601.0173";" 615.2005";" 421.0533";" 682.4366";"1313.7464";"1689.0865";" 656.9071";" 770.7478";" 289.7586";"2008.0517";"2354.6791";"1665.2810";"2251.9192";"1127.3381";" 840.5488";"1274.7587";"2067.7029";"1435.9227";"4039.2113";"1431.8067";"1046.4799";"3162.4322";"2891.0621";"1441.4738";"2490.9366";"2595.6354";"4034.9805";"1526.8401";"1225.2722";" 666.7115";"1354.5489";" 774.7668"
"7am";" 952.6442";" 247.2367";"1354.2860";" 373.2975";" 320.4332";"1024.6997";" 363.8187";" 233.0359";"1384.8107";"1189.3127";"2154.2665";"1311.7710";"1170.2428";"1592.6707";" 224.6738";" 777.8454";" 701.1306";"3227.3894";"1654.1160";"1645.3561";" 753.9641";" 853.2680";" 833.9950";"1404.9447";" 655.8374";" 736.6373";"1628.1243";" 530.5291";"1713.8259";" 675.0662";"1021.6417";"1342.1775";"2042.2650";" 530.8052";"1713.3828";"1135.5743";"1892.1352";" 325.1923";" 416.8631";"1601.4639";"1005.6941";" 250.2518";" 543.2038";" 626.1738";"1026.8918";" 639.1169";" 935.8786";"1069.9880";" 654.6871";" 602.1695";" 392.8032";" 630.2934";" 827.3111";"1709.5328";" 625.8197";" 900.5582";" 187.8813";"1784.7908";"2603.9323";"1619.3659";"2275.3214";" 786.5321";" 519.5112";"1076.1504";"1942.2902";"1259.1433";"3756.6627";"1591.7649";" 855.8778";"2939.4009";"2766.2925";"1320.1681";"2307.9265";"2239.5226";"4265.0141";"1481.6895";"1273.2148";" 606.6169";"1626.0825";" 783.6514"
"8am";" 830.9508";" 462.6255";"1914.5185";" 486.1421";" 416.5827";" 966.5273";" 396.1822";" 233.0359";"1745.5825";"1487.2664";"2016.7213";"1051.7774";"1401.5943";"1765.5070";" 292.9507";" 657.5633";"1037.8291";"2893.4230";"1786.6910";"1318.8315";" 655.4056";"1112.0995";"1118.8421";"1495.7549";" 695.1835";" 736.6373";"1675.0902";" 823.7170";"1710.7661";" 605.0595";"1146.7404";"1675.9672";"2066.2829";" 479.3569";"1352.5102";" 971.5650";"1857.6786";" 306.6573";" 337.2514";"2023.3317";" 794.2295";" 314.9996";" 484.6892";" 656.4690";" 932.2654";" 751.4261";" 943.5248";"1037.2112";" 721.2763";" 485.2575";" 345.7011";" 645.4244";" 855.3858";"1345.1239";" 546.1625";"1013.9236";" 229.6399";"1601.7529";"2680.5286";"1537.0894";"1904.1244";" 988.4696";" 388.7047";" 736.8010";"1787.7705";"1246.0187";"3054.0966";"1699.6663";" 923.1781";"2889.2752";"2531.4863";"1516.2097";"2588.3789";"1911.9555";"4567.4397";"1386.3496";"1123.0194";" 877.7369";"1613.5895";" 644.9471"
"9am";" 803.5054";" 830.2873";"1825.5203";" 449.2907";" 589.6818";"1073.8846";" 407.7905";" 221.1753";"1777.6065";"1682.1612";"1786.3113";"1007.5869";"1675.2429";"1922.7786";" 355.0361";" 756.6469";"1242.9370";"3152.4847";"1859.8838";"1176.6619";" 438.0063";"1188.4977";"1386.6725";"1741.5249";" 904.0472";" 781.9810";"1321.9146";"1121.5789";"1598.1127";" 511.8227";"1106.2037";"2165.0104";"1712.6306";" 479.3569";"1361.3942";" 975.1428";"2041.9288";" 462.0340";" 273.6841";"2089.1917";" 905.7091";" 251.3928";" 494.8838";" 624.3804";" 752.3745";" 687.8855";" 924.3561";"1037.2112";" 734.3074";" 435.5652";" 298.5989";" 723.7223";" 617.9292";"1302.8450";" 552.6762";"1013.9236";" 295.2872";"1443.8054";"2902.8690";"1489.7719";"1870.5590";" 912.7603";" 368.5480";" 865.3894";"1674.6381";"1218.9456";"2989.9592";"1534.5248";" 763.6744";"2895.1667";"2581.4684";"1334.0389";"2837.5006";"1502.0778";"4911.2493";"1386.3496";"1066.8703";" 850.5591";"1695.8641";" 672.2171"
"10am";" 937.2619";" 693.9233";"2016.2133";" 467.2386";" 373.4205";"1049.1506";" 461.6159";" 191.1406";"1685.2597";"1487.8888";"1847.7046";" 918.8871";"1565.8934";"1835.8779";" 355.0361";" 807.6232";"1407.0983";"2557.4115";"1913.9958";"1363.2135";" 543.2332";"1284.8918";"1288.4426";"1474.2792";" 790.9062";" 623.9652";"1572.3485";"1157.3505";"1537.3205";" 618.2352";"1092.3336";"2253.4482";"1779.0157";" 456.8951";"1333.5900";" 902.5694";"1847.3342";" 317.0792";" 345.5394";"2074.7509";" 979.4834";" 397.9618";" 593.8948";" 656.4690";" 752.3745";" 852.7068";" 959.0510";" 995.1314";" 734.3074";" 426.7076";" 345.7011";" 677.5419";" 768.6256";"1270.9903";" 480.6792";"1082.2005";" 327.8172";"1462.4780";"2497.9014";"1354.9252";"2176.5371";" 986.9051";" 398.6839";" 826.6228";"1604.6948";"1160.1195";"2989.9592";"1617.0956";" 889.3746";"3197.5080";"2581.4684";"1334.0389";"2475.7242";"1988.9621";"4321.4060";"1234.1425";"1049.3497";"1271.5667";"1607.2243";" 730.4912"
"11am";" 839.8829";" 894.6431";"1578.2695";" 505.6466";" 447.1948";"1212.3019";" 438.4597";" 176.1232";"1643.1690";"1557.6659";"1843.5755";" 965.6826";"1035.7409";"1912.8738";" 375.9395";" 760.7657";"1190.6603";"2755.5502";"1411.3240";"1528.7900";" 659.8470";"1362.7901";"1339.6107";"1598.4653";" 818.4252";" 569.5395";"1521.7041";"1083.8513";"1411.5656";" 510.8069";"1118.7112";"1946.9600";"1951.2715";" 424.3210";"1589.8764";" 988.6250";"2055.9056";" 340.4615";" 381.3659";"1960.1283";"1254.6948";" 270.4542";" 482.5644";" 656.4690";" 913.7712";" 766.9009";" 990.4722";"1073.9389";" 734.3074";" 409.8664";" 316.6632";" 760.3131";" 680.0384";"1210.4166";" 555.7199";"1139.9153";" 308.7557";"1594.5794";"2468.6162";"1288.9423";"2513.9660";" 988.4696";" 346.5249";" 865.3894";"1565.9281";"1015.5513";"2775.4143";"1684.3098";" 896.8852";"3185.4672";"2966.5121";"1204.2255";"1953.3705";"2432.7345";"4206.3405";"1234.1425";"1105.4988";" 963.9242";"1512.8784";" 730.4912"
