"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104";"70.6620270776104"
"4am";"22.26947";"17.28631";"23.54135";"37.25562";"25.97919";"20.42645";"19.47533";"28.05330";"30.82761";"38.67066";"62.91873";"46.57278";"44.72695";"41.67762";"35.81048";"31.91456";"39.44264";"40.83083";"42.11590";"39.15675";"30.49483";"38.93324";"26.26430";"60.65415";"24.36393";"20.44771";"49.43376";"29.66612";"40.94732";"29.83779";"42.15899";"40.47903";"50.64610";"34.97105";"49.62878";"35.66360";"44.21878";"34.38792";"29.61450";"28.53850";"40.76222";"37.76447";"31.40148";"51.19806";"62.76751";"53.89326";"41.03535";"39.71390";"47.20820";"46.32174";"43.44800";"35.57517";"38.79247";"52.72463";"45.71711";"44.07063";"30.85294";"66.02225";"58.84913";"43.61996";"51.39156";"50.71245";"43.10632";"48.53656";"47.44709";"50.00750";"48.71341";"51.17964";"46.68232";"45.82442";"66.33705";"58.56026";"54.87396";"56.29574";"59.14223";"58.23660";"27.74976";"37.12989";"44.48375";"31.87014"
"5am";"23.79743";"17.05588";"23.63844";"37.47801";"25.97919";"20.42645";"19.77989";"27.71247";"32.03375";"37.95385";"63.41048";"46.60105";"44.79437";"41.39476";"35.21484";"30.54321";"40.06401";"39.87227";"42.11590";"40.08594";"30.71138";"39.02813";"30.18508";"61.92360";"25.31200";"20.44771";"51.10107";"28.18550";"40.70951";"29.83779";"42.29270";"40.72381";"50.82375";"36.56048";"49.49689";"36.26194";"43.88047";"34.56362";"29.91226";"28.43451";"40.76222";"37.54139";"31.69781";"50.96906";"63.03150";"54.54542";"39.93543";"39.71390";"47.67750";"46.58749";"41.99554";"36.32875";"38.79247";"52.92255";"45.27994";"43.99745";"29.86901";"65.20313";"57.60364";"45.64030";"51.61953";"50.84581";"41.56768";"48.53656";"47.77127";"50.00750";"48.60535";"51.76877";"47.27089";"47.83641";"65.73575";"56.69451";"55.14941";"56.47490";"58.70912";"58.54994";"27.34959";"36.60718";"44.48375";"32.36264"
"6am";"24.77983";"17.28973";"25.86241";"37.14157";"26.18197";"19.19148";"19.85194";"27.35206";"33.85119";"37.18524";"64.99192";"45.92023";"46.22382";"39.59179";"33.94430";"32.98224";"39.77390";"40.38496";"42.16601";"40.49291";"30.76339";"38.61271";"30.06052";"60.82245";"25.74159";"20.24598";"52.11147";"30.62795";"40.80616";"28.64295";"42.17073";"44.68242";"52.56547";"36.91273";"48.85475";"37.90768";"45.17751";"34.31613";"28.61298";"29.05986";"41.75020";"37.45164";"33.03404";"46.42863";"61.89134";"52.33384";"41.50659";"38.27915";"47.69131";"46.01787";"41.22455";"35.94120";"35.91649";"53.61195";"45.18745";"43.99745";"30.19281";"65.03366";"53.89037";"46.06560";"49.93993";"50.84823";"41.98268";"47.17461";"43.59988";"49.37249";"48.32630";"52.02666";"47.58839";"49.16677";"65.95146";"55.03323";"56.18053";"55.16337";"58.20411";"56.61582";"28.62381";"36.48254";"45.33693";"29.77062"
"7am";"26.32596";"19.02076";"29.48666";"33.29201";"23.22741";"22.64827";"19.79647";"24.57918";"30.75201";"39.66761";"62.71529";"47.48404";"45.78334";"42.37307";"31.86240";"34.11196";"35.25118";"41.52392";"36.90812";"40.68410";"34.44068";"36.42504";"33.54722";"62.49184";"29.73619";"25.69538";"48.52676";"32.65831";"42.64284";"32.35905";"41.24128";"43.40549";"54.14194";"38.22515";"52.24436";"37.38702";"47.75496";"33.81908";"31.67269";"31.00911";"41.71436";"39.35406";"35.27426";"45.69323";"62.06446";"53.03762";"42.08144";"38.03867";"53.00562";"46.66898";"49.12080";"39.32766";"43.91575";"52.18135";"43.19997";"45.17822";"34.39289";"66.25845";"56.42956";"44.39059";"50.00711";"49.21495";"40.84901";"45.38244";"47.65293";"52.06859";"53.06092";"53.61595";"47.23883";"50.42734";"64.23206";"53.84409";"52.78788";"50.09837";"62.34927";"55.31603";"28.70433";"40.43896";"44.58822";"26.48300"
"8am";"24.68840";"23.74326";"32.52118";"37.54599";"25.83822";"25.92114";"24.67702";"24.99549";"30.51823";"43.99413";"56.79264";"50.47784";"43.55191";"47.51279";"38.11166";"37.62506";"34.97470";"41.43442";"33.25673";"41.62408";"40.87342";"25.80457";"32.93595";"61.40999";"24.02255";"24.98133";"35.45413";"33.95635";"40.22396";"39.41333";"41.07246";"42.66659";"61.07945";"33.06344";"53.46090";"38.25871";"53.87678";"27.44760";"34.49087";"32.35997";"41.12189";"41.78297";"32.63785";"39.91226";"68.28534";"54.35194";"42.53824";"39.35178";"59.11379";"51.23563";"53.33617";"43.11824";"47.61117";"51.70585";"42.77054";"45.56130";"39.12137";"70.26410";"54.54950";"47.79818";"54.21041";"50.15758";"42.77306";"44.19025";"52.47366";"55.23858";"54.86496";"54.77790";"50.77080";"53.17577";"63.03979";"54.03817";"53.60691";"51.71405";"59.55727";"54.18659";"30.71252";"39.89778";"45.22720";"28.27050"
"9am";"25.06740";"25.81675";"33.96967";"35.38771";"32.18179";"28.14525";"27.47068";"27.38341";"32.34213";"44.24703";"56.33382";"49.62669";"46.40548";"49.05060";"42.80692";"33.93522";"36.19831";"43.68667";"34.05032";"40.09133";"40.58449";"27.21261";"33.69568";"62.46934";"24.22241";"21.03257";"30.82157";"35.90206";"38.23934";"43.37218";"40.11444";"42.16966";"57.67516";"34.10929";"51.68865";"39.06149";"51.23785";"30.53739";"30.84569";"32.64941";"41.83454";"36.51212";"32.83054";"42.77134";"68.52116";"54.23185";"41.47714";"40.07304";"59.75243";"53.54363";"54.42745";"43.47691";"49.27028";"52.86567";"44.19364";"46.14756";"39.46778";"70.59612";"57.36866";"47.15690";"53.58646";"50.26549";"41.88382";"48.99033";"51.31540";"51.47174";"55.26333";"52.05072";"48.73030";"55.86201";"65.60035";"49.60614";"54.34990";"48.35549";"60.29845";"53.87765";"32.38373";"37.76409";"47.37163";"28.85750"
"10am";"25.95527";"23.14709";"34.91021";"35.80428";"29.55366";"26.79254";"31.50372";"28.17854";"30.43403";"45.26894";"56.38557";"51.68719";"45.35162";"47.15875";"39.76781";"34.91324";"39.71741";"42.07486";"33.97800";"35.85102";"39.26471";"29.86995";"32.08279";"66.14411";"25.78647";"22.71518";"31.41031";"38.22477";"39.81008";"39.57836";"40.67269";"42.87569";"56.66006";"32.79732";"49.40604";"37.50889";"54.05288";"29.91953";"32.82335";"31.37910";"42.15720";"41.53023";"34.29843";"43.21207";"65.40945";"58.06291";"40.64790";"40.15546";"60.62630";"55.42702";"57.18579";"41.49439";"48.27397";"50.25124";"52.62391";"44.64324";"39.57367";"67.72980";"58.41434";"50.52009";"51.38957";"52.33204";"43.50583";"49.31139";"51.16407";"52.56470";"57.09761";"52.36758";"49.83272";"54.76884";"64.85525";"49.41656";"55.73669";"52.17217";"56.84096";"55.63108";"32.67883";"38.51616";"47.38291";"28.95630"
"11am";"22.68379";"31.51665";"35.01919";"36.82179";"34.79332";"31.67598";"30.15374";"29.75787";"28.90795";"40.94926";"55.72364";"51.87995";"42.49592";"49.36616";"42.00849";"33.90353";"36.45993";"40.88171";"34.14088";"35.47488";"37.71105";"30.71834";"31.78982";"69.61061";"22.87594";"26.28982";"31.67212";"34.57956";"38.07364";"43.48803";"43.10235";"42.99542";"56.10930";"32.59195";"47.65330";"37.65529";"55.34856";"29.53217";"32.94883";"29.70459";"42.55491";"39.37194";"32.25612";"40.60323";"65.76946";"57.97089";"42.65263";"40.99843";"57.72446";"56.49976";"55.30123";"45.65566";"47.90838";"50.75315";"47.37481";"42.08083";"38.57202";"70.66203";"57.62571";"49.74780";"49.24510";"56.65839";"43.37177";"48.56011";"50.58377";"48.09326";"55.48670";"52.45074";"53.23398";"57.54674";"64.60128";"50.87256";"52.32691";"55.73629";"56.10656";"55.83859";"32.29034";"38.29371";"43.62439";"28.24479"
