"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133";"4331.93133"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";"0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";"0"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"686.4045";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"870.6281";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"930.0438";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"7am";"   0.0000";"   0.0000";"1234.7766";"   0.0000";"   0.0000";" 686.3696";"   0.0000";"   0.0000";"1646.2078";"   0.0000";" 991.5226";"   0.0000";" 961.4406";"   0.0000";"   0.0000";"   0.0000";" 659.4866";"   0.0000";" 670.8417";"   0.0000";"   0.0000";"1136.3080";"1066.8470";"   0.0000";"1147.3535";"   0.0000";"1068.7290";" 893.2402";" 592.0508";"   0.0000";"   0.0000";"1409.8352";"   0.0000";"   0.0000";"1293.1942";"   0.0000";" 624.1689";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 620.0545";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 999.2692";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1068.7383";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1464.4982";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";" 770.7297";"   0.0000";"1977.9298";"   0.0000";"   0.0000";" 821.1090";"   0.0000";"   0.0000";"2462.1934";" 796.4097";"1596.1818";"   0.0000";"1455.9914";" 875.0685";"   0.0000";"   0.0000";"1133.2355";" 886.2506";"1716.7757";"   0.0000";"   0.0000";"1294.9310";"1920.6875";" 870.2292";"1482.9724";"   0.0000";"2124.8600";"1767.7540";" 870.1699";"1012.4004";"   0.0000";"1977.5536";"1466.7173";"   0.0000";"1820.9465";"   0.0000";" 725.9371";"   0.0000";"   0.0000";"1240.7696";" 552.2393";"   0.0000";" 838.5567";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 650.2322";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1618.9940";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1437.9692";"   0.0000";"   0.0000";" 939.8589";" 963.6286";"2316.6069";"   0.0000";"   0.0000";"1022.9375";"   0.0000";"   0.0000"
"9am";"1374.0267";"1012.4457";"2681.2487";"   0.0000";" 777.2777";"1260.5818";"   0.0000";"   0.0000";"2964.9334";"1042.6759";"1957.3765";"   0.0000";"1763.7357";"1346.9176";"   0.0000";"   0.0000";"1637.4860";"1081.4969";"1997.9558";"   0.0000";"   0.0000";"1856.1539";"2285.4438";"1055.5242";"1925.9496";"   0.0000";"2371.3741";"2761.6971";"1048.8314";"1109.9394";"   0.0000";"2752.6734";"2178.9870";"   0.0000";"1917.3697";" 777.6603";" 950.8653";" 426.8742";"   0.0000";"1477.1748";" 676.8135";"   0.0000";" 986.7023";"   0.0000";"   0.0000";"   0.0000";" 764.4850";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 824.2652";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1535.2501";"1841.5479";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1748.5718";"   0.0000";"   0.0000";"1620.7101";" 873.7653";"3064.1451";"   0.0000";"   0.0000";"1159.7937";"   0.0000";"   0.0000"
"10am";"1482.3214";"1186.0820";"2806.6718";"   0.0000";" 764.9741";"1484.0527";" 657.0088";"   0.0000";"3257.6696";" 855.0927";"2028.0880";"   0.0000";"1783.0359";"1197.6545";"   0.0000";"   0.0000";"2212.7531";"1008.5387";"2000.8152";"   0.0000";"   0.0000";"2200.0149";"2214.1723";"1053.8201";"2270.1917";"   0.0000";"2441.0900";"3081.0404";"1017.8997";"1116.0021";"   0.0000";"2849.3485";"2547.6434";"   0.0000";"1667.8294";" 618.7859";"1136.0682";"   0.0000";"   0.0000";"1511.4832";" 751.6386";"   0.0000";"1187.8996";"   0.0000";"   0.0000";"   0.0000";" 732.5720";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 631.9079";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1257.8151";"1980.9610";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1952.0484";"   0.0000";"   0.0000";"1878.4674";" 944.2430";"3247.0621";"   0.0000";"   0.0000";"1491.0260";"   0.0000";"   0.0000"
"11am";"1273.8315";"1871.1343";"2000.0391";"   0.0000";"1193.3774";"1683.7395";" 708.4099";"   0.0000";"2995.3193";" 760.7587";"1394.9023";"   0.0000";"1422.4774";"1212.2677";"   0.0000";"   0.0000";"1830.1653";" 988.6730";"1711.3637";"   0.0000";"   0.0000";"2287.5010";"2288.4564";"1213.6117";"1835.3889";" 580.7502";"2245.4313";"2532.7874";" 880.4247";"1041.9273";"   0.0000";"2244.5678";"2318.5293";"   0.0000";"1812.5442";"   0.0000";"1067.8293";"   0.0000";"   0.0000";"1247.6799";" 894.6125";"   0.0000";" 853.9065";"   0.0000";"   0.0000";"   0.0000";" 949.4346";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 771.4367";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 847.5540";"1736.9038";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2117.3472";"   0.0000";"   0.0000";"1140.7568";"1256.5810";"2639.1853";"   0.0000";"   0.0000";"1162.9705";"   0.0000";"   0.0000"
