"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461";"8760.84461"
"4am";" 873.3089";"1132.2703";"3683.8638";"1529.0575";"1471.1670";"2289.7328";"2050.8298";" 913.4702";"2275.9865";"1900.4593";"1908.4942";"2398.2062";"1829.6183";"3012.1493";"1672.3105";"1720.4668";"1259.7487";"2121.5495";"1810.6455";" 999.0737";"1716.2356";"1071.7564";"1964.9052";" 783.5397";" 752.6923";"1536.8278";"1497.3584";"3025.8815";"2475.7004";"1649.9706";"2334.7988";"2593.7596";"2895.6733";" 938.2424";"1719.5294";"2504.2872";"2880.6143";"2201.0389";"2340.8041";"3379.3200";"1599.2218";"1353.5603";"2083.3123";"1372.7875";"1344.2424";"1573.3142";"2742.0874";"1882.7264";"1606.7224";"1060.4341";" 905.8986";"1687.3281";"1982.9978";"1985.0548";"1757.9164";"2692.1008";"1429.5738";"1104.0435";"2557.7539";"2028.8606";"2751.0946";"2396.1446";"1305.6074";"2265.7684";"2041.7389";"1688.1522";"3197.0076";"2813.4839";"1470.1577";"3898.1884";"1483.3104";"1374.6883";"2310.7277";"1952.3515";"2254.9952";" 967.5890";"3742.5442";"2836.1825";"2554.7532";"2104.3840"
"5am";" 889.5846";"1170.9716";"3722.4635";"1529.0575";"1471.1670";"2289.7328";"2050.8298";" 913.4702";"2275.9865";"1861.8596";"1900.6186";"2324.2459";"1943.7488";"2958.4132";"1672.3105";"1720.4668";"1259.7487";"2121.5495";"1810.6455";" 832.9827";"1716.2356";"1171.4829";"1918.8144";" 783.5397";" 752.6923";"1536.8278";"1442.4321";"3115.4809";"2477.5074";"1649.9706";"2334.7988";"2528.0743";"2895.6733";" 918.6723";"1828.8251";"2504.2872";"2880.6143";"2163.3690";"2302.1028";"3434.2463";"1599.2218";"1334.7780";"2083.3123";"1372.7875";"1296.7596";"1573.3142";"2641.4419";"1882.7264";"1606.7224";"1042.7994";" 905.8986";"1618.1439";"1982.9978";"1933.4666";"1757.9164";"2635.9780";"1501.8613";"1104.0435";"2673.2665";"1969.4707";"2655.3619";"2370.7583";"1305.6074";"2265.7684";"2041.7389";"1688.1522";"3045.0618";"2665.4954";"1470.1577";"3823.9180";"1483.3104";"1448.9587";"2310.7277";"1952.3515";"2335.0918";" 967.5890";"3742.5442";"2836.1825";"2554.7532";"1988.0984"
"6am";" 889.5846";"1151.3379";"3703.4339";"1529.0575";"1436.5480";"2327.4027";"2076.9978";" 913.4702";"2315.2712";"1870.9878";"1813.6353";"2324.2459";"1916.7172";"3066.0611";"1639.3873";"1720.4668";"1215.5264";"2061.5337";"1789.7494";" 761.1257";"1644.0532";"1343.8109";"1900.3946";" 783.5397";" 789.3431";"1483.5008";"1425.6887";"3166.2968";"2354.8164";"1773.8678";"2371.1894";"2581.4880";"2762.2564";" 918.6723";"1957.9370";"2495.1402";"2696.2137";"2067.2862";"2298.0119";"3434.2463";"1537.4979";"1334.7780";"2073.5973";"1468.5202";"1296.7596";"1573.3142";"2554.5541";"1710.3366";"1558.5926";"1042.7994";" 887.0797";"1358.3172";"1982.9978";"1933.4666";"1636.0527";"2635.9780";"1501.8613";"1139.8352";"2577.0336";"1915.9759";"2505.8893";"2186.8518";"1274.9514";"2212.9111";"2105.7289";"1563.2227";"3116.9110";"2665.4954";"1366.3035";"3823.9180";"1418.0735";"1555.0928";"2310.7277";"2000.7795";"2300.0279";" 849.3071";"3406.6854";"2872.7733";"2554.7532";"1868.0756"
"7am";" 899.4368";"1324.6497";"3884.1214";"1508.6325";"1558.9457";"2273.4756";"1979.4638";" 893.6829";"3388.4798";"1692.4723";"2090.4007";"2139.4584";"1965.4934";"2218.7473";"1419.0965";"1239.3057";"1755.3746";"2090.8706";"2265.1231";" 987.9471";"1257.6091";"1671.8379";"2110.1100";" 809.9030";"1523.8457";"1411.5605";"1920.2022";"3059.5343";"2396.9000";"1670.5737";"2166.0104";"3145.6987";"2691.7812";" 954.3155";"1974.8691";"2200.8000";"2354.0086";"1663.9678";"1943.9509";"3093.2228";"1335.5646";" 969.2122";"2153.7274";"1128.5634";"1115.7837";"1370.0675";"2530.9188";"1550.5801";" 969.0469";" 858.5554";" 658.0649";" 989.8282";"1170.8428";"1696.2511";"1731.4521";"2285.5259";"1087.2453";"1065.6505";"2282.6698";"2326.9627";"2069.3059";"1831.4726";"1102.5605";"1777.5117";"1843.0557";"1003.6541";"2081.7185";"2283.0710";"1139.6210";"3306.5740";"1412.6006";"1438.7148";"2751.3898";"2175.0064";"2002.7099";" 997.2955";"2622.4869";"2591.5610";"2492.0600";"1748.0513"
"8am";"1319.1397";"1640.0304";"4109.7791";"1364.5915";"1496.1794";"2032.4733";"1779.2641";" 886.2993";"4823.6184";"1456.1839";"2377.3716";"1546.4348";"2407.0506";"2044.1613";"1223.1723";"1028.2771";"1979.9518";"2486.8540";"3194.2926";" 897.4980";" 896.7220";"2924.2716";"2774.6354";" 881.5597";"2328.6194";"1268.6893";"3995.8494";"3772.6324";"2342.8103";"1546.1079";"1726.9322";"3836.8626";"2284.5835";"1427.6049";"2103.9686";"1785.2006";"1784.6574";"1404.3001";"1363.6272";"3345.4075";"1343.5126";" 808.9130";"2394.1991";"1199.4272";" 727.3818";"1115.5790";"2548.7429";"1376.3517";" 724.1775";" 586.2267";" 440.7496";"1061.8539";" 925.3410";"1370.2753";"1462.5412";"2058.0268";" 863.2960";" 588.5495";"2588.9834";"1964.0461";"1535.7603";"1731.4416";" 873.3670";"1332.1764";"1587.3316";" 935.1993";"1771.9861";"2033.5711";" 979.9420";"2599.2586";"1507.4331";"1580.6640";"2886.5336";"2002.8238";"2285.6730";" 911.0769";"1933.7970";"3077.4773";"2536.2579";"1437.7452"
"9am";"1756.9372";"2233.6625";"4331.0558";"1320.1086";"1524.6447";"1766.0192";"1405.6597";" 851.4506";"5240.1134";"1597.7979";"2409.4423";"1617.9777";"2174.0233";"1944.4880";" 874.3556";"1121.5658";"2057.0367";"2230.9286";"3249.3958";" 801.0864";" 867.4500";"3139.4708";"2914.4685";" 724.5160";"3299.5090";"1517.1546";"4649.5608";"4435.0185";"2553.8341";"1321.3747";"1566.4898";"4169.3497";"2713.3864";"1335.0552";"2256.4755";"1661.7416";"1664.2913";"1412.7219";"1176.2463";"3571.1512";"1355.2288";" 850.6742";"2290.6715";" 940.6279";" 696.4826";"1044.7351";"2677.3347";"1297.8824";" 690.4506";" 485.0039";" 411.7118";"1023.2585";" 874.7997";"1418.3279";"1094.9677";"2223.5048";" 789.3854";" 478.5823";"2503.4370";"1940.0242";"1363.9982";"1642.5194";" 724.3029";"1292.7831";"1590.3344";"1059.9618";"1649.8873";"2115.4631";" 734.1529";"2659.7563";"1124.2231";"1787.4339";"2851.4558";"1928.3579";"2799.0360";" 850.9213";"1746.3565";"3335.1052";"2434.8917";"1720.0656"
"10am";"1985.0779";"2737.6146";"4140.9215";"1179.6920";"1479.8029";"2093.4556";"1469.7929";" 657.6833";"5770.9839";"1246.3799";"2281.4082";"1714.0320";"2157.1737";"1869.3385";" 973.9691";"1183.8649";"2021.8725";"1792.5821";"3300.3266";" 824.7525";" 945.7739";"2998.6654";"3188.4459";" 664.0460";"3395.6944";"1382.7559";"4722.0893";"4202.5786";"2410.8191";"1395.5389";"1535.1443";"3945.0829";"3004.9025";"1341.0135";"2327.7233";"1695.1298";"1604.4023";"1374.2468";"1102.1104";"3857.7651";"1431.8129";" 913.7948";"2697.6371";" 888.7567";" 786.9932";"1025.7598";"2780.6058";"1223.7206";" 659.2403";" 412.2480";" 403.9922";"1008.6565";" 735.2048";"1345.2551";" 853.3928";"2231.1163";" 804.8173";" 654.6770";"2254.8661";"1829.5549";"1297.5233";"1563.2989";" 651.5109";"1111.5823";"1370.1107";"1009.5896";"1408.5477";"2131.2041";" 756.5219";"2732.2710";"1308.6763";"1819.2915";"2994.9616";"1792.0450";"2799.0360";" 886.1492";"1633.8767";"3603.6334";"2485.2639";"1720.0656"
"11am";"2158.4524";"3184.5647";"4036.5345";"1068.9455";"1539.6108";"2189.1416";"1669.3058";" 678.1605";"5613.5167";"1593.0415";"2209.1418";"1766.1803";"2019.6205";"1886.3858";"1157.2479";"1094.2842";"1756.2507";"1851.5790";"3125.8911";" 995.2127";"1172.4446";"3005.0978";"3001.4025";" 504.0826";"3032.5587";"1135.7820";"4337.8436";"4283.3371";"2246.1655";"1194.2191";"1590.7382";"3613.6447";"3250.3353";"1188.3184";"2607.6202";"1677.0186";"1578.5920";"1465.3671";"1104.4583";"3828.2730";"1404.6621";" 900.8470";"2501.4446";"1225.3227";" 808.6016";"1009.4656";"2855.7138";"1263.7384";" 760.8992";" 445.7999";" 437.4687";" 934.9478";" 920.5111";"1362.5015";" 900.1989";"2452.4635";"1025.3274";" 574.5865";"2163.3500";"1725.9916";"1700.7898";"1563.2989";" 724.3029";"1123.7140";"1326.2339";"1108.6054";"1343.1038";"2131.2041";" 658.2019";"2407.5501";"1507.6490";"1720.5829";"2968.6318";"1921.3356";"2742.9331";" 884.9968";"1898.2169";"3550.3790";"2536.2579";"1677.3575"
