"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2982,0.1848,0.1133,0.2548
"5am",0.2989,0.1841,0.1093,0.253
"6am",0.3064,0.1778,0.105,0.2534
"7am",0.3053,0.1791,0.1087,0.2524
"8am",0.3136,0.1886,0.1007,0.2635
"9am",0.3175,0.1896,0.1009,0.254
"10am",0.3111,0.1924,0.1038,0.2496
"11am",0.3092,0.1917,0.1088,0.2582
"12am",0.3059,0.1932,0.1048,0.2632
"1pm",0.3037,0.2007,0.1068,0.2611
"2pm",0.3034,0.2001,0.1142,0.2555
"3pm",0.3054,0.2021,0.1147,0.2518
"4pm",0.3,0.1975,0.1139,0.268
"5pm",0.299,0.192,0.1166,0.2625
"6pm",0.3,0.1877,0.1101,0.2526
"7pm",0.301,0.1879,0.1119,0.2538
"8pm",0.2994,0.1902,0.1132,0.2533
"9pm",0.2975,0.19,0.1135,0.2553
"10pm",0.2979,0.1888,0.1151,0.2547
"11pm",0.2985,0.1867,0.1144,0.2527
"12pm",0.2962,0.1865,0.1163,0.2511
"1am",0.2951,0.1863,0.1176,0.2521
"2am",0.2951,0.1857,0.1176,0.2529
"3am",0.2953,0.1859,0.1181,0.2534
