"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2113,0.198,0.1306,0.1213,0.2105
"5am",0.2109,0.2051,0.1258,0.1204,0.209
"6am",0.2101,0.2093,0.1323,0.1227,0.2047
"7am",0.2035,0.2167,0.1238,0.1171,0.2028
"8am",0.2121,0.2005,0.126,0.1078,0.2156
"9am",0.2295,0.2101,0.12,0.0951,0.2238
"10am",0.2202,0.2084,0.1236,0.0875,0.2175
"11am",0.2119,0.2158,0.1215,0.1014,0.2264
"12am",0.2073,0.2134,0.1213,0.1113,0.2281
"1pm",0.2334,0.195,0.1272,0.0993,0.2305
"2pm",0.2184,0.203,0.1369,0.0979,0.2325
"3pm",0.2081,0.2,0.1325,0.1035,0.2258
"4pm",0.205,0.2058,0.1339,0.1078,0.2402
"5pm",0.2103,0.2105,0.136,0.1176,0.2236
"6pm",0.2227,0.2093,0.1243,0.1164,0.2134
"7pm",0.227,0.2015,0.1243,0.1193,0.2065
"8pm",0.2225,0.2011,0.125,0.116,0.2031
"9pm",0.2186,0.2009,0.1281,0.1135,0.2085
"10pm",0.2174,0.206,0.1309,0.1148,0.21
"11pm",0.219,0.2011,0.1304,0.1169,0.2073
"12pm",0.2199,0.2009,0.1294,0.1173,0.2093
"1am",0.2189,0.2,0.1305,0.1181,0.2094
"2am",0.219,0.1995,0.1313,0.119,0.2104
"3am",0.2191,0.2011,0.1314,0.119,0.2102
