"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2703,0.1979,0.1423,0.1649,0.2466
"5am",0.2669,0.2012,0.1422,0.1645,0.2442
"6am",0.2617,0.1976,0.1415,0.1634,0.2441
"7am",0.2378,0.2027,0.1295,0.152,0.2345
"8am",0.2196,0.1856,0.1309,0.1357,0.2266
"9am",0.216,0.1934,0.137,0.1252,0.2287
"10am",0.214,0.1883,0.1324,0.1293,0.221
"11am",0.2085,0.2043,0.1341,0.1443,0.2324
"12am",0.2154,0.2011,0.1325,0.1376,0.2445
"1pm",0.2209,0.1783,0.1367,0.137,0.2316
"2pm",0.2169,0.191,0.136,0.1356,0.231
"3pm",0.2089,0.1915,0.1349,0.1349,0.221
"4pm",0.2169,0.197,0.1322,0.1475,0.2314
"5pm",0.2464,0.2017,0.1321,0.1471,0.2367
"6pm",0.2659,0.2079,0.1377,0.1525,0.2429
"7pm",0.2699,0.1965,0.1398,0.1651,0.2373
"8pm",0.2667,0.1984,0.1368,0.1609,0.2371
"9pm",0.2676,0.1995,0.1362,0.1542,0.2423
"10pm",0.2702,0.204,0.1407,0.1559,0.2439
"11pm",0.2724,0.2015,0.1434,0.1581,0.2452
"12pm",0.2736,0.1993,0.1387,0.1581,0.2445
"1am",0.2744,0.2007,0.1398,0.159,0.2466
"2am",0.2743,0.2006,0.1391,0.1576,0.2464
"3am",0.2743,0.2006,0.1393,0.158,0.2465
